site,field_plot,pair,plot,block,litter,removal,total,total_no_cas,castilleja,gram_final,forb_final,leg_final,shrub_final,gram,gram_bag,forb,forb_bag,leg,leg_bag,shrub,shrub_bag,case_prop,gram_prop,forb_prop,leg_prop,shrub_prop
Emerald Lake ,13A,13,25,1,Control,R,142.31,142.31,0,35.29,92.91,14.11,0,58.85,23.56,116.49,23.58,29.44,15.33,0,0,0.000,0.248,0.653,0.099,0.000
Emerald Lake ,13B,13,26,1,Control,C,256.08,237.39,18.69,45.14,156.86,12.23,23.16,68.41,23.27,180.16,23.3,35.6,23.37,46.4,23.24,0.073,0.176,0.613,0.048,0.090
Emerald Lake ,14A,14,27,1,Community,C,183.16,183.16,,22.93,32.99,0,127.24,46.49,23.56,56.52,23.53,0,0,150.87,23.63,0.000,0.125,0.180,0.000,0.695
Emerald Lake ,14B,14,28,1,Community,R,401.95,401.95,0,57.16,75.05,0,269.74,80.8,23.64,98.78,23.73,0,0,293.31,23.57,0.000,0.142,0.187,0.000,0.671
Emerald Lake ,15A,15,29,1,Castilleja,C,102.86,97.48,5.38,54.7,34.53,8.25,0,78.34,23.64,58.16,23.63,31.82,23.57,0,0,0.052,0.532,0.336,0.080,0.000
Emerald Lake ,15B,15,30,1,Castilleja,R,82.83,82.83,0,45.48,26.09,11.26,0,69.09,23.61,49.81,23.72,35,23.74,0,0,0.000,0.549,0.315,0.136,0.000
Emerald Lake ,16A,16,31,2,Control,C,148.4,143.35,5.05,70.4,41.82,31.13,0,93.71,23.31,65.05,23.23,54.35,23.22,0,0,0.034,0.474,0.282,0.210,0.000
Emerald Lake ,16B,16,32,2,Control,R,88.42,88.42,0,32,30.88,25.54,0,55.44,23.44,64.92,34.04,40.97,15.43,0,0,0.000,0.362,0.349,0.289,0.000
Emerald Lake ,17A,17,33,4,Community,R,48.09,48.09,0,17.15,29.03,1.91,0,32.45,15.3,44.46,15.43,17.23,15.32,0,0,0.000,0.357,0.604,0.040,0.000
Emerald Lake ,17B,17,34,4,Community,C,194.33,191.55,2.78,43.84,143.65,4.06,0,66.83,22.99,166.74,23.09,26.51,22.45,0,0,0.014,0.226,0.739,0.021,0.000
Emerald Lake ,18A,18,35,5,Community,C,272.29,268.82,3.47,50.25,216.8,1.77,0,73.72,23.47,240.11,23.31,25.19,23.42,0,0,0.013,0.185,0.796,0.007,0.000
Emerald Lake ,18B,18,36,5,Community,R,247.1,247.1,0,220,27.1,0,0,254.04,34.04,61.28,34.18,0,0,0,0,0.000,0.890,0.110,0.000,0.000
Emerald Lake ,19A,19,37,5,Castilleja,C,258.42,255.73,2.69,50.22,205.51,0,0,73.31,23.09,229.38,23.87,0,0,0,0,0.010,0.194,0.795,0.000,0.000
Emerald Lake ,19B,19,38,5,Castilleja,R,254.44,254.44,0,39.72,203.18,11.54,0,63.28,23.56,226.9,23.72,35.2,23.66,0,0,0.000,0.156,0.799,0.045,0.000
Emerald Lake ,20A,20,39,4,Mixed,C,204.63,191.23,13.4,67.41,83.19,40.63,0,90.66,23.25,106.41,23.22,63.75,23.12,0,0,0.065,0.329,0.407,0.199,0.000
Emerald Lake ,20B,20,40,4,Mixed,R,67.97,67.97,0,7.5,49.09,11.38,0,22.54,15.04,72.48,23.39,25.74,14.36,0,0,0.000,0.110,0.722,0.167,0.000
