Year,site,field_plot,pair,plot,block,litter,removal,elevation,disturbance_distance,disturbance_type,diversity,richness,evenness,soil_moisture,summer_precip,summer_temp,snowpack,snowfall
2023,Emerald Lake ,13A,13,25,1,Control,R,3217.02,4.62,Treeline,2.22849997,14,0.8444303,7.51,0.80,19.35,246,362.6
2023,Emerald Lake ,13B,13,26,1,Control,C,3216.15,4.11,Trail,2.16945008,14,0.82205493,7.81,0.80,19.35,246,362.6
2023,Emerald Lake ,14A,14,27,1,Community,C,3216.20,4.33,Treeline,1.05835061,8,0.50895906,5.34,0.80,19.35,246,362.6
2023,Emerald Lake ,14B,14,28,1,Community,R,3216.00,7.29,Trail,1.74958598,13,0.68211327,6.15,0.80,19.35,246,362.6
2023,Emerald Lake ,15A,15,29,1,Castilleja,C,3216.51,5.93,Treeline,1.75404896,10,0.76177379,6.95,0.80,19.35,246,362.6
2023,Emerald Lake ,15B,15,30,1,Castilleja,R,3218.55,6.88,Trail,1.71451849,9,0.78031099,7.37,0.80,19.35,246,362.6
2023,Emerald Lake ,16A,16,31,2,Control,C,3216.43,2.95,Treeline,1.68045825,9,0.76480951,7.61,0.80,19.35,246,362.6
2023,Emerald Lake ,16B,16,32,2,Control,R,3215.72,5.1,Treeline,1.72637716,9,0.78570811,8.28,0.80,19.35,246,362.6
2023,Emerald Lake ,17A,17,33,4,Community,R,3210.96,5.61,Trail,2.13072534,15,0.78681161,9.05,0.80,19.35,246,362.6
2023,Emerald Lake ,17B,17,34,4,Community,C,3214.84,2.77,Trail,1.99245271,9,0.90680431,8.05,0.80,19.35,246,362.6
2023,Emerald Lake ,18A,18,35,5,Community,C,3208.33,3.55,Trail,1.61625514,10,0.70193069,9.92,0.80,19.35,246,362.6
2023,Emerald Lake ,18B,18,36,5,Community,R,3208.76,4,Treeline,1.44680651,8,0.69576686,6.84,0.80,19.35,246,362.6
2023,Emerald Lake ,19A,19,37,5,Castilleja,C,3208.84,4.3,Treeline,1.54536426,9,0.70332559,5.78,0.80,19.35,246,362.6
2023,Emerald Lake ,19B,19,38,5,Castilleja,R,3208.21,3.7,Treeline,2.1048745,11,0.87780085,5.78,0.80,19.35,246,362.6
2023,Emerald Lake ,20A,20,39,4,Mixed,C,3210.32,1.9,Trail,2.21526269,12,0.89148729,10.40,0.80,19.35,246,362.6
2023,Emerald Lake ,20B,20,40,4,Mixed,R,3213.27,3.37,Treeline,2.0035365,12,0.8062824,7.16,0.80,19.35,246,362.6
2024,Emerald Lake ,1A,1,1,1,Mixed,R,3214.53,3.81,Treeline,1.83414191,15,0.67729243,9.70,2.24,18.13,164,300.4
2024,Emerald Lake ,1B,1,2,1,Mixed,C,3214.30,5,Treeline,2.07352928,12,0.83444957,10.30,2.24,18.13,164,300.4
2024,Emerald Lake ,2A,2,3,2,Castilleja,C,3214.13,2.95,Trail,1.9970179,13,0.77857985,9.95,2.24,18.13,164,300.4
2024,Emerald Lake ,2B,2,4,2,Castilleja,R,3214.69,4.62,Treeline,2.35136124,15,0.86828569,6.34,2.24,18.13,164,300.4
2024,Emerald Lake ,3A,3,5,2,Community,R,3213.22,5.78,Treeline,2.45265827,16,0.88460948,7.45,2.24,18.13,164,300.4
2024,Emerald Lake ,3B,3,6,2,Community,C,3213.49,7,Creek,2.44575601,19,0.83063566,6.18,2.24,18.13,164,300.4
2024,Emerald Lake ,4A,4,7,2,Mixed,R,3212.75,6.12,Treeline,1.8684216,11,0.77919233,7.25,2.24,18.13,164,300.4
2024,Emerald Lake ,4B,4,8,2,Mixed,C,3212.82,6.8,Creek,2.40252023,20,0.80198095,8.80,2.24,18.13,164,300.4
2024,Emerald Lake ,5A,5,9,3,Mixed,C,3214.16,3.46,Treeline,2.1510848,15,0.79432974,10.43,2.24,18.13,164,300.4
2024,Emerald Lake ,5B,5,10,3,Mixed,R,3214.76,5.78,Trail,2.18403354,13,0.85149188,9.31,2.24,18.13,164,300.4
2024,Emerald Lake ,6A,6,11,3,Community,R,3218.01,4.27,Treeline,2.31747779,16,0.83585343,5.50,2.24,18.13,164,300.4
2024,Emerald Lake ,6B,6,12,3,Community,C,3214.81,5.16,Treeline,2.50922451,19,0.85219104,7.10,2.24,18.13,164,300.4
2024,Emerald Lake ,7A,7,13,4,Castilleja,C,3210.22,3.3,Treeline,2.21109127,14,0.83783374,6.69,2.24,18.13,164,300.4
2024,Emerald Lake ,7B,7,14,4,Castilleja,R,3210.28,4.7,Treeline,2.14839261,14,0.81407577,8.93,2.24,18.13,164,300.4
2024,Emerald Lake ,8A,8,15,4,Control,C,3207.14,4.18,Treeline,2.1001373,14,0.79579071,5.83,2.24,18.13,164,300.4
2024,Emerald Lake ,8B,8,16,4,Control,R,3209.16,4.61,Treeline,1.7838481,10,0.77471539,7.13,2.24,18.13,164,300.4
2024,Emerald Lake ,9A,9,17,5,Mixed,C,3208.28,3.12,Treeline,2.07574735,15,0.76650992,7.56,2.24,18.13,164,300.4
2024,Emerald Lake ,9B,9,18,5,Mixed,R,3207.11,4.35,Treeline,2.13356032,14,0.80845546,8.48,2.24,18.13,164,300.4
2024,Emerald Lake ,10A,10,19,5,Control,C,3207.27,2.22,Treeline,2.22763363,13,0.8684903,8.79,2.24,18.13,164,300.4
2024,Emerald Lake ,10B,10,20,5,Control,R,3207.81,2.57,Treeline,2.38358048,12,0.95922335,7.71,2.24,18.13,164,300.4
2024,Emerald Lake ,11A,11,21,3,Castilleja,C,3211.66,9.25,Creek,2.16279532,16,0.78006352,7.05,2.24,18.13,164,300.4
2024,Emerald Lake ,11B,11,22,3,Castilleja,R,3211.10,5.93,Creek,2.19492651,17,0.77471275,6.68,2.24,18.13,164,300.4
2024,Emerald Lake ,12A,12,23,3,Control,C,3215.35,6.92,Treeline,2.35441256,16,0.84917483,7.24,2.24,18.13,164,300.4
2024,Emerald Lake ,12B,12,24,3,Control,R,3211.64,9.6,Creek,1.93521554,10,0.84045343,7.80,2.24,18.13,164,300.4
2024,Emerald Lake ,13A,13,25,1,Control,R,3217.02,4.62,Treeline,1.9757695,14,0.74866486,5.53,2.24,18.13,164,300.4
2024,Emerald Lake ,13B,13,26,1,Control,C,3216.15,4.11,Trail,2.11652581,13,0.82517255,7.46,2.24,18.13,164,300.4
2024,Emerald Lake ,14A,14,27,1,Community,C,3216.20,4.33,Treeline,1.66427126,10,0.72278383,7.49,2.24,18.13,164,300.4
2024,Emerald Lake ,14B,14,28,1,Community,R,3216.00,7.29,Trail,1.96676879,14,0.74525429,7.86,2.24,18.13,164,300.4
2024,Emerald Lake ,15A,15,29,1,Castilleja,C,3216.51,5.93,Treeline,2.01550065,14,0.76371992,7.50,2.24,18.13,164,300.4
2024,Emerald Lake ,15B,15,30,1,Castilleja,R,3218.55,6.88,Trail,1.75493755,11,0.7318658,5.30,2.24,18.13,164,300.4
2024,Emerald Lake ,16A,16,31,2,Control,C,3216.43,2.95,Treeline,1.53647067,11,0.64075804,9.58,2.24,18.13,164,300.4
2024,Emerald Lake ,16B,16,32,2,Control,R,3215.72,5.1,Treeline,1.86976493,10,0.81202859,9.16,2.24,18.13,164,300.4
2024,Emerald Lake ,17A,17,33,4,Community,R,3210.96,5.61,Trail,2.29598732,13,0.89513944,9.68,2.24,18.13,164,300.4
2024,Emerald Lake ,17B,17,34,4,Community,C,3214.84,2.77,Trail,1.88242153,10,0.81752528,8.89,2.24,18.13,164,300.4
2024,Emerald Lake ,18A,18,35,5,Community,C,3208.33,3.55,Trail,1.50616599,12,0.60612579,12.35,2.24,18.13,164,300.4
2024,Emerald Lake ,18B,18,36,5,Community,R,3208.76,4,Treeline,1.42207629,10,0.61759988,11.73,2.24,18.13,164,300.4
2024,Emerald Lake ,19A,19,37,5,Castilleja,C,3208.84,4.3,Treeline,1.64237533,11,0.68492371,5.75,2.24,18.13,164,300.4
2024,Emerald Lake ,19B,19,38,5,Castilleja,R,3208.21,3.7,Treeline,2.02630365,13,0.78999753,5.75,2.24,18.13,164,300.4
2024,Emerald Lake ,20A,20,39,4,Mixed,C,3210.32,1.9,Trail,2.08854972,14,0.7913999,14.78,2.24,18.13,164,300.4
2024,Emerald Lake ,20B,20,40,4,Mixed,R,3213.27,3.37,Treeline,1.68580236,10,0.73213466,8.35,2.24,18.13,164,300.4
2025,Emerald Lake ,1A,1,1,1,Mixed,R,3214.53,3.81,Treeline,1.92525911,15,0.71093922,2.59,1.00,19.74,90,226
2025,Emerald Lake ,1B,1,2,1,Mixed,C,3214.30,5,Treeline,2.09570522,16,0.75586588,2.51,1.00,19.74,90,226
2025,Emerald Lake ,2A,2,3,2,Castilleja,C,3214.13,2.95,Trail,2.43445831,19,0.8267987,2.89,1.00,19.74,90,226
2025,Emerald Lake ,2B,2,4,2,Castilleja,R,3214.69,4.62,Treeline,2.26447443,14,0.85806186,3.19,1.00,19.74,90,226
2025,Emerald Lake ,3A,3,5,2,Community,R,3213.22,5.78,Treeline,2.35849007,19,0.80099811,2.50,1.00,19.74,90,226
2025,Emerald Lake ,3B,3,6,2,Community,C,3213.49,7,Creek,2.61383055,25,0.81203212,2.93,1.00,19.74,90,226
2025,Emerald Lake ,4A,4,7,2,Mixed,R,3212.75,6.12,Treeline,1.99004649,14,0.75407475,2.59,1.00,19.74,90,226
2025,Emerald Lake ,4B,4,8,2,Mixed,C,3212.82,6.8,Creek,2.39908912,22,0.77614241,3.00,1.00,19.74,90,226
2025,Emerald Lake ,5A,5,9,3,Mixed,C,3214.16,3.46,Treeline,2.39061944,17,0.84378377,5.48,1.00,19.74,90,226
2025,Emerald Lake ,5B,5,10,3,Mixed,R,3214.76,5.78,Trail,2.07723061,11,0.86627245,3.94,1.00,19.74,90,226
2025,Emerald Lake ,6A,6,11,3,Community,R,3218.01,4.27,Treeline,2.08845769,14,0.79136503,3.38,1.00,19.74,90,226
2025,Emerald Lake ,6B,6,12,3,Community,C,3214.81,5.16,Treeline,2.51510769,21,0.8261091,2.90,1.00,19.74,90,226
2025,Emerald Lake ,7A,7,13,4,Castilleja,C,3210.22,3.3,Treeline,2.17177738,12,0.87398751,2.94,1.00,19.74,90,226
2025,Emerald Lake ,7B,7,14,4,Castilleja,R,3210.28,4.7,Treeline,1.82055714,13,0.70978288,3.19,1.00,19.74,90,226
2025,Emerald Lake ,8A,8,15,4,Control,C,3207.14,4.18,Treeline,2.10571739,15,0.77757694,3.04,1.00,19.74,90,226
2025,Emerald Lake ,8B,8,16,4,Control,R,3209.16,4.61,Treeline,1.85770628,12,0.747596,3.33,1.00,19.74,90,226
2025,Emerald Lake ,9A,9,17,5,Mixed,C,3208.28,3.12,Treeline,2.20017341,16,0.79354482,3.99,1.00,19.74,90,226
2025,Emerald Lake ,9B,9,18,5,Mixed,R,3207.11,4.35,Treeline,1.90741521,13,0.74364634,3.36,1.00,19.74,90,226
2025,Emerald Lake ,10A,10,19,5,Control,C,3207.27,2.22,Treeline,2.00522486,15,0.74046813,3.09,1.00,19.74,90,226
2025,Emerald Lake ,10B,10,20,5,Control,R,3207.81,2.57,Treeline,2.36457114,13,0.9218783,2.66,1.00,19.74,90,226
2025,Emerald Lake ,11A,11,21,3,Castilleja,C,3211.66,9.25,Creek,2.28671525,16,0.82475819,3.30,1.00,19.74,90,226
2025,Emerald Lake ,11B,11,22,3,Castilleja,R,3211.10,5.93,Creek,2.25047129,20,0.75122577,3.40,1.00,19.74,90,226
2025,Emerald Lake ,12A,12,23,3,Control,C,3215.35,6.92,Treeline,2.21853991,17,0.78304725,3.28,1.00,19.74,90,226
2025,Emerald Lake ,12B,12,24,3,Control,R,3211.64,9.6,Creek,2.34244312,16,0.84485777,3.11,1.00,19.74,90,226
2025,Emerald Lake ,13A,13,25,1,Control,R,3217.02,4.62,Treeline,2.14526199,12,0.86331693,2.23,1.00,19.74,90,226
2025,Emerald Lake ,13B,13,26,1,Control,C,3216.15,4.11,Trail,2.51174909,18,0.86900555,2.33,1.00,19.74,90,226
2025,Emerald Lake ,14A,14,27,1,Community,C,3216.20,4.33,Treeline,1.65857468,8,0.79760582,3.00,1.00,19.74,90,226
2025,Emerald Lake ,14B,14,28,1,Community,R,3216.00,7.29,Trail,1.75710231,13,0.68504367,3.21,1.00,19.74,90,226
2025,Emerald Lake ,15A,15,29,1,Castilleja,C,3216.51,5.93,Treeline,1.93409627,13,0.75404852,3.75,1.00,19.74,90,226
2025,Emerald Lake ,15B,15,30,1,Castilleja,R,3218.55,6.88,Trail,1.49742005,8,0.72010683,4.11,1.00,19.74,90,226
2025,Emerald Lake ,16A,16,31,2,Control,C,3216.43,2.95,Treeline,1.79151035,13,0.69845837,3.35,1.00,19.74,90,226
2025,Emerald Lake ,16B,16,32,2,Control,R,3215.72,5.1,Treeline,2.00843569,12,0.80825398,4.70,1.00,19.74,90,226
2025,Emerald Lake ,17A,17,33,4,Community,R,3210.96,5.61,Trail,2.22911174,13,0.86906657,5.14,1.00,19.74,90,226
2025,Emerald Lake ,17B,17,34,4,Community,C,3214.84,2.77,Trail,2.17341344,16,0.7838932,5.09,1.00,19.74,90,226
2025,Emerald Lake ,18A,18,35,5,Community,C,3208.33,3.55,Trail,2.05217803,16,0.74016677,5.15,1.00,19.74,90,226
2025,Emerald Lake ,18B,18,36,5,Community,R,3208.76,4,Treeline,1.85054849,13,0.72147564,4.89,1.00,19.74,90,226
2025,Emerald Lake ,19A,19,37,5,Castilleja,C,3208.84,4.3,Treeline,2.08074094,14,0.78844098,3.61,1.00,19.74,90,226
2025,Emerald Lake ,19B,19,38,5,Castilleja,R,3208.21,3.7,Treeline,2.0711058,14,0.78479,3.65,1.00,19.74,90,226
2025,Emerald Lake ,20A,20,39,4,Mixed,C,3210.32,1.9,Trail,2.3745784,20,0.79265374,4.84,1.00,19.74,90,226
2025,Emerald Lake ,20B,20,40,4,Mixed,R,3213.27,3.37,Treeline,1.82324251,12,0.73372676,4.21,1.00,19.74,90,226
