year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,redo_coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,year,22,3,5,C,No,8/16/23,8/17/24,366,Castilleja,R,1.55,3.63,3.577,5,2.027,2.973
2024,year,27,1,3,A,No,8/16/23,8/17/24,366,Community,C,1.55,3.06,2.999,5,1.449,3.551
2024,year,27,1,7,B,No,8/16/23,8/17/24,366,Community,C,1.52,3.13,3.061,5,1.541,3.459
2024,year,27,1,9,C,No,8/16/23,8/17/24,366,Community,C,1.5,3.06,3.006,5,1.506,3.494
2024,year,28,1,1,A,No,8/16/23,8/17/24,366,Community,R,1.52,3.34,3.23,5,1.71,3.29
2024,year,28,1,4,B,No,8/16/23,8/17/24,366,Community,R,1.51,3.24,3.165,5,1.655,3.345
2024,year,28,1,3,C,No,8/16/23,8/17/24,366,Community,R,1.53,3.04,2.952,5,1.422,3.578
2024,year,29,1,5,A,No,8/16/23,8/17/24,366,Castilleja,C,1.5,3.73,3.663,5,2.163,2.837
2024,year,29,1,6,B,No,8/16/23,8/17/24,366,Castilleja,C,1.55,3.71,3.621,5,2.071,2.929
2024,year,29,1,9,C,No,8/16/23,8/17/24,366,Castilleja,C,1.53,2.54,2.511,5,0.981,4.019
2024,year,30,1,4,A,No,8/16/23,8/17/24,366,Castilleja,R,1.57,2.73,2.691,5,1.121,3.879
2024,year,30,1,1,B,No,8/16/23,8/17/24,366,Castilleja,R,1.5,3.68,3.578,5,2.078,2.922
2024,year,30,1,6,C,No,8/16/23,8/17/24,366,Castilleja,R,1.54,4.08,3.974,5,2.434,2.566
2024,year,33,4,1,A,No,8/16/23,8/17/24,366,Community,R,1.54,3.18,3.066,5,1.526,3.474
2024,year,33,4,6,B,No,8/16/23,8/17/24,366,Community,R,1.52,3.35,3.291,5,1.771,3.229
2024,year,33,4,9,C,No,8/16/23,8/17/24,366,Community,R,1.51,3.71,3.36,5,1.85,3.15
2024,year,34,4,4,A,No,8/16/23,8/17/24,366,Community,C,1.55,3.63,3.578,5,2.028,2.972
2024,year,34,4,7,B,No,8/16/23,8/17/24,366,Community,C,1.49,3.3,3.044,5,1.554,3.446
2024,year,34,4,9,C,No,8/16/23,8/17/24,366,Community,C,1.57,3.25,3.075,5,1.505,3.495
2024,year,35,5,3,A,No,8/16/23,8/17/24,366,Community,C,1.53,3.28,3.239,5,1.709,3.291
2024,year,35,5,6,B,No,8/16/23,8/17/24,366,Community,C,1.49,3.24,2.748,5,1.258,3.742
2024,year,35,5,7,C,No,8/16/23,8/17/24,366,Community,C,1.53,3.46,2.732,5,1.202,3.798
2024,year,36,5,4,A,No,8/16/23,8/17/24,366,Community,R,1.49,3.12,3.1,5,1.61,3.39
2024,year,36,5,8,B,No,8/16/23,8/17/24,366,Community,R,1.52,3.69,3.634,5,2.114,2.886
2024,year,36,5,9,C,No,8/16/23,8/17/24,366,Community,R,1.52,3.53,3.059,5,1.539,3.461
2024,year,37,5,1,A,No,8/16/23,8/17/24,366,Castilleja,C,1.49,3.33,2.642,5,1.152,3.848
2024,year,37,5,3,B,No,8/16/23,8/17/24,366,Castilleja,C,1.55,3.21,2.597,5,1.047,3.953
2024,year,37,5,6,C,No,8/16/23,8/17/24,366,Castilleja,C,1.54,3.92,3.487,5,1.947,3.053
2024,year,38,5,2,A,No,8/16/23,8/17/24,366,Castilleja,R,1.48,3.69,3.498,5,2.018,2.982
2024,year,38,5,3,B,No,8/16/23,8/17/24,366,Castilleja,R,1.52,3.62,3.044,5,1.524,3.476
2024,year,38,5,6,C,No,8/16/23,8/17/24,366,Castilleja,R,1.53,3.97,3.345,5,1.815,3.185
2024,year,39,4,4,A,No,8/16/23,8/17/24,366,Mixed,R,1.55,3.79,3.067,5,1.517,3.483
2024,year,39,4,6,B,No,8/16/23,8/17/24,366,Mixed,R,1.48,3.86,3.127,5,1.647,3.353
2024,year,39,4,9,C,No,8/16/23,8/17/24,366,Mixed,R,1.49,4.04,3.617,5,2.127,2.873
2024,year,40,4,3,A,No,8/16/23,8/17/24,366,Mixed,C,1.5,3.38,2.564,5,1.064,3.936
2024,year,40,4,5,B,No,8/16/23,8/17/24,366,Mixed,C,1.52,2.83,2.352,5,0.832,4.168
2024,year,40,4,6,C,No,8/16/23,8/17/24,366,Mixed,C,1.5,3.07,2.643,5,1.143,3.857
