,date,site,transect,segment,plant,total_flowers,notes
102,7/3/19,Brush Creek,K3,3,Lathyrus leucanthus,61,
103,7/3/19,Brush Creek,K3,3,Agastache urticifolia,6,
104,7/3/19,Brush Creek,K3,3,Linum lewisii,11,Closed when we counted
105,7/3/19,Brush Creek,K3,4,Lathyrus leucanthus,36,
106,7/3/19,Brush Creek,K3,4,Collomia linearis,35,
107,7/3/19,Brush Creek,K3,4,Agastache urticifolia,3,
108,7/3/19,Brush Creek,K3,4,Lomatium dissectum,2,
109,7/3/19,Brush Creek,K3,5,Collomia linearis,98,
110,7/3/19,Brush Creek,K3,5,Lathyrus leucanthus,25,
111,7/11/19,Brush Creek,K1,1,Agastache urticifolia,4,heads counted
112,7/11/19,Brush Creek,K1,1,Tragopogon dubius,2,
113,7/11/19,Brush Creek,K1,1,Erigeron speciosus,1,
114,7/11/19,Brush Creek,K1,1,Linum lewisii,17,
115,7/11/19,Brush Creek,K1,1,Collomia linearis,284,
116,7/11/19,Brush Creek,K1,1,Castilleja miniata,5,"Pretty sure this is miniata, but should check next time."
117,7/11/19,Brush Creek,K1,1,Lathyrus leucanthus,7,
118,7/11/19,Brush Creek,K1,2,Collomia linearis,20,
119,7/11/19,Brush Creek,K1,2,Delphinium barbeyi,23,
120,7/11/19,Brush Creek,K1,3,Wyethia amplexicaulis,7,
121,7/11/19,Brush Creek,K1,3,Delphinium barbeyi,50,
122,7/11/19,Brush Creek,K1,3,Agoseris glauca,1,
123,7/11/19,Brush Creek,K1,3,Collomia linearis,102,
124,7/11/19,Brush Creek,K1,4,Lathyrus leucanthus,7,
125,7/11/19,Brush Creek,K1,4,Delphinium barbeyi,49,
126,7/11/19,Brush Creek,K1,4,Collomia linearis,338,
127,7/11/19,Brush Creek,K1,4,Agastache urticifolia,1,Counted head
128,7/11/19,Brush Creek,K1,5,Collomia linearis,214,
129,7/11/19,Brush Creek,K1,5,Wyethia amplexicaulis,15,
130,7/11/19,Brush Creek,K1,5,Delphinium barbeyi,10,
131,7/11/19,Brush Creek,K1,5,Lathyrus leucanthus,22,
132,7/11/19,Brush Creek,K2,5,Collomia linearis,218,
133,7/11/19,Brush Creek,K2,5,Delphinium barbeyi,149,
134,7/11/19,Brush Creek,K2,5,Lathyrus leucanthus,11,
135,7/11/19,Brush Creek,K2,4,Collomia linearis,389,
136,7/11/19,Brush Creek,K2,4,Agastache urticifolia,1,
137,7/11/19,Brush Creek,K2,4,Delphinium barbeyi,16,
138,7/11/19,Brush Creek,K2,4,Lathyrus leucanthus,12,
139,7/11/19,Brush Creek,K2,4,Linum lewisii,4,
140,7/11/19,Brush Creek,K2,3,Wyethia amplexicaulis,16,
141,7/11/19,Brush Creek,K2,3,Linum lewisii,10,
142,7/11/19,Brush Creek,K2,3,Tragopogon dubius,1,
143,7/11/19,Brush Creek,K2,3,Collomia linearis,214,
144,7/11/19,Brush Creek,K2,2,Collomia linearis,192,
145,7/11/19,Brush Creek,K2,2,Wyethia amplexicaulis,7,
146,7/11/19,Brush Creek,K2,2,Lathyrus leucanthus,24,
147,7/11/19,Brush Creek,K2,1,Tragopogon dubius,1,
148,7/11/19,Brush Creek,K2,1,Delphinium barbeyi,6,
149,7/11/19,Brush Creek,K2,1,Collomia linearis,361,
150,7/11/19,Brush Creek,K2,1,Lathyrus leucanthus,10,
151,7/11/19,Brush Creek,K3,1,Collomia linearis,197,
152,7/11/19,Brush Creek,K3,1,Delphinium barbeyi,3,
153,7/11/19,Brush Creek,K3,1,Vicia americana,3,
154,7/11/19,Brush Creek,K3,1,Lathyrus leucanthus,8,
155,7/11/19,Brush Creek,K3,2,Collomia linearis,92,
156,7/11/19,Brush Creek,K3,2,Vicia americana,8,
157,7/11/19,Brush Creek,K3,2,Lathyrus leucanthus,8,
158,7/11/19,Brush Creek,K3,2,Wyethia amplexicaulis,3,
159,7/11/19,Brush Creek,K3,2,Tragopogon dubius,1,
160,7/11/19,Brush Creek,K3,3,Collomia linearis,475,
161,7/11/19,Brush Creek,K3,3,Linum lewisii,7,
162,7/11/19,Brush Creek,K3,3,Erigeron speciosus,3,
163,7/11/19,Brush Creek,K3,3,Agastache urticifolia,1,
164,7/11/19,Brush Creek,K3,4,Collomia linearis,544,
165,7/11/19,Brush Creek,K3,4,Delphinium barbeyi,4,
166,7/11/19,Brush Creek,K3,4,Lathyrus leucanthus,4,
167,7/11/19,Brush Creek,K3,5,Collomia linearis,290,
168,7/11/19,Brush Creek,K3,5,Agastache urticifolia,1,
169,7/11/19,Brush Creek,K3,5,Delphinium barbeyi,22,
170,7/11/19,Brush Creek,K2,2,Lomatium dissectum,2,
171,7/17/19,Virginia Basin,T3,5,Viola praemorsa,3,
172,7/17/19,Virginia Basin,T3,5,Draba aurea,9,
173,7/17/19,Virginia Basin,T3,5,Androsace septentrionalis,5,
174,7/17/19,Virginia Basin,T3,5,Fragaria virginiana,5,
175,7/17/19,Virginia Basin,T3,4,Androsace septentrionalis,9,
176,7/17/19,Virginia Basin,T3,4,Draba aurea,50,
177,7/17/19,Virginia Basin,T3,4,Ranunculus inamoenus,7,
178,7/17/19,Virginia Basin,T3,4,Viola praemorsa,21,
179,7/17/19,Virginia Basin,T3,3,Draba aurea,5,
180,7/17/19,Virginia Basin,T3,3,Fragaria virginiana,4,
181,7/17/19,Virginia Basin,T3,3,Androsace septentrionalis,1,
182,7/17/19,Virginia Basin,T3,3,Ribes montigenum,2,
183,7/17/19,Virginia Basin,T3,2,Draba aurea,48,
184,7/17/19,Virginia Basin,T3,2,Ribes montigenum,7,
185,7/17/19,Virginia Basin,T3,2,Androsace septentrionalis,4,
186,7/17/19,Virginia Basin,T3,2,Viola praemorsa,5,
187,7/17/19,Virginia Basin,T3,2,Fragaria virginiana,9,
188,7/17/19,Virginia Basin,T3,1,Viola praemorsa,19,
189,7/17/19,Virginia Basin,T3,1,Draba aurea,39,
190,7/17/19,Virginia Basin,T3,1,Androsace septentrionalis,22,
191,7/17/19,Virginia Basin,T3,1,Fragaria virginiana,19,
192,7/17/19,Virginia Basin,T3,1,Lonicera involucrata,17,
193,7/17/19,Virginia Basin,T2,5,Draba aurea,41,
194,7/17/19,Virginia Basin,T2,5,Androsace septentrionalis,13,
195,7/17/19,Virginia Basin,T2,5,Fragaria virginiana,2,
196,7/17/19,Virginia Basin,T2,4,Viola praemorsa,8,
197,7/17/19,Virginia Basin,T2,4,Androsace septentrionalis,25,
198,7/17/19,Virginia Basin,T2,4,Fragaria virginiana,1,
199,7/17/19,Virginia Basin,T2,3,Viola praemorsa,12,
200,7/17/19,Virginia Basin,T2,3,Androsace septentrionalis,10,
201,7/17/19,Virginia Basin,T2,3,Fragaria virginiana,2,
202,7/17/19,Virginia Basin,T2,2,Androsace septentrionalis,36,
203,7/17/19,Virginia Basin,T2,2,Ranunculus inamoenus,2,
204,7/17/19,Virginia Basin,T2,2,Fragaria virginiana,23,
205,7/17/19,Virginia Basin,T2,2,Draba aurea,7,
206,7/17/19,Virginia Basin,T2,2,Viola praemorsa,3,
207,7/17/19,Virginia Basin,T2,1,Fragaria virginiana,13,
208,7/17/19,Virginia Basin,T2,1,Viola praemorsa,4,
209,7/17/19,Virginia Basin,T2,1,Pseudocymopterus montanus,3,
210,7/17/19,Virginia Basin,T2,1,Draba aurea,18,
211,7/17/19,Virginia Basin,T1,5,Draba aurea,21,
212,7/17/19,Virginia Basin,T1,5,Viola praemorsa,1,
213,7/17/19,Virginia Basin,T1,5,Castilleja miniata,1,
214,7/17/19,Virginia Basin,T1,5,Fragaria virginiana,1,
215,7/17/19,Virginia Basin,T1,4,Fragaria virginiana,1,
216,7/17/19,Virginia Basin,T1,4,Androsace septentrionalis,13,
217,7/17/19,Virginia Basin,T1,4,Draba aurea,57,
218,7/17/19,Virginia Basin,T1,4,Viola praemorsa,2,
219,7/17/19,Virginia Basin,T1,3,Draba aurea,60,
220,7/17/19,Virginia Basin,T1,3,Viola praemorsa,1,
221,7/17/19,Virginia Basin,T1,3,Ribes montigenum,858,
222,7/17/19,Virginia Basin,T1,3,Fragaria virginiana,11,
223,7/17/19,Virginia Basin,T1,2,Draba aurea,84,
224,7/17/19,Virginia Basin,T1,2,Pseudocymopterus montanus,1,
225,7/17/19,Virginia Basin,T1,2,Fragaria virginiana,11,
226,7/17/19,Virginia Basin,T1,2,Castilleja sulphurea,2,
227,7/17/19,Virginia Basin,T1,2,Androsace septentrionalis,16,
228,7/17/19,Virginia Basin,T1,2,Ranunculus inamoenus,1,
229,7/17/19,Virginia Basin,T1,2,Viola praemorsa,2,
230,7/17/19,Virginia Basin,T1,1,Castilleja miniata,1,
231,7/17/19,Virginia Basin,T1,1,Viola praemorsa,5,
232,7/17/19,Virginia Basin,T1,1,Pseudocymopterus montanus,1,
233,7/17/19,Virginia Basin,T1,1,Fragaria virginiana,17,
234,7/17/19,Virginia Basin,T1,1,Draba aurea,61,
235,7/17/19,Virginia Basin,T1,1,Androsace septentrionalis,30,
236,7/18/19,Brush Creek,K1,1,Linum lewisii,26,
237,7/18/19,Brush Creek,K1,1,Agastache urticifolia,50,
238,7/18/19,Brush Creek,K1,1,Erigeron speciosus,82,
239,7/18/19,Brush Creek,K1,1,Collomia linearis,196,
240,7/18/19,Brush Creek,K1,1,Delphinium barbeyi,6,
241,7/18/19,Brush Creek,K1,1,Castilleja miniata,8,
242,7/18/19,Brush Creek,K1,2,Delphinium barbeyi,63,
243,7/18/19,Brush Creek,K1,2,Collomia linearis,13,
244,7/18/19,Brush Creek,K1,3,Delphinium barbeyi,214,
245,7/18/19,Brush Creek,K1,3,Wyethia amplexicaulis,7,
246,7/18/19,Brush Creek,K1,3,Erigeron speciosus,9,
247,7/18/19,Brush Creek,K1,3,Agastache urticifolia,16,
248,7/18/19,Brush Creek,K1,3,Collomia linearis,38,
249,7/18/19,Brush Creek,K1,4,Delphinium barbeyi,111,
250,7/18/19,Brush Creek,K1,4,Erigeron speciosus,11,
251,7/18/19,Brush Creek,K1,4,Agastache urticifolia,39,
252,7/18/19,Brush Creek,K1,4,Collomia linearis,231,
253,7/18/19,Brush Creek,K1,5,Castilleja miniata,1,
254,7/18/19,Brush Creek,K1,5,Wyethia amplexicaulis,16,
255,7/18/19,Brush Creek,K1,5,Delphinium barbeyi,178,
256,7/18/19,Brush Creek,K1,5,Agastache urticifolia,34,
257,7/18/19,Brush Creek,K1,5,Collomia linearis,142,
258,7/18/19,Brush Creek,K2,5,Delphinium barbeyi,342,
259,7/18/19,Brush Creek,K2,5,Castilleja miniata,2,
260,7/18/19,Brush Creek,K2,5,Agastache urticifolia,17,
261,7/18/19,Brush Creek,K2,5,Collomia linearis,81,
262,7/18/19,Brush Creek,K2,5,Erigeron speciosus,2,
263,7/18/19,Brush Creek,K2,4,Delphinium barbeyi,368,
264,7/18/19,Brush Creek,K2,4,Agastache urticifolia,23,
265,7/18/19,Brush Creek,K2,4,Collomia linearis,295,
266,7/18/19,Brush Creek,K2,4,Linum lewisii,3,
267,7/18/19,Brush Creek,K2,4,Erigeron speciosus,10,
268,7/18/19,Brush Creek,K2,3,Delphinium barbeyi,380,
269,7/18/19,Brush Creek,K2,3,Agastache urticifolia,31,
270,7/18/19,Brush Creek,K2,3,Wyethia amplexicaulis,13,
271,7/18/19,Brush Creek,K2,3,Erigeron speciosus,6,
272,7/18/19,Brush Creek,K2,3,Castilleja miniata,1,
273,7/18/19,Brush Creek,K2,3,Collomia linearis,130,
274,7/18/19,Brush Creek,K2,3,Linum lewisii,13,
275,7/18/19,Brush Creek,K2,2,Agastache urticifolia,17,
276,7/18/19,Brush Creek,K2,2,Wyethia amplexicaulis,21,
277,7/18/19,Brush Creek,K2,2,Collomia linearis,194,
278,7/18/19,Brush Creek,K2,1,Delphinium barbeyi,29,
279,7/18/19,Brush Creek,K2,1,Agastache urticifolia,16,
280,7/18/19,Brush Creek,K2,1,Collomia linearis,211,
281,7/18/19,Brush Creek,K2,1,Castilleja miniata,1,
282,7/18/19,Brush Creek,K3,1,Agastache urticifolia,7,
283,7/18/19,Brush Creek,K3,1,Delphinium barbeyi,612,
284,7/18/19,Brush Creek,K3,1,Collomia linearis,103,
285,7/18/19,Brush Creek,K3,1,Erigeron speciosus,11,
286,7/18/19,Brush Creek,K3,1,Vicia americana,7,
287,7/18/19,Brush Creek,K3,2,Delphinium barbeyi,69,
288,7/18/19,Brush Creek,K3,2,Agastache urticifolia,13,
289,7/18/19,Brush Creek,K3,2,Vicia americana,29,
290,7/18/19,Brush Creek,K3,2,Collomia linearis,37,
291,7/18/19,Brush Creek,K3,2,Wyethia amplexicaulis,3,
292,7/18/19,Brush Creek,K3,3,Wyethia amplexicaulis,10,
293,7/18/19,Brush Creek,K3,3,Delphinium barbeyi,228,
294,7/18/19,Brush Creek,K3,3,Agastache urticifolia,58,
295,7/18/19,Brush Creek,K3,3,Erigeron speciosus,21,
296,7/18/19,Brush Creek,K3,3,Collomia linearis,238,
297,7/18/19,Brush Creek,K3,3,Linum lewisii,1,
298,7/18/19,Brush Creek,K3,3,Lathyrus leucanthus,3,
299,7/18/19,Brush Creek,K3,4,Agastache urticifolia,102,
300,7/18/19,Brush Creek,K3,4,Erigeron speciosus,8,
301,7/18/19,Brush Creek,K3,4,Delphinium barbeyi,45,
302,7/18/19,Brush Creek,K3,4,Collomia linearis,291,
303,7/18/19,Brush Creek,K3,5,Delphinium barbeyi,182,
304,7/18/19,Brush Creek,K3,5,Agastache urticifolia,51,
305,7/18/19,Brush Creek,K3,5,Collomia linearis,27,
306,7/18/19,Brush Creek,K3,5,Calochortus gunnisonii,1,
307,7/18/19,Brush Creek,K3,5,Erigeron speciosus,5,
308,7/24/19,Virginia Basin,T3,5,Androsace septentrionalis,3,
309,7/24/19,Virginia Basin,T3,5,Fragaria virginiana,20,
310,7/24/19,Virginia Basin,T3,5,Draba aurea,9,
311,7/24/19,Virginia Basin,T3,4,Fragaria virginiana,2,
312,7/24/19,Virginia Basin,T3,4,Androsace septentrionalis,17,
313,7/24/19,Virginia Basin,T3,4,Draba aurea,50,
314,7/24/19,Virginia Basin,T3,4,Ranunculus inamoenus,3,
315,7/24/19,Virginia Basin,T3,4,Castilleja sulphurea,1,
316,7/24/19,Virginia Basin,T3,3,Castilleja sulphurea,6,
317,7/24/19,Virginia Basin,T3,3,Fragaria virginiana,18,
318,7/24/19,Virginia Basin,T3,3,Draba aurea,16,
319,7/24/19,Virginia Basin,T3,3,Androsace septentrionalis,2,
320,7/24/19,Virginia Basin,T3,3,Ribes montigenum,2,
321,7/24/19,Virginia Basin,T3,2,Ribes montigenum,6,
322,7/24/19,Virginia Basin,T3,2,Draba aurea,36,
323,7/24/19,Virginia Basin,T3,2,Castilleja sulphurea,5,
324,7/24/19,Virginia Basin,T3,2,Androsace septentrionalis,4,
325,7/24/19,Virginia Basin,T3,2,Fragaria virginiana,12,
326,7/24/19,Virginia Basin,T3,1,Castilleja sulphurea,16,
327,7/24/19,Virginia Basin,T3,1,Fragaria virginiana,31,
328,7/24/19,Virginia Basin,T3,1,Androsace septentrionalis,8,
329,7/24/19,Virginia Basin,T3,1,Draba aurea,42,
330,7/24/19,Virginia Basin,T2,1,Pseudocymopterus montanus,3,
331,7/24/19,Virginia Basin,T2,1,Fragaria virginiana,16,
332,7/24/19,Virginia Basin,T2,1,Castilleja sulphurea,7,
333,7/24/19,Virginia Basin,T2,1,Draba aurea,9,
334,7/24/19,Virginia Basin,T2,1,Potentilla pulcherrima,3,
335,7/24/19,Virginia Basin,T2,1,Lathyrus leucanthus,3,
336,7/24/19,Virginia Basin,T2,2,Lathyrus leucanthus,8,
337,7/24/19,Virginia Basin,T2,2,Fragaria virginiana,10,
338,7/24/19,Virginia Basin,T2,2,Draba aurea,25,
339,7/24/19,Virginia Basin,T2,2,Androsace septentrionalis,13,
340,7/24/19,Virginia Basin,T2,2,Pseudocymopterus montanus,1,
341,7/24/19,Virginia Basin,T2,3,Agoseris aurantiaca,1,
342,7/24/19,Virginia Basin,T2,3,Castilleja sulphurea,5,
343,7/24/19,Virginia Basin,T2,3,Fragaria virginiana,2,
344,7/24/19,Virginia Basin,T2,3,Androsace septentrionalis,5,
345,7/24/19,Virginia Basin,T2,3,Senecio crassulus,3,
346,7/24/19,Virginia Basin,T2,4,Androsace septentrionalis,18,
347,7/24/19,Virginia Basin,T2,4,Fragaria virginiana,6,
348,7/24/19,Virginia Basin,T2,4,Lathyrus leucanthus,1,
349,7/24/19,Virginia Basin,T2,5,Draba aurea,39,
350,7/24/19,Virginia Basin,T2,5,Fragaria virginiana,7,
351,7/24/19,Virginia Basin,T2,5,Castilleja sulphurea,5,
352,7/24/19,Virginia Basin,T2,5,Lathyrus leucanthus,9,
353,7/24/19,Virginia Basin,T2,5,Androsace septentrionalis,2,
354,7/24/19,Virginia Basin,T1,5,Lathyrus leucanthus,18,
355,7/24/19,Virginia Basin,T1,5,Castilleja sulphurea,1,
356,7/24/19,Virginia Basin,T1,5,Castilleja miniata,12,
357,7/24/19,Virginia Basin,T1,5,Draba aurea,18,
358,7/24/19,Virginia Basin,T1,5,Fragaria virginiana,4,
359,7/24/19,Virginia Basin,T1,4,Lathyrus leucanthus,3,
360,7/24/19,Virginia Basin,T1,4,Draba aurea,37,
361,7/24/19,Virginia Basin,T1,4,Androsace septentrionalis,2,
362,7/24/19,Virginia Basin,T1,4,Castilleja miniata,2,
363,7/24/19,Virginia Basin,T1,4,Fragaria virginiana,2,
364,7/24/19,Virginia Basin,T1,3,Lathyrus leucanthus,19,
365,7/24/19,Virginia Basin,T1,3,Androsace septentrionalis,1,
366,7/24/19,Virginia Basin,T1,3,Draba aurea,40,
367,7/24/19,Virginia Basin,T1,3,Fragaria virginiana,3,
368,7/24/19,Virginia Basin,T1,3,Castilleja miniata,4,
369,7/24/19,Virginia Basin,T1,3,Senecio crassulus,2,
370,7/24/19,Virginia Basin,T1,3,Ribes montigenum,8,
371,7/24/19,Virginia Basin,T1,3,Castilleja sulphurea,3,
372,7/24/19,Virginia Basin,T1,2,Castilleja miniata,8,
373,7/24/19,Virginia Basin,T1,2,Draba aurea,44,
374,7/24/19,Virginia Basin,T1,2,Lathyrus leucanthus,17,
375,7/24/19,Virginia Basin,T1,2,Castilleja sulphurea,27,
376,7/24/19,Virginia Basin,T1,2,Pseudocymopterus montanus,2,
377,7/24/19,Virginia Basin,T1,2,Fragaria virginiana,7,
378,7/24/19,Virginia Basin,T1,2,Androsace septentrionalis,5,
379,7/24/19,Virginia Basin,T1,1,Ligusticum porteri,1,
380,7/24/19,Virginia Basin,T1,1,Lathyrus leucanthus,29,
381,7/24/19,Virginia Basin,T1,1,Castilleja miniata,33,
382,7/24/19,Virginia Basin,T1,1,Draba aurea,43,
383,7/24/19,Virginia Basin,T1,1,Pseudocymopterus montanus,2,
384,7/24/19,Virginia Basin,T1,1,Castilleja sulphurea,3,
385,7/24/19,Virginia Basin,T1,1,Fragaria virginiana,3,
386,7/24/19,Virginia Basin,T1,1,Androsace septentrionalis,12,
387,7/26/19,Brush Creek,K1,1,Erigeron speciosus,259,
388,7/26/19,Brush Creek,K1,1,Agastache urticifolia,138,
389,7/26/19,Brush Creek,K1,1,Castilleja miniata,13,
390,7/26/19,Brush Creek,K1,1,Linum lewisii,2,
391,7/26/19,Brush Creek,K1,1,Delphinium occidentale,22,
392,7/26/19,Brush Creek,K1,1,Calochortus gunnisonii,2,
393,7/26/19,Brush Creek,K1,1,Collomia linearis,8,
394,7/26/19,Brush Creek,K1,2,Calochortus gunnisonii,5,
395,7/26/19,Brush Creek,K1,2,Delphinium occidentale,23,
396,7/26/19,Brush Creek,K1,2,Agastache urticifolia,11,
397,7/26/19,Brush Creek,K1,2,Erigeron speciosus,23,
398,7/26/19,Brush Creek,K1,2,Collomia linearis,3,
399,7/26/19,Brush Creek,K1,2,Heliomeris multiflora,1,
400,7/26/19,Brush Creek,K1,3,Heliomeris multiflora,1,
401,7/26/19,Brush Creek,K1,3,Delphinium occidentale,59,
402,7/26/19,Brush Creek,K1,3,Erigeron speciosus,67,
403,7/26/19,Brush Creek,K1,3,Agastache urticifolia,23,
404,7/26/19,Brush Creek,K1,4,Agastache urticifolia,59,
405,7/26/19,Brush Creek,K1,4,Erigeron speciosus,36,
406,7/26/19,Brush Creek,K1,4,Delphinium occidentale,118,
407,7/26/19,Brush Creek,K1,5,Delphinium occidentale,134,
408,7/26/19,Brush Creek,K1,5,Agastache urticifolia,54,
409,7/26/19,Brush Creek,K1,5,Wyethia amplexicaulis,30,
410,7/26/19,Brush Creek,K1,5,Erigeron speciosus,5,
411,7/26/19,Brush Creek,K1,5,Calochortus gunnisonii,2,
412,7/26/19,Brush Creek,K2,5,Agastache urticifolia,27,
413,7/26/19,Brush Creek,K2,5,Erigeron speciosus,13,
414,7/26/19,Brush Creek,K2,5,Delphinium occidentale,247,
415,7/26/19,Brush Creek,K2,5,Calochortus gunnisonii,2,
416,7/26/19,Brush Creek,K2,5,Castilleja miniata,1,
417,7/26/19,Brush Creek,K2,4,Erigeron speciosus,51,
