date,site,who,transect,segment,round,gross_ID,plant,insect_order
7/26/19,Brush Creek,KA,K2,2,1,Beetles,Agastache urticifolia,Coleoptera
7/26/19,Brush Creek,KA,K2,2,2,Syrphidae,Agastache urticifolia,Diptera
7/26/19,Brush Creek,KA,K2,2,2,Other fly,Agastache urticifolia,Diptera
7/26/19,Brush Creek,KA,K3,2,1,Moths,Agastache urticifolia,Lepidoptera
7/26/19,Brush Creek,ES,K1,3,2,Bombus flavifrons,Agastache urticifolia,Hymenoptera
7/26/19,Brush Creek,KA,K1,3,1,Other fly,Erigeron speciosus,Diptera
7/26/19,Brush Creek,ES,K3,3,2,Bombus bifarius,Agastache urticifolia,Hymenoptera
7/26/19,Brush Creek,KA,K2,4,1,Hemipteran,Erigeron speciosus,Hemiptera
7/26/19,Brush Creek,KA,K1,5,2,Bombus flavifrons,Delphinium occidentale,Hymenoptera
7/26/19,Brush Creek,KA,K2,5,1,Bombus bifarius,Agastache urticifolia,Hymenoptera
7/26/19,Brush Creek,KA,K3,5,1,Moths,Agastache urticifolia,Lepidoptera
8/2/19,Brush Creek,BD,K1,1,1,Other fly,Erigeron speciosus,Diptera
8/2/19,Brush Creek,KA,K3,1,1,Bombus flavifrons,Delphinium occidentale,Hymenoptera
8/2/19,Brush Creek,KA,K3,1,2,Bombus flavifrons,Delphinium occidentale,Hymenoptera
8/2/19,Brush Creek,KA,K3,1,2,Bombus bifarius,Erigeron speciosus,Hymenoptera
8/2/19,Brush Creek,KA,K3,1,2,Bombus bifarius,Erigeron speciosus,Hymenoptera
8/2/19,Brush Creek,KA,K3,1,1,Small black solitary bee,Erigeron speciosus,Hymenoptera
8/2/19,Virginia Basin,TR,T1,1,1,Other fly,Ligusticum porteri,Diptera
8/2/19,Virginia Basin,TR,T1,1,1,Other fly,Senecio crassulus,Diptera
8/2/19,Virginia Basin,TR,T1,1,1,Other fly,Ligusticum porteri,Diptera
8/2/19,Virginia Basin,TR,T1,1,1,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera
8/2/19,Virginia Basin,TR,T2,1,1,Bombus flavifrons,Castilleja sulphurea,Hymenoptera
8/2/19,Virginia Basin,TR,T2,1,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Virginia Basin,CM,T3,1,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CM,T3,1,1,Other fly,Senecio crassulus,Diptera
8/2/19,Brush Creek,KA,K3,2,1,Bombus unknown,Delphinium occidentale,Hymenoptera
8/2/19,Brush Creek,KA,K3,2,1,Bombus unknown,Erigeron speciosus,Hymenoptera
8/2/19,Virginia Basin,TR,T1,2,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,TR,T1,2,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Virginia Basin,CM,T2,2,1,Other fly,Linum lewisii,Diptera
8/2/19,Virginia Basin,CM,T2,2,1,Other fly,Pseudocymopterus montanus,Diptera
8/2/19,Virginia Basin,CM,T2,2,1,Other fly,Linum lewisii,Diptera
8/2/19,Virginia Basin,CM,T3,2,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Brush Creek,KA,K1,3,2,Bombus bifarius,Erigeron speciosus,Hymenoptera
8/2/19,Brush Creek,KA,K2,3,1,Other fly,Agastache urticifolia,Raphidioptera
8/2/19,Brush Creek,KA,K3,3,2,Other fly,Agastache urticifolia,Raphidioptera
8/2/19,Brush Creek,KA,K1,4,1,Bombus insularis,Agastache urticifolia,Hymenoptera
8/2/19,Brush Creek,KA,K1,4,1,Bombus bifarius,Agastache urticifolia,Hymenoptera
8/2/19,Brush Creek,KA,K1,4,1,Hemipteran,Erigeron speciosus,Hemiptera
8/2/19,Brush Creek,BD,K1,4,2,Small black solitary bee,Erigeron speciosus,Hymenoptera
8/2/19,Brush Creek,BD,K2,4,2,Bombus bifarius,Agastache urticifolia,Hymenoptera
8/2/19,Brush Creek,BD,K2,4,2,Bombus bifarius,Agastache urticifolia,Hymenoptera
8/2/19,Brush Creek,KA,K3,4,2,Other fly,Agastache urticifolia,Raphidioptera
8/2/19,Virginia Basin,CM,T1,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CM,T1,4,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Virginia Basin,CM,T1,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CM,T1,4,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Virginia Basin,CS,T2,4,1,Bombus unknown,Castilleja sulphurea,Hymenoptera
8/2/19,Virginia Basin,TR,T3,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Brush Creek,KA,K1,5,2,Small metallic solitary bee,Agastache urticifolia,Hymenoptera
8/2/19,Brush Creek,KA,K2,5,2,Bombus flavifrons,Delphinium occidentale,Hymenoptera
8/2/19,Brush Creek,KA,K3,5,1,Bombus bifarius,Delphinium occidentale,Hymenoptera
8/2/19,Brush Creek,KA,K3,5,2,Other fly,Delphinium occidentale,Raphidioptera
8/2/19,Virginia Basin,CM,T1,5,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CM,T1,5,1,Other fly,Potentilla pulcherrima,Diptera
8/2/19,Virginia Basin,CM,T1,5,1,Wasps,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CM,T1,5,1,Syrphidae,Linum lewisii,Diptera
8/2/19,Virginia Basin,CM,T1,5,1,Other fly,Senecio crassulus,Diptera
8/2/19,Virginia Basin,CM,T1,5,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/2/19,Virginia Basin,CS,T3,5,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,AS,T1,1,1,Bombus flavifrons,Castilleja sulphurea,Hymenoptera
8/7/19,Virginia Basin,AS,T1,1,1,Syrphidae,Linum lewisii,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Senecio crassulus,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Senecio crassulus,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Other fly,Pseudocymopterus montanus,Diptera
8/7/19,Virginia Basin,CS,T2,1,1,Hemipteran,Senecio crassulus,Hemiptera
8/7/19,Virginia Basin,CS,T3,1,1,White butterfly,Senecio crassulus,Lepidoptera
8/7/19,Virginia Basin,CS,T3,1,1,Syrphidae,Senecio crassulus,Diptera
8/7/19,Virginia Basin,BD,T2,2,1,Bombus flavifrons,Helianthella quinquenervis,Hymenoptera
8/7/19,Virginia Basin,AS,T1,3,1,Bombus unknown,Helianthella quinquenervis,Hymenoptera
8/7/19,Virginia Basin,SP,T3,3,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,AS,T1,4,1,Bombus frigidus,Castilleja sulphurea,Hymenoptera
8/7/19,Virginia Basin,AS,T1,4,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,AS,T1,4,1,Hemipteran,Senecio crassulus,Hemiptera
8/7/19,Virginia Basin,AS,T1,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/7/19,Virginia Basin,ES,T2,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/7/19,Virginia Basin,ES,T2,4,1,Other fly,Potentilla pulcherrima,Diptera
8/7/19,Virginia Basin,ES,T1,5,1,Bombus sylvicola,Senecio crassulus,Hymenoptera
8/9/19,Brush Creek,ES,K1,1,1,Hemipteran,Erigeron speciosus,Hemiptera
8/9/19,Brush Creek,LX,K3,1,1,Hemipteran,Erigeron speciosus,Hemiptera
8/9/19,Brush Creek,LX,K3,1,1,Other fly,Agastache urticifolia,Diptera
8/9/19,Brush Creek,ES,K1,2,2,Small black solitary bee,Polygonum douglasii,Hymenoptera
8/9/19,Brush Creek,ES,K1,2,2,Bombyliidae,Heliomeris multiflora,Diptera
8/9/19,Brush Creek,KA,K3,2,2,Bombus flavifrons,Agastache urticifolia,Hymenoptera
8/9/19,Brush Creek,KA,K3,2,2,Bombus californicus,Agastache urticifolia,Hymenoptera
8/9/19,Brush Creek,KA,K3,2,2,Bombyliidae,Erigeron speciosus,Diptera
8/9/19,Brush Creek,KA,K2,3,2,Moths,Erigeron speciosus,Lepidoptera
8/9/19,Brush Creek,ES,K1,4,2,Bombus californicus,Agastache urticifolia,Hymenoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,1,Big solitary bee (non-megachile),Agastache urticifolia,Hymenoptera
8/9/19,Brush Creek,KA,K2,4,2,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,2,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,KA,K2,4,2,Beetles,Chrysothamnus viscidiflorus,Coleoptera
8/9/19,Brush Creek,ES,K1,5,2,Beetles,Heliomeris multiflora,Coleoptera
8/9/19,Brush Creek,KA,K3,5,2,Syrphidae,Heliomeris multiflora,Diptera
8/9/19,Brush Creek,KA,K3,5,2,Small black solitary bee,Heliomeris multiflora,Hymenoptera
8/14/19,Virginia Basin,SP,T2,1,1,Bombus flavifrons,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,SP,T2,1,1,Bombus bifarius,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,SP,T2,1,1,Bombus frigidus,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,CS,T2,1,1,Bombus mixtus,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,SP,T2,1,1,Syrphidae,Linum lewisii,Diptera
8/14/19,Virginia Basin,CM,T3,1,1,Other fly,Linum lewisii,Diptera
8/14/19,Virginia Basin,BD,T2,2,1,Bombus frigidus,Agoseris glauca,Hymenoptera
8/14/19,Virginia Basin,BD,T2,2,1,Other fly,Potentilla pulcherrima,Diptera
8/14/19,Virginia Basin,CM,T3,2,1,Other fly,Helianthella quinquenervis,Diptera
8/14/19,Virginia Basin,CM,T3,2,1,Other fly,Helianthella quinquenervis,Diptera
8/14/19,Virginia Basin,BD,T3,3,1,Bombus kirbiellus,Castilleja miniata,Hymenoptera
8/14/19,Virginia Basin,BD,T3,3,1,Bombus kirbiellus,Castilleja miniata,Hymenoptera
8/14/19,Virginia Basin,SP,T3,4,1,Bombus mixtus,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,SP,T3,4,1,Bombus frigidus,Helianthella quinquenervis,Hymenoptera
8/14/19,Virginia Basin,SP,T3,4,1,Syrphidae,Potentilla pulcherrima,Diptera
8/14/19,Virginia Basin,SP,T3,4,1,Other fly,Potentilla pulcherrima,Diptera
8/14/19,Virginia Basin,SP,T3,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/14/19,Virginia Basin,SP,T1,5,1,Syrphidae,Linum lewisii,Diptera
8/14/19,Virginia Basin,CM,T3,5,1,Bombus flavifrons,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T1,1,1,Bombus bifarius,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T1,1,1,Bombus flavifrons,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T2,1,1,Bombus unknown,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T2,1,1,Bombus frigidus,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,AS,T2,1,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,2,1,Bombus frigidus,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,2,1,Bombus bifarius,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,2,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T3,2,1,Bombus unknown,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T3,2,1,Bombus flavifrons,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T1,3,1,Bombus unknown,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,3,1,Bombus kirbiellus,Castilleja miniata,Hymenoptera
8/19/19,Virginia Basin,SP,T3,3,1,Bombus bifarius,Erigeron elatior,Hymenoptera
8/19/19,Virginia Basin,SP,T1,4,1,Bombus bifarius,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,AS,T1,4,1,Syrphidae,Potentilla pulcherrima,Diptera
8/19/19,Virginia Basin,SP,T1,4,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T3,4,1,Bombus bifarius,Helianthella quinquenervis,Hymenoptera
8/19/19,Virginia Basin,SP,T1,5,1,Bombus bifarius,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,5,1,Bombus bifarius,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T1,5,1,Bombus bifarius,Potentilla pulcherrima,Hymenoptera
8/19/19,Virginia Basin,SP,T3,5,1,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
6/24/20,Emerald Lake Hill,KA,T1,1,NA,Hemipteran,Ligusticum porteri,Hemiptera
6/24/20,Emerald Lake Hill,KA,T1,1,NA,Hemipteran,Ligusticum porteri,Hemiptera
6/24/20,Emerald Lake Hill,TR,T1,2,NA,Syrphidae,Ligusticum porteri,Diptera
6/24/20,Emerald Lake Hill,KA,T2,3,NA,Hemipteran,Ligusticum porteri,Hemiptera
6/24/20,Emerald Lake Hill,TR,T1,4,NA,Syrphidae,Ligusticum porteri,Diptera
6/24/20,Emerald Lake Hill,KA,T2,4,NA,Hemipteran,Osmorhiza occidentalis,Hemiptera
6/24/20,Emerald Lake Hill,TR,T3,4,NA,Wasps,Boechera stricta,Hymenoptera
6/25/20,Virginia Basin,AS,T2,1,1,Other fly,Pseudocymopterus montanus,Diptera
6/25/20,Virginia Basin,TR,T1,2,1,Small black solitary bee,Draba aurea,Hymenoptera
6/25/20,Virginia Basin,CS,T1,3,1,Wasps,Draba aurea,Hymenoptera
6/25/20,Virginia Basin,AS,T3,4,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
6/25/20,Virginia Basin,TR,T1,5,1,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera
6/25/20,Virginia Basin,TR,T1,5,1,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera
6/25/20,Virginia Basin,AS,T2,5,1,Hemipteran,Fragaria virginiana,Hemiptera
6/25/20,Virginia Basin,AS,T3,5,1,Small black solitary bee,Pseudocymopterus montanus,Hymenoptera
6/29/20,Ohio Pass High,AS,T1,1,NA,Syrphidae,Galium boreale,Diptera
6/29/20,Ohio Pass High,AS,T3,1,NA,Bombus flavifrons,Delphinium nuttallianum,Hymenoptera
6/29/20,Ohio Pass High,TR,T1,3,NA,Syrphidae,Delphinium nuttallianum,Diptera
6/29/20,Ohio Pass High,TR,T1,4,NA,Other fly,Delphinium nuttallianum,Diptera
6/30/20,Emerald Lake Hill,AS,T2,2,NA,Hemipteran,Ligusticum porteri,Hemiptera
6/30/20,Emerald Lake Shore,AL,T2,2,NA,Beetles,Pseudocymopterus montanus,Coleoptera
6/30/20,Emerald Lake Shore,AL,T2,2,NA,Beetles,Taraxacum officinale,Coleoptera
6/30/20,Emerald Lake Hill,AS,T2,3,NA,Other fly,Ligusticum porteri,Diptera
6/30/20,Emerald Lake Hill,AS,T2,3,NA,Other fly,Ligusticum porteri,Diptera
6/30/20,Emerald Lake Shore,HB,T2,3,NA,Hemipteran,Pseudocymopterus montanus,Hemiptera
6/30/20,Emerald Lake Shore,HB,T2,3,NA,Hemipteran,Pseudocymopterus montanus,Hemiptera
6/30/20,Emerald Lake Shore,HB,T2,3,NA,Beetles,Pseudocymopterus montanus,Coleoptera
6/30/20,Emerald Lake Shore,HB,T2,3,NA,Other fly,Pseudocymopterus montanus,Diptera
6/30/20,Emerald Lake Shore,AL,T3,3,NA,Hemipteran,Taraxacum officinale,Lepidoptera
6/30/20,Emerald Lake Hill,TR,T1,4,NA,Other fly,Ligusticum porteri,Diptera
6/30/20,Emerald Lake Shore,AL,T3,4,NA,Beetles,Taraxacum officinale,Coleoptera
6/30/20,Emerald Lake Shore,AL,T3,4,NA,Other fly,Taraxacum officinale,Diptera
6/30/20,Emerald Lake Shore,AL,T3,5,NA,Hemipteran,Pseudocymopterus montanus,Hemiptera
6/30/20,Emerald Lake Shore,AL,T3,5,NA,Beetles,Potentilla pulcherrima,Coleoptera
7/2/20,Virginia Basin,CS,T1,1,1,Small metallic solitary bee,Linum lewisii,Hymenoptera
7/2/20,Virginia Basin,CS,T1,1,1,Small black solitary bee,Linum lewisii,Hymenoptera
7/2/20,Virginia Basin,CS,T1,1,1,Other fly,Linum lewisii,Diptera
7/2/20,Pfeiler,KA,T2,1,NA,Syrphidae,Potentilla pulcherrima,Diptera
7/2/20,Pfeiler,KA,T2,1,NA,Syrphidae,Ligusticum porteri,Diptera
7/2/20,Pfeiler,KA,T2,1,NA,Hemipteran,Potentilla pulcherrima,Hemiptera
7/2/20,Pfeiler,KA,T2,1,NA,Hemipteran,Ligusticum porteri,Hemiptera
7/2/20,Pfeiler,KA,T3,1,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/2/20,Pfeiler,KA,T3,1,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/2/20,Pfeiler,KA,T3,1,NA,Small black solitary bee,Ligusticum porteri,Hymenoptera
7/2/20,Pfeiler,KA,T3,1,NA,Other fly,Potentilla pulcherrima,Diptera
7/2/20,Pfeiler,KA,T3,1,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/2/20,Pfeiler,HB,T1,2,NA,Bombus rufocinctus,Senecio crassulus,Hymenoptera
7/2/20,Pfeiler,HB,T1,2,NA,Bombus bifarius,Senecio crassulus,Hymenoptera
7/2/20,Pfeiler,HB,T1,2,NA,Syrphidae,Collomia linearis,Diptera
7/2/20,Pfeiler,HB,T1,2,NA,Hemipteran,Senecio crassulus,Hemiptera
7/2/20,Virginia Basin,TR,T1,2,1,Small black solitary bee,Draba aurea,Hymenoptera
7/2/20,Virginia Basin,AS,T2,2,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Pfeiler,HB,T3,2,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/2/20,Pfeiler,HB,T3,2,NA,Hemipteran,Ligusticum porteri,Hemiptera
7/2/20,Pfeiler,HB,T3,2,NA,Syrphidae,Ligusticum porteri,Diptera
7/2/20,Pfeiler,HB,T3,2,NA,Syrphidae,Ligusticum porteri,Diptera
7/2/20,Pfeiler,HB,T3,2,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/2/20,Virginia Basin,CS,T3,2,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,CS,T3,2,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,CS,T3,2,1,Small black solitary bee,Draba aurea,Hymenoptera
7/2/20,Virginia Basin,CS,T3,2,1,Other fly,Senecio crassulus,Diptera
7/2/20,Pfeiler,KA,T1,3,NA,Bombus bifarius,Senecio crassulus,Hymenoptera
7/2/20,Virginia Basin,CS,T1,3,1,Small black solitary bee,Draba aurea,Hymenoptera
7/2/20,Virginia Basin,CS,T1,3,1,Hemipteran,Fragaria virginiana,Hemiptera
7/2/20,Pfeiler,HB,T2,3,NA,Other fly,Potentilla pulcherrima,Diptera
7/2/20,Virginia Basin,AS,T2,3,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Pfeiler,KA,T3,3,NA,Small black solitary bee,Ligusticum porteri,Hymenoptera
7/2/20,Pfeiler,KA,T3,3,NA,Small black solitary bee,Linum lewisii,Hymenoptera
7/2/20,Pfeiler,KA,T3,3,NA,Hemipteran,Ligusticum porteri,Hemiptera
7/2/20,Pfeiler,KA,T3,3,NA,Other fly,Linum lewisii,Diptera
7/2/20,Pfeiler,KA,T3,3,NA,Other fly,Linum lewisii,Diptera
7/2/20,Virginia Basin,CS,T3,3,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,TR,T2,4,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,TR,T2,4,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,TR,T2,4,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Pfeiler,HB,T3,4,NA,Other fly,Senecio crassulus,Diptera
7/2/20,Pfeiler,HB,T3,4,NA,Other fly,Potentilla pulcherrima,Diptera
7/2/20,Pfeiler,KA,T2,5,NA,Syrphidae,Senecio crassulus,Diptera
7/2/20,Virginia Basin,TR,T2,5,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Pfeiler,HB,T3,5,NA,Other fly,Senecio crassulus,Diptera
7/2/20,Pfeiler,HB,T3,5,NA,Syrphidae,Senecio crassulus,Diptera
7/2/20,Pfeiler,HB,T3,5,NA,Moths,Senecio crassulus,Lepidoptera
7/2/20,Virginia Basin,TR,T3,5,1,Small metallic solitary bee,Fragaria virginiana,Hymenoptera
7/2/20,Virginia Basin,TR,T3,5,1,Other fly,Pseudocymopterus montanus,Diptera
7/6/20,Ohio Pass High,TR,T2,1,NA,Other fly,Senecio crassulus,Diptera
7/6/20,Ohio Pass High,TR,T2,2,NA,Small black solitary bee,Senecio crassulus,Hymenoptera
7/6/20,Ohio Pass High,TR,T2,2,NA,Bombyliidae,Senecio crassulus,Diptera
7/6/20,Ohio Pass High,TR,T2,2,NA,Other fly,Senecio crassulus,Diptera
7/6/20,Ohio Pass High,KA,T1,3,NA,Small black solitary bee,Potentilla pulcherrima,Hymenoptera
7/6/20,Ohio Pass High,KA,T1,3,NA,Other fly,Potentilla pulcherrima,Diptera
7/6/20,Ohio Pass High,HB,T2,4,NA,Other fly,Ligusticum porteri,Diptera
7/6/20,Ohio Pass High,HB,T2,4,NA,Other fly,Ligusticum porteri,Diptera
7/6/20,Ohio Pass High,CS,T1,5,NA,Other fly,Ligusticum porteri,Diptera
