year,deployment_period,plot,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss,redo_coin_litter_dry_weight,diff
2024,Overwinter,6,6,B,No,8/16/23,6/30/24,319,Community,C,1.56,3.31,5,1.723,3.277,3.283,0.027
2024,Overwinter,6,7,C,No,8/16/23,6/30/24,319,Community,C,1.56,3.549,5,1.958,3.042,3.518,0.031
2024,Overwinter,7,3,A,No,8/16/23,6/30/24,319,Mixed,R,1.55,3.333,5,1.727,3.273,3.277,0.056
2024,Overwinter,7,5,B,No,8/16/23,6/30/24,319,Mixed,R,1.58,3.076,5,1.449,3.551,3.029,0.047
2024,Overwinter,7,9,C,No,8/16/23,6/30/24,319,Mixed,R,1.54,3.078,5,1.489,3.511,3.029,0.049
2024,Overwinter,8,2,A,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.296,5,1.666,3.334,3.246,0.05
2024,Overwinter,8,4,B,No,8/16/23,6/30/24,319,Mixed,C,1.57,3.162,5,1.518,3.482,3.088,0.074
2024,Overwinter,8,7,C,No,8/16/23,6/30/24,319,Mixed,C,1.57,3.324,5,1.703,3.297,3.273,0.051
2024,Overwinter,9,3,A,No,8/16/23,6/30/24,319,Mixed,C,1.56,3.524,5,1.883,3.117,3.443,0.081
2024,Overwinter,9,9,C,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.647,5,2.007,2.993,3.587,0.06
2024,Overwinter,9,4,B,Yes,8/16/23,6/30/24,319,Mixed,C,1.56,,,,,,
2024,Overwinter,10,6,C,No,8/16/23,6/30/24,319,Mixed,R,1.56,3.12,5,1.619,3.381,3.179,-0.059
2024,Overwinter,10,3,A,Yes,8/16/23,6/30/24,319,Mixed,R,1.57,,,,,,
2024,Overwinter,10,4,B,Yes,8/16/23,6/30/24,319,Mixed,R,1.55,,,,,,
2024,Overwinter,11,3,A,No,8/16/23,6/30/24,319,Community,R,1.57,3.14,5,1.64,3.36,3.21,-0.07
2024,Overwinter,11,4,B,No,8/16/23,6/30/24,319,Community,R,1.57,3.18,5,1.747,3.253,3.317,-0.137
2024,Overwinter,11,5,C,No,8/16/23,6/30/24,319,Community,R,1.59,3.09,5,1.529,3.471,3.119,-0.029
2024,Overwinter,12,2,A,No,8/16/23,6/30/24,319,Community,C,1.57,3.5,5,2.122,2.878,3.692,-0.192
2024,Overwinter,12,8,C,No,8/16/23,6/30/24,319,Community,C,1.56,2.73,5,1.365,3.635,2.925,-0.195
2024,Overwinter,12,6,B,Yes,8/16/23,6/30/24,319,Community,C,1.59,,,,,,
2024,Overwinter,13,7,B,No,8/16/23,6/30/24,319,Castilleja,C,1.57,2.79,5,1.233,3.767,2.803,-0.013
2024,Overwinter,13,9,C,No,8/16/23,6/30/24,319,Castilleja,C,1.56,3.85,5,2.343,2.657,3.903,-0.053
2024,Overwinter,13,1,A,Yes,8/16/23,6/30/24,319,Castilleja,C,1.54,,,,,,
2024,Overwinter,14,2,A,No,8/16/23,6/30/24,319,Castilleja,R,1.56,3.03,5,1.498,3.502,3.058,-0.028
2024,Overwinter,14,6,B,No,8/16/23,6/30/24,319,Castilleja,R,1.57,2.78,5,1.273,3.727,2.843,-0.063
2024,Overwinter,14,8,C,No,8/16/23,6/30/24,319,Castilleja,R,1.57,2.65,5,1.157,3.843,2.727,-0.077
2024,Overwinter,17,2,A,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.302,5,1.66,3.34,3.24,0.062
2024,Overwinter,17,3,B,No,8/16/23,6/30/24,319,Mixed,C,1.55,3.407,5,1.817,3.183,3.367,0.04
2024,Overwinter,17,4,C,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.331,5,1.716,3.284,3.296,0.035
2024,Overwinter,18,6,A,No,8/16/23,6/30/24,319,Mixed,R,1.55,3.295,5,1.73,3.27,3.28,0.015
2024,Overwinter,18,7,B,No,8/16/23,6/30/24,319,Mixed,R,1.57,3.384,5,1.791,3.209,3.361,0.023
2024,Overwinter,18,8,C,No,8/16/23,6/30/24,319,Mixed,R,1.55,3.628,5,2.045,2.955,3.595,0.033
2024,Overwinter,21,1,A,No,8/16/23,6/30/24,319,Castilleja,C,1.52,3.106,5,1.533,3.467,3.053,0.053
2024,Overwinter,21,3,B,No,8/16/23,6/30/24,319,Castilleja,C,1.55,3.138,5,1.513,3.487,3.063,0.075
2024,Overwinter,21,8,C,Yes,8/16/23,6/30/24,319,Castilleja,C,1.58,,,,,,
2024,Overwinter,22,7,A,No,8/16/23,6/30/24,319,Castilleja,R,1.58,2.49,5,0.965,4.035,2.545,-0.055
2024,Overwinter,22,9,C,No,8/16/23,6/30/24,319,Castilleja,R,1.58,3.14,5,1.552,3.448,3.132,0.008
2024,Overwinter,22,8,B,Yes,8/16/23,6/30/24,319,Castilleja,R,1.6,,,,,,
2024,Overwinter,27,1,A,No,8/16/23,6/30/24,319,Community,C,1.61,2.74,5,1.432,3.568,3.042,-0.302
2024,Overwinter,27,4,B,No,8/16/23,6/30/24,319,Community,C,1.61,3.33,5,1.916,3.084,3.526,-0.196
2024,Overwinter,27,5,C,No,8/16/23,6/30/24,319,Community,C,1.6,2.94,5,1.477,3.523,3.077,-0.137
2024,Overwinter,28,3,A,No,8/16/23,6/30/24,319,Community,R,1.56,2.78,5,1.272,3.728,2.832,-0.052
2024,Overwinter,28,7,B,No,8/16/23,6/30/24,319,Community,R,1.57,3.33,5,1.675,3.325,3.245,0.085
2024,Overwinter,28,9,C,No,8/16/23,6/30/24,319,Community,R,1.54,3.04,5,1.557,3.443,3.097,-0.057
2024,Overwinter,29,1,A,No,8/16/23,6/30/24,319,Castilleja,C,1.56,3.06,5,1.471,3.529,3.031,0.029
2024,Overwinter,29,4,B,No,8/16/23,6/30/24,319,Castilleja,C,1.56,3.56,5,1.959,3.041,3.519,0.041
2024,Overwinter,29,7,C,No,8/16/23,6/30/24,319,Castilleja,C,1.54,2.95,5,1.329,3.671,2.869,0.081
2024,Overwinter,30,2,A,No,8/16/23,6/30/24,319,Castilleja,R,1.56,3.2,5,1.617,3.383,3.177,0.023
2024,Overwinter,30,3,B,No,8/16/23,6/30/24,319,Castilleja,R,1.55,3.95,5,2.392,2.608,3.942,0.008
2024,Overwinter,30,8,C,Yes,8/16/23,6/30/24,319,Castilleja,R,1.55,,,,,,
2024,Overwinter,33,2,A,No,8/16/23,6/30/24,319,Community,R,1.54,6.36,5,4.82,0.18,,6.36
2024,Overwinter,33,4,B,No,8/16/23,6/30/24,319,Community,R,1.52,3.97,5,2.441,2.559,3.961,0.009
2024,Overwinter,33,5,C,No,8/16/23,6/30/24,319,Community,R,1.55,3.87,5,2.29,2.71,3.84,0.03
2024,Overwinter,34,2,A,No,8/16/23,6/30/24,319,Community,C,1.55,3.18,5,1.583,3.417,3.133,0.047
2024,Overwinter,34,6,C,No,8/16/23,6/30/24,319,Community,C,1.54,3.12,5,1.51,3.49,3.05,0.07
2024,Overwinter,34,5,B,Yes,8/16/23,6/30/24,319,Community,C,1.54,,,,,,
2024,Overwinter,35,1,A,No,8/16/23,6/30/24,319,Community,C,1.56,3.48,5,1.868,3.132,3.428,0.052
2024,Overwinter,35,2,B,No,8/16/23,6/30/24,319,Community,C,1.53,3.42,5,1.754,3.246,3.284,0.136
2024,Overwinter,35,8,C,No,8/16/23,6/30/24,319,Community,C,1.56,3.32,5,1.649,3.351,3.209,0.111
2024,Overwinter,36,2,A,No,8/16/23,6/30/24,319,Community,R,1.53,2.91,5,1.384,3.616,2.914,-0.004
2024,Overwinter,36,6,B,No,8/16/23,6/30/24,319,Community,R,1.56,3.31,5,1.738,3.262,3.298,0.012
2024,Overwinter,36,8,C,No,8/16/23,6/30/24,319,Community,R,1.58,3.74,5,2.153,2.847,3.733,0.007
2024,Overwinter,37,7,B,No,8/16/23,6/30/24,319,Castilleja,C,1.58,2.79,5,1.21,3.79,2.79,
2024,Overwinter,37,9,C,No,8/16/23,6/30/24,319,Castilleja,C,1.58,6.15,5,4.57,0.43,,6.15
2024,Overwinter,37,4,A,Yes,8/16/23,6/30/24,319,Castilleja,C,1.57,,,,,,
2024,Overwinter,38,8,C,No,8/16/23,6/30/24,319,Castilleja,R,1.58,3,5,1.45,3.55,3.03,-0.03
2024,Overwinter,38,1,A,Yes,8/16/23,6/30/24,319,Castilleja,R,1.57,,,,,,
2024,Overwinter,38,7,B,Yes,8/16/23,6/30/24,319,Castilleja,R,1.57,,,,,,
2024,Overwinter,39,1,A,No,8/16/23,6/30/24,319,Mixed,R,1.58,3.31,5,1.704,3.296,3.284,0.026
2024,Overwinter,39,5,B,Yes,8/16/23,6/30/24,319,Mixed,R,1.56,,,,,,
2024,Overwinter,39,8,C,Yes,8/16/23,6/30/24,319,Mixed,R,1.55,,,,,,
2024,Overwinter,40,7,B,No,8/16/23,6/30/24,319,Mixed,C,1.58,3.41,5,1.801,3.199,3.381,0.029
2024,Overwinter,40,9,C,No,8/16/23,6/30/24,319,Mixed,C,1.56,3.74,5,2.14,2.86,3.7,0.04
2024,Overwinter,40,1,A,Yes,8/16/23,6/30/24,319,Mixed,C,1.59,,,,,,
