pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,area,number_hole,dry_weight_g,sla
43,8,HESU,host,sterilized,1,8as,0.635,10,0.022,288.64
44,8,HESU,host,innoculated,2,8ai,0.635,10,0.016,396.88
45,8,HESU,host-parasite,sterilized,3,8bs,0.635,10,0.007,907.14
45,8,AGPU,host-parasite,sterilized,3,8bs,0.742,3,0.015,148.40
46,8,HESU,host-parasite,innoculated,4,8bi,0.635,10,0.016,396.88
46,8,AGPU,host-parasite,innoculated,4,8bi,0.4306666667,3,0.007,184.57
47,8,AGPU,parasite,sterilized,5,8cs,0.04866666667,3,0.002,73.00
48,8,AGPU,parasite,innoculated,6,8ci,0.525,3,0.009,175.00
49,9,HESU,host,sterilized,1,9as,0.635,10,0.019,334.21
50,9,HESU,host,innoculated,2,9ai,0.635,10,0.016,396.88
51,9,HESU,host-parasite,sterilized,3,9bs,0.635,10,0.019,334.21
51,9,AGPU,host-parasite,sterilized,3,9bs,0.563,3,0.009,187.67
52,9,HESU,host-parasite,innoculated,4,9bi,0.635,10,0.019,334.21
52,9,AGPU,host-parasite,innoculated,4,9bi,0.348,3,0.005,208.80
53,9,AGPU,parasite,sterilized,5,9cs,0.05166666667,3,0.002,77.50
54,9,AGPU,parasite,innoculated,6,9ci,0.403,3,0.006,201.50
55,10,HESU,host,sterilized,1,10as,0.635,10,0.021,302.38
56,10,HESU,host,innoculated,2,10ai,0.635,10,0.015,423.33
57,10,HESU,host-parasite,sterilized,3,10bs,0.635,10,0.006,1058.33
57,10,AGPU,host-parasite,sterilized,3,10bs,0.385,3,0.006,192.50
58,10,HESU,host-parasite,innoculated,4,10bi,0.635,10,0.018,352.78
58,10,AGPU,host-parasite,innoculated,4,10bi,0.4296666667,3,0.007,184.14
59,10,AGPU,parasite,sterilized,5,10cs,0.4373333333,3,0.01,131.20
60,10,AGPU,parasite,innoculated,6,10ci,0.5546666667,3,0.009,184.89
61,11,HESU,host,sterilized,1,11as,0.635,10,0.016,396.88
62,11,HESU,host,innoculated,2,11ai,0.635,10,0.015,423.33
63,11,HESU,host-parasite,sterilized,3,11bs,0.635,10,0.019,334.21
63,11,AGPU,host-parasite,sterilized,3,11bs,0.55,3,0.008,206.25
64,11,HESU,host-parasite,innoculated,4,11bi,0.635,10,0.019,334.21
64,11,AGPU,host-parasite,innoculated,4,11bi,0.3673333333,3,0.006,183.67
65,11,AGPU,parasite,sterilized,5,11cs,0.353,3,0.009,117.67
66,11,AGPU,parasite,innoculated,6,11ci,0.515,3,0.006,257.50
67,12,HESU,host,sterilized,1,12as,0.635,10,0.019,334.21
68,12,HESU,host,innoculated,2,12ai,0.635,10,0.013,488.46
69,12,HESU,host-parasite,sterilized,3,12bs,0.635,10,0.019,334.21
69,12,AGPU,host-parasite,sterilized,3,12bs,0.4853333333,3,0.011,132.36
70,12,HESU,host-parasite,innoculated,4,12bi,0.635,10,0.012,529.17
70,12,AGPU,host-parasite,innoculated,4,12bi,0.604,3,0.01,181.20
71,12,AGPU,parasite,sterilized,5,12cs,0.543,3,0.007,232.71
72,12,AGPU,parasite,innoculated,6,12ci,0.5693333333,3,0.009,189.78
