Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Plot,Block,Removal,Litter,Family,Genus,Species,Field Plot,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,7/17/23,Emerald Lake,3210.215198,Pre,3.3,Treeline,13,4,C,Castilleja,Apiaceae,Heracleum,maximum,7A,HEMA,forb,perennial,5,3,0,0.05
2023,8/1/23,Emerald Lake,3210.215198,Post,3.3,Treeline,13,4,C,Castilleja,Apiaceae,Heracleum,maximum,7A,HEMA,forb,perennial,4,3,0,0.04
2023,7/17/23,Emerald Lake,3207.142886,Pre,4.18,Treeline,15,4,R,Control,Apiaceae,Heracleum,maximum,8A,HEMA,forb,perennial,2,2,0,0.02
2023,7/17/23,Emerald Lake,3208.278304,Pre,3.12,Treeline,17,5,C,Mixed,Apiaceae,Heracleum,maximum,9A,HEMA,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3208.278304,Post,3.12,Treeline,17,5,C,Mixed,Apiaceae,Heracleum,maximum,9A,HEMA,forb,perennial,0.1,1,0,0.001
2023,7/17/23,Emerald Lake,3207.1131,Pre,4.35,Treeline,18,5,R,Mixed,Apiaceae,Heracleum,maximum,9B,HEMA,forb,perennial,7,1,0,0.07
2023,8/1/23,Emerald Lake,3207.1131,Post,4.35,Treeline,18,5,R,Mixed,Apiaceae,Heracleum,maximum,9B,HEMA,forb,perennial,15,1,0,0.15
2023,7/17/23,Emerald Lake,3211.664924,Pre,9.6,Creek,21,3,C,Castilleja,Apiaceae,Ligusticum,porteri,11A,LIPO,forb,perennial,25,5,0,0.25
2023,7/31/23,Emerald Lake,3211.664924,Post,9.6,Creek,21,3,C,Castilleja,Apiaceae,Ligusticum,porteri,11A,LIPO,forb,perennial,30,2,0,0.3
2023,7/17/23,Emerald Lake,3211.096031,Pre,5.93,Creek,22,3,R,Castilleja,Apiaceae,Ligusticum,porteri,11B,LIPO,forb,perennial,4,2,0,0.04
2023,7/31/23,Emerald Lake,3211.096031,Post,5.93,Creek,22,3,R,Castilleja,Apiaceae,Ligusticum,porteri,11B,LIPO,forb,perennial,7,3,0,0.07
2023,7/17/23,Emerald Lake,3215.348404,Pre,6.92,Treeline,23,3,C,Control,Apiaceae,Ligusticum,porteri,12A,LIPO,forb,perennial,10,3,0,0.1
2023,7/31/23,Emerald Lake,3215.348404,Post,6.92,Treeline,23,3,C,Control,Apiaceae,Ligusticum,porteri,12A,LIPO,forb,perennial,7,1,0,0.07
2023,7/17/23,Emerald Lake,3211.643745,Pre,9.25,Creek,24,3,R,Control,Apiaceae,Ligusticum,porteri,12B,LIPO,forb,perennial,5,2,0,0.05
2023,7/31/23,Emerald Lake,3211.643745,Post,9.25,Creek,24,3,R,Control,Apiaceae,Ligusticum,porteri,12B,LIPO,forb,perennial,7,1,0,0.07
2023,7/19/23,Emerald Lake,3217.015556,Pre,4.62,Treeline,25,1,R,Control,Apiaceae,Ligusticum,porteri,13A,LIPO,forb,perennial,25,3,1,0.25
2023,8/1/23,Emerald Lake,3217.015556,Post,4.62,Treeline,25,1,R,Control,Apiaceae,Ligusticum,porteri,13A,LIPO,forb,perennial,14,3,0,0.14
2023,7/19/23,Emerald Lake,3216.145001,Pre,4.11,Trail,26,1,C,Control,Apiaceae,Ligusticum,porteri,13B,LIPO,forb,perennial,15,2,0,0.15
2023,8/1/23,Emerald Lake,3216.145001,Post,4.11,Trail,26,1,C,Control,Apiaceae,Ligusticum,porteri,13B,LIPO,forb,perennial,13,2,0,0.13
2023,7/19/23,Emerald Lake,3216.19598,Pre,4.33,Treeline,27,1,C,Community,Apiaceae,Ligusticum,porteri,14A,LIPO,forb,perennial,5,2,0,0.05
2023,8/1/23,Emerald Lake,3216.19598,Post,4.33,Treeline,27,1,C,Community,Apiaceae,Ligusticum,porteri,14A,LIPO,forb,perennial,3,2,0,0.03
2023,7/19/23,Emerald Lake,3216.514942,Pre,5.93,Treeline,29,1,C,Castilleja,Apiaceae,Ligusticum,porteri,15A,LIPO,forb,perennial,7,1,0,0.07
2023,8/1/23,Emerald Lake,3216.514942,Post,5.93,Treeline,29,1,C,Castilleja,Apiaceae,Ligusticum,porteri,15A,LIPO,forb,perennial,5,1,0,0.05
2023,7/19/23,Emerald Lake,3218.547977,Pre,6.88,Trail,30,1,R,Castilleja,Apiaceae,Ligusticum,porteri,15B,LIPO,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3218.547977,Post,6.88,Trail,30,1,R,Castilleja,Apiaceae,Ligusticum,porteri,15B,LIPO,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3208.328564,Pre,3.55,Trail,35,5,R,Community,Apiaceae,Ligusticum,porteri,18A,LIPO,forb,perennial,8,1,0,0.08
2023,,Emerald Lake,3208.328564,Post,3.55,Trail,35,5,R,Community,Apiaceae,Ligusticum,porteri,18A,LIPO,forb,perennial,12,2,0,0.12
2023,7/19/23,Emerald Lake,3208.763818,Pre,4,Treeline,36,5,C,Community,Apiaceae,Ligusticum,porteri,18B,LIPO,forb,perennial,7,1,0,0.07
2023,8/1/23,Emerald Lake,3208.763818,Post,4,Treeline,36,5,C,Community,Apiaceae,Ligusticum,porteri,18B,LIPO,forb,perennial,12,2,0,0.12
2023,7/19/23,Emerald Lake,3208.213374,Pre,3.7,Treeline,38,5,R,Castilleja,Apiaceae,Ligusticum,porteri,19B,LIPO,forb,perennial,10,1,0,0.1
2023,8/1/23,Emerald Lake,3208.213374,Post,3.7,Treeline,38,5,R,Castilleja,Apiaceae,Ligusticum,porteri,19B,LIPO,forb,perennial,6,1,0,0.06
2023,7/14/23,Emerald Lake,3214.529385,Pre,3.81,Treeline,1,1,C,Mixed,Apiaceae,Ligusticum,porteri,1A,LIPO,forb,perennial,5,2,1,0.05
2023,8/1/23,Emerald Lake,3214.529385,Post,3.81,Treeline,1,1,C,Mixed,Apiaceae,Ligusticum,porteri,1A,LIPO,forb,perennial,3,2,0,0.03
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,2,1,R,Mixed,Apiaceae,Ligusticum,porteri,1B,LIPO,forb,perennial,10,2,0,0.1
2023,8/1/23,Emerald Lake,3214.303061,Post,5,Treeline,2,1,R,Mixed,Apiaceae,Ligusticum,porteri,1B,LIPO,forb,perennial,13,3,0,0.13
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,3,2,C,Castilleja,Apiaceae,Ligusticum,porteri,2A,LIPO,forb,perennial,25,2,0,0.25
2023,8/1/23,Emerald Lake,3214.132079,Post,2.95,Trail,3,2,C,Castilleja,Apiaceae,Ligusticum,porteri,2A,LIPO,forb,perennial,25,3,0,0.25
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,4,2,R,Castilleja,Apiaceae,Ligusticum,porteri,2B,LIPO,forb,perennial,1.5,1,0,0.015
2023,8/1/23,Emerald Lake,3214.686752,Post,4.62,Treeline,4,2,R,Castilleja,Apiaceae,Ligusticum,porteri,2B,LIPO,forb,perennial,5,3,0,0.05
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,5,2,C,Community,Apiaceae,Ligusticum,porteri,3A,LIPO,forb,perennial,25,4,0,0.25
2023,8/1/23,Emerald Lake,3213.215425,Post,5.78,Treeline,5,2,C,Community,Apiaceae,Ligusticum,porteri,3A,LIPO,forb,perennial,20,2,0,0.2
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,6,2,R,Community,Apiaceae,Ligusticum,porteri,3B,LIPO,forb,perennial,15,9,1,0.15
2023,8/1/23,Emerald Lake,3213.489248,Post,7,Creek,6,2,R,Community,Apiaceae,Ligusticum,porteri,3B,LIPO,forb,perennial,25,4,0,0.25
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,7,2,R,Mixed,Apiaceae,Ligusticum,porteri,4A,LIPO,forb,perennial,25,5,0,0.25
2023,8/1/23,Emerald Lake,3212.745864,Post,6.12,Treeline,7,2,R,Mixed,Apiaceae,Ligusticum,porteri,4A,LIPO,forb,perennial,20,4,0,0.2
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,8,2,C,Mixed,Apiaceae,Ligusticum,porteri,4B,LIPO,forb,perennial,10,2,0,0.1
2023,8/1/23,Emerald Lake,3212.821664,Post,6.8,Creek,8,2,C,Mixed,Apiaceae,Ligusticum,porteri,4B,LIPO,forb,perennial,25,2,1,0.25
2023,8/1/23,Emerald Lake,3214.160476,Post,3.46,Treeline,9,3,C,Mixed,Apiaceae,Ligusticum,porteri,5A,LIPO,forb,perennial,3,1,0,0.03
2023,7/17/23,Emerald Lake,3218.005592,Pre,4.27,Treeline,11,3,R,Community,Apiaceae,Ligusticum,porteri,6A,LIPO,forb,perennial,10,1,0,0.1
2023,8/1/23,Emerald Lake,3218.005592,Post,4.27,Treeline,11,3,R,Community,Apiaceae,Ligusticum,porteri,6A,LIPO,forb,perennial,10,1,0,0.1
2023,7/17/23,Emerald Lake,3214.805304,Pre,5.16,Treeline,12,3,C,Community,Apiaceae,Ligusticum,porteri,6B,LIPO,forb,perennial,3,1,0,0.03
2023,8/1/23,Emerald Lake,3214.805304,Post,5.16,Treeline,12,3,C,Community,Apiaceae,Ligusticum,porteri,6B,LIPO,forb,perennial,6,1,0,0.06
2023,7/17/23,Emerald Lake,3210.215198,Pre,3.3,Treeline,13,4,C,Castilleja,Apiaceae,Ligusticum,porteri,7A,LIPO,forb,perennial,3,3,0,0.03
2023,8/1/23,Emerald Lake,3210.215198,Post,3.3,Treeline,13,4,C,Castilleja,Apiaceae,Ligusticum,porteri,7A,LIPO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3210.283085,Pre,4.7,Treeline,14,4,R,Castilleja,Apiaceae,Ligusticum,porteri,7B,LIPO,forb,perennial,4,1,0,0.04
2023,8/1/23,Emerald Lake,3210.283085,Post,4.7,Treeline,14,4,R,Castilleja,Apiaceae,Ligusticum,porteri,7B,LIPO,forb,perennial,7,2,0,0.07
2023,7/17/23,Emerald Lake,3207.142886,Pre,4.18,Treeline,15,4,R,Control,Apiaceae,Ligusticum,porteri,8A,LIPO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3208.278304,Pre,3.12,Treeline,17,5,C,Mixed,Apiaceae,Ligusticum,porteri,9A,LIPO,forb,perennial,10,9,0,0.1
2023,8/1/23,Emerald Lake,3208.278304,Post,3.12,Treeline,17,5,C,Mixed,Apiaceae,Ligusticum,porteri,9A,LIPO,forb,perennial,25,2,0,0.25
2023,7/17/23,Emerald Lake,3207.1131,Pre,4.35,Treeline,18,5,R,Mixed,Apiaceae,Ligusticum,porteri,9B,LIPO,forb,perennial,5,2,0,0.05
2023,8/1/23,Emerald Lake,3207.1131,Post,4.35,Treeline,18,5,R,Mixed,Apiaceae,Ligusticum,porteri,9B,LIPO,forb,perennial,6,3,0,0.06
2023,7/17/23,Emerald Lake,3207.806218,Pre,2.57,Treeline,20,5,R,Control,Asteraceae,Erigeron,coulteri,10B,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3207.806218,Post,2.57,Treeline,20,5,R,Control,Asteraceae,Erigeron,coulteri,10B,ERCO,forb,perennial,1,2,0,0.01
2023,7/17/23,Emerald Lake,3211.664924,Pre,9.6,Creek,21,3,C,Castilleja,Asteraceae,Erigeron,coulteri,11A,ERCO,forb,perennial,2,1,0,0.02
2023,7/31/23,Emerald Lake,3211.664924,Post,9.6,Creek,21,3,C,Castilleja,Asteraceae,Erigeron,coulteri,11A,ERCO,forb,perennial,3,2,0,0.03
2023,7/31/23,Emerald Lake,3215.348404,Post,6.92,Treeline,23,3,C,Control,Asteraceae,Erigeron,coulteri,12A,ERCO,forb,perennial,3,1,0,0.03
2023,7/17/23,Emerald Lake,3211.643745,Pre,9.25,Creek,24,3,R,Control,Asteraceae,Erigeron,coulteri,12B,ERCO,forb,perennial,3,2,1,0.03
2023,7/31/23,Emerald Lake,3211.643745,Post,9.25,Creek,24,3,R,Control,Asteraceae,Erigeron,coulteri,12B,ERCO,forb,perennial,4,4,0,0.04
2023,7/19/23,Emerald Lake,3217.015556,Pre,4.62,Treeline,25,1,R,Control,Asteraceae,Erigeron,coulteri,13A,ERCO,forb,perennial,1,2,1,0.01
2023,8/1/23,Emerald Lake,3217.015556,Post,4.62,Treeline,25,1,R,Control,Asteraceae,Erigeron,coulteri,13A,ERCO,forb,perennial,2,3,0,0.02
2023,7/19/23,Emerald Lake,3216.145001,Pre,4.11,Trail,26,1,C,Control,Asteraceae,Erigeron,coulteri,13B,ERCO,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3216.145001,Post,4.11,Trail,26,1,C,Control,Asteraceae,Erigeron,coulteri,13B,ERCO,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3216.19598,Pre,4.33,Treeline,27,1,C,Community,Asteraceae,Erigeron,coulteri,14A,ERCO,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3216.514942,Pre,5.93,Treeline,29,1,C,Castilleja,Asteraceae,Erigeron,coulteri,15A,ERCO,forb,perennial,0.5,1,0,0.005
2023,7/19/23,Emerald Lake,3218.547977,Pre,6.88,Trail,30,1,R,Castilleja,Asteraceae,Erigeron,coulteri,15B,ERCO,forb,perennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3215.721708,Pre,5.1,Treeline,32,2,R,Control,Asteraceae,Erigeron,coulteri,16B,ERCO,forb,perennial,0.2,2,0,0.002
2023,7/19/23,Emerald Lake,3210.958403,Pre,5.61,Trail,33,4,R,Community,Asteraceae,Erigeron,coulteri,17A,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3210.958403,Post,5.61,Trail,33,4,R,Community,Asteraceae,Erigeron,coulteri,17A,ERCO,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3208.841651,Pre,4.3,Treeline,37,5,C,Castilleja,Asteraceae,Erigeron,coulteri,19A,ERCO,forb,perennial,1,2,0,0.01
2023,8/1/23,Emerald Lake,3208.841651,Post,4.3,Treeline,37,5,C,Castilleja,Asteraceae,Erigeron,coulteri,19A,ERCO,forb,perennial,4,1,0,0.04
2023,7/19/23,Emerald Lake,3208.213374,Pre,3.7,Treeline,38,5,R,Castilleja,Asteraceae,Erigeron,coulteri,19B,ERCO,forb,perennial,4,3,1,0.04
2023,8/1/23,Emerald Lake,3208.213374,Post,3.7,Treeline,38,5,R,Castilleja,Asteraceae,Erigeron,coulteri,19B,ERCO,forb,perennial,4.5,3,0,0.045
2023,7/19/23,Emerald Lake,3213.273701,Pre,3.37,Treeline,40,4,C,Mixed,Asteraceae,Erigeron,coulteri,20B,ERCO,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3213.273701,Post,3.37,Treeline,40,4,C,Mixed,Asteraceae,Erigeron,coulteri,20B,ERCO,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,3,2,C,Castilleja,Asteraceae,Erigeron,coulteri,2A,ERCO,forb,perennial,0.3,2,0,0.003
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,5,2,C,Community,Asteraceae,Erigeron,coulteri,3A,ERCO,forb,perennial,2.5,2,1,0.025
2023,8/1/23,Emerald Lake,3213.215425,Post,5.78,Treeline,5,2,C,Community,Asteraceae,Erigeron,coulteri,3A,ERCO,forb,perennial,4,1,0,0.04
2023,8/1/23,Emerald Lake,3213.489248,Post,7,Creek,6,2,R,Community,Asteraceae,Erigeron,coulteri,3B,ERCO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,7,2,R,Mixed,Asteraceae,Erigeron,coulteri,4A,ERCO,forb,perennial,2,1,0,0.02
2023,8/1/23,Emerald Lake,3212.745864,Post,6.12,Treeline,7,2,R,Mixed,Asteraceae,Erigeron,coulteri,4A,ERCO,forb,perennial,5,3,0,0.05
2023,7/19/23,Emerald Lake,3214.160476,Pre,3.46,Treeline,9,3,C,Mixed,Asteraceae,Erigeron,coulteri,5A,ERCO,forb,perennial,6,2,0,0.06
2023,8/1/23,Emerald Lake,3214.160476,Post,3.46,Treeline,9,3,C,Mixed,Asteraceae,Erigeron,coulteri,5A,ERCO,forb,perennial,6,2,1,0.06
2023,7/19/23,Emerald Lake,3214.758873,Pre,5.78,Trail,10,3,R,Mixed,Asteraceae,Erigeron,coulteri,5B,ERCO,forb,perennial,5,2,0,0.05
2023,8/1/23,Emerald Lake,3214.758873,Post,5.78,Trail,10,3,R,Mixed,Asteraceae,Erigeron,coulteri,5B,ERCO,forb,perennial,6,3,0,0.06
2023,7/17/23,Emerald Lake,3218.005592,Pre,4.27,Treeline,11,3,R,Community,Asteraceae,Erigeron,coulteri,6A,ERCO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3218.005592,Pre,4.27,Treeline,11,3,R,Community,Asteraceae,Erigeron,coulteri,6A,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3218.005592,Post,4.27,Treeline,11,3,R,Community,Asteraceae,Erigeron,coulteri,6A,ERCO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3210.215198,Pre,3.3,Treeline,13,4,C,Castilleja,Asteraceae,Erigeron,coulteri,7A,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3210.215198,Post,3.3,Treeline,13,4,C,Castilleja,Asteraceae,Erigeron,coulteri,7A,ERCO,forb,perennial,5,2,0,0.05
2023,7/17/23,Emerald Lake,3210.283085,Pre,4.7,Treeline,14,4,R,Castilleja,Asteraceae,Erigeron,coulteri,7B,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3210.283085,Post,4.7,Treeline,14,4,R,Castilleja,Asteraceae,Erigeron,coulteri,7B,ERCO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3207.142886,Pre,4.18,Treeline,15,4,R,Control,Asteraceae,Erigeron,coulteri,8A,ERCO,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3207.142886,Post,4.18,Treeline,15,4,R,Control,Asteraceae,Erigeron,coulteri,8A,ERCO,forb,perennial,8,3,0,0.08
2023,7/19/23,Emerald Lake,3209.155604,Pre,4.61,Treeline,16,4,C,Control,Asteraceae,Erigeron,coulteri,8B,ERCO,forb,perennial,1.5,2,0,0.015
2023,8/1/23,Emerald Lake,3209.155604,Post,4.61,Treeline,16,4,C,Control,Asteraceae,Erigeron,coulteri,8B,ERCO,forb,perennial,4,2,0,0.04
2023,7/17/23,Emerald Lake,3208.278304,Pre,3.12,Treeline,17,5,C,Mixed,Asteraceae,Erigeron,coulteri,9A,ERCO,forb,perennial,0.5,1,0,0.005
2023,8/1/23,Emerald Lake,3208.278304,Post,3.12,Treeline,17,5,C,Mixed,Asteraceae,Erigeron,coulteri,9A,ERCO,forb,perennial,0.2,1,0,0.002
2023,7/17/23,Emerald Lake,3207.1131,Pre,4.35,Treeline,18,5,R,Mixed,Asteraceae,Erigeron,coulteri,9B,ERCO,forb,perennial,1,1,1,0.01
2023,8/1/23,Emerald Lake,3207.1131,Post,4.35,Treeline,18,5,R,Mixed,Asteraceae,Erigeron,coulteri,9B,ERCO,forb,perennial,0.3,1,0,0.003
2023,7/17/23,Emerald Lake,3211.096031,Pre,5.93,Creek,22,3,R,Castilleja,Asteraceae,Erigeron,speciosus,11B,ERSP,forb,perennial,8,5,0,0.08
2023,7/31/23,Emerald Lake,3211.096031,Post,5.93,Creek,22,3,R,Castilleja,Asteraceae,Erigeron,speciosus,11B,ERSP,forb,perennial,3,3,0,0.03
2023,8/1/23,Emerald Lake,3216.145001,Post,4.11,Trail,26,1,C,Control,Asteraceae,Erigeron,speciosus,13B,ERSP,forb,perennial,6,2,0,0.06
2023,8/1/23,Emerald Lake,3216.19598,Post,4.33,Treeline,27,1,C,Community,Asteraceae,Erigeron,speciosus,14A,ERSP,forb,perennial,1,1,0,0.01
2023,8/1/23,Emerald Lake,3213.489248,Post,7,Creek,6,2,R,Community,Asteraceae,Erigeron,speciosus,3B,ERSP,forb,perennial,0.1,1,0,0.001
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,8,2,C,Mixed,Asteraceae,Erigeron,speciosus,4B,ERSP,forb,perennial,1.5,1,0,0.015
2023,8/1/23,Emerald Lake,3212.821664,Post,6.8,Creek,8,2,C,Mixed,Asteraceae,Erigeron,speciosus,4B,ERSP,forb,perennial,5,3,1,0.05
2023,8/1/23,Emerald Lake,3218.005592,Post,4.27,Treeline,11,3,R,Community,Asteraceae,Erigeron,speciosus,6A,ERSP,forb,perennial,4,3,0,0.04
2023,7/17/23,Emerald Lake,3211.664924,Pre,9.6,Creek,21,3,C,Castilleja,Asteraceae,Helianthella,quinquenervis,11A,HEQU,forb,perennial,1,1,0,0.01
2023,7/31/23,Emerald Lake,3211.664924,Post,9.6,Creek,21,3,C,Castilleja,Asteraceae,Helianthella,quinquenervis,11A,HEQU,forb,perennial,15,8,0,0.15
2023,7/17/23,Emerald Lake,3211.096031,Pre,5.93,Creek,22,3,R,Castilleja,Asteraceae,Helianthella,quinquenervis,11B,HEQU,forb,perennial,15,7,0,0.15
