Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Field Plot,Plot,Block,Removal,Litter,Family,Genus,Species,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,3,0,0.2
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,20,10,0,0.2
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,Poaceae,Elymus,,EL,Grass,perennial,20,3,1,0.2
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,8,0,0.2
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,5,0,0.2
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,,,,bare,Environmental,,20,0,0,0.2
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,20,10,0,0.2
2023,8/12/23,Schofield Park,3158.732,Post,,,,57,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,20,20,1,0.2
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,Poaceae,Elymus,,EL,Grass,perennial,20,2,0,0.2
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,8,0,0.2
2023,8/12/23,Schofield Park,3158.623,Post,,,,61,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,6,0,0.2
2023,8/12/23,Schofield Park,3158.67,Post,,,,63,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,20,15,0,0.2
2023,8/12/23,Schofield Park,3158.185,Post,,,,66,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,12,0,0.2
2023,8/12/23,Schofield Park,3158.185,Post,,,,66,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,20,15,0,0.2
2023,8/12/23,Schofield Park,3158.349,Post,,,,67,,C,,,,,bare,Environmental,,20,0,0,0.2
2023,8/12/23,Schofield Park,3158.375,Post,,,,68,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,11,0,0.2
2023,8/12/23,Schofield Park,3158.529,Post,,,,69,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,20,5,0,0.2
2023,8/12/23,Schofield Park,3158.422,Post,,,,70,,C,,,,,bare,Environmental,,20,0,0,0.2
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,10,0,0.2
2023,8/12/23,Schofield Park,3158.412,Post,,,,73,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,20,5,1,0.2
2023,8/12/23,Schofield Park,3158.206,Post,,,,74,,R,,,,,bare,Environmental,,20,0,0,0.2
2023,8/12/23,Schofield Park,3157.816,Post,,,,80,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,20,19,0,0.2
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,Poaceae,Elymus,,EL,Grass,perennial,18,5,0,0.18
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,Poaceae,Bromus,,BR,Grass,perennial,15,11,0,0.15
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,15,28,0,0.15
2023,8/12/23,Schofield Park,3158.949,Post,,,,42,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,7,1,0.15
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,Poaceae,Bromus,,BR,Grass,perennial,15,3,0,0.15
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,7,0,0.15
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,,,,bare,Environmental,,15,0,0,0.15
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,,,,litter,Environmental,,15,0,0,0.15
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,15,7,0,0.15
2023,8/12/23,Schofield Park,3158.998,Post,,,,49,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,5,1,0.15
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,15,8,0,0.15
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,8,0,0.15
2023,8/12/23,Schofield Park,3158.878,Post,,,,51,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,10,0,0.15
2023,8/12/23,Schofield Park,3158.819,Post,,,,52,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,8,0,0.15
2023,8/12/23,Schofield Park,3158.819,Post,,,,52,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,10,0,0.15
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Poaceae,Bromus,,BR,Grass,perennial,15,5,0,0.15
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,10,0,0.15
2023,8/12/23,Schofield Park,3158.748,Post,,,,55,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,10,0,0.15
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,15,2,0,0.15
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,10,0,0.15
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,15,12,0,0.15
2023,8/12/23,Schofield Park,3158.67,Post,,,,63,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,3,0,0.15
2023,8/12/23,Schofield Park,3158.607,Post,,,,64,,C,,,,,bare,Environmental,,15,0,0,0.15
2023,8/12/23,Schofield Park,3158.607,Post,,,,64,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,17,1,0.15
2023,8/12/23,Schofield Park,3158.416,Post,,,,65,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,15,12,0,0.15
2023,8/12/23,Schofield Park,3158.349,Post,,,,67,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,7,1,0.15
2023,8/12/23,Schofield Park,3158.529,Post,,,,69,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,8,0,0.15
2023,8/12/23,Schofield Park,3158.529,Post,,,,69,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,6,0,0.15
2023,8/12/23,Schofield Park,3158.422,Post,,,,70,,C,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,15,5,0,0.15
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Poaceae,Bromus,,BR,Grass,perennial,15,3,0,0.15
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,4,1,0.15
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,15,8,0,0.15
2023,8/12/23,Schofield Park,3157.52,Post,,,,78,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,15,2,0,0.15
2023,8/12/23,Schofield Park,3157.881,Post,,,,79,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,15,6,,0.15
2023,8/12/23,Schofield Park,3158.943,Post,,,,43,,R,,Poaceae,Bromus,,BR,Grass,perennial,14,5,0,0.14
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,13,7,0,0.13
2023,8/12/23,Schofield Park,3159.067,Post,,,,41,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,12,7,0,0.12
2023,8/12/23,Schofield Park,3158.943,Post,,,,43,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,12,18,0,0.12
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,,,,litter,Environmental,,12,0,0,0.12
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,Rosaceae,Potentilla,pulcherrima,POPU,Forb,perennial,12,6,1,0.12
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,Poaceae,Bromus,,BR,Grass,perennial,12,7,0,0.12
2023,8/12/23,Schofield Park,3158.998,Post,,,,49,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,12,16,1,0.12
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,12,8,0,0.12
2023,8/12/23,Schofield Park,3158.943,Post,,,,43,,R,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.943,Post,,,,43,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,5,0,0.1
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,,,,bare,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.896,Post,,,,44,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,5,0,0.1
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,Poaceae,Bromus,,BR,Grass,perennial,10,4,0,0.1
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,5,0,0.1
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,10,8,0,0.1
2023,8/12/23,Schofield Park,3158.998,Post,,,,49,,C,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,10,6,1,0.1
2023,8/12/23,Schofield Park,3158.874,Post,,,,50,,R,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.819,Post,,,,52,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,10,10,0,0.1
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,11,1,0.1
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Asteraceae,Erigeron,Coulteri,ERCO,Forb,perennial,10,5,0,0.1
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Caprifoliaceae,Valeriana,edulis,VAED,Forb,perennial,10,3,0,0.1
2023,8/12/23,Schofield Park,3158.748,Post,,,,55,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,15,1,0.1
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,9,0,0.1
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,12,0,0.1
2023,8/12/23,Schofield Park,3158.732,Post,,,,57,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,5,1,0.1
2023,8/12/23,Schofield Park,3158.502,Post,,,,58,,R,,,,,bare,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,10,7,1,0.1
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,10,7,0,0.1
2023,8/12/23,Schofield Park,3158.623,Post,,,,61,,R,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.574,Post,,,,62,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,7,1,0.1
2023,8/12/23,Schofield Park,3158.67,Post,,,,63,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,10,0,0.1
2023,8/12/23,Schofield Park,3158.607,Post,,,,64,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.607,Post,,,,64,,C,,Ericaceae,Vaccinium,cespitosum,VACE,Shrub,perennial,10,5,1,0.1
2023,8/12/23,Schofield Park,3158.416,Post,,,,65,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3158.349,Post,,,,67,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,4,1,0.1
2023,8/12/23,Schofield Park,3158.375,Post,,,,68,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,6,0,0.1
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Fabaceae,Lupinus,argentus,LUAR,Legume,perennial,10,7,0,0.1
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Poaceae,Bromus,,BR,Grass,perennial,10,6,1,0.1
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,3,0,0.1
2023,8/12/23,Schofield Park,3158.412,Post,,,,73,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,4,0,0.1
2023,8/12/23,Schofield Park,3158.206,Post,,,,74,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,10,3,0,0.1
2023,8/12/23,Schofield Park,3157.758,Post,,,,76,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,4,0,0.1
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,,,,litter,Environmental,,10,0,0,0.1
2023,8/12/23,Schofield Park,3157.816,Post,,,,80,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,10,7,0,0.1
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Poaceae,Elymus,,EL,Grass,perennial,9,1,0,0.09
2023,8/12/23,Schofield Park,3158.674,Post,,,,60,,R,,,,,litter,Environmental,,9,0,0,0.09
2023,8/12/23,Schofield Park,3158.13,Post,,,,75,,C,,Poaceae,Elymus,,EL,Grass,perennial,9,2,0,0.09
2023,8/12/23,Schofield Park,3157.758,Post,,,,76,,R,,Salicaceae,Salix,,SA,Shrub,perennial,9,1,0,0.09
2023,8/12/23,Schofield Park,3158.949,Post,,,,42,,C,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,8,20,0,0.08
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,Asteraceae,Erigeron,Coulteri,ERCO,Forb,perennial,8,6,0,0.08
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,8,5,0,0.08
2023,8/12/23,Schofield Park,3158.721,Post,,,,47,,C,,Poaceae,Poa,pratensis,POPR,Grass,perennial,8,5,1,0.08
2023,8/12/23,Schofield Park,3158.816,Post,,,,48,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,8,5,0,0.08
2023,8/12/23,Schofield Park,3158.998,Post,,,,49,,C,,Orobanchaceae,Castilleja,septentrionalis,CASE,Hemiparasite,perennial,8,6,0,0.08
2023,8/12/23,Schofield Park,3158.596,Post,,,,54,,R,,Rosaceae,Fragaria,virginiana,FRVI,Forb,perennial,8,5,0,0.08
2023,8/12/23,Schofield Park,3158.567,Post,,,,56,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,8,4,0,0.08
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,8,8,0,0.08
2023,8/12/23,Schofield Park,3158.67,Post,,,,63,,R,,Poaceae,Bromus,,BR,Grass,perennial,8,5,0,0.08
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Orobanchaceae,Castilleja,septentrionalis,CASE,Hemiparasite,perennial,8,6,0,0.08
2023,8/12/23,Schofield Park,3158.13,Post,,,,75,,C,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,8,4,0,0.08
2023,8/12/23,Schofield Park,3157.964,Post,,,,77,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,8,0.5,0,0.08
2023,8/12/23,Schofield Park,3158.878,Post,,,,51,,C,,Asteraceae,Solidago,multimadiata,SOMU,Forb,perennial,7.5,8,1,0.075
2023,8/12/23,Schofield Park,3158.949,Post,,,,42,,C,,Poaceae,Phleum,alpinum,PHAL,Grass,perennial,7,13,0,0.07
2023,8/12/23,Schofield Park,3159.11,Post,,,,45,,R,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,7,11,0,0.07
2023,8/12/23,Schofield Park,3159.004,Post,,,,46,,C,,,,,litter,Environmental,,7,0,0,0.07
2023,8/12/23,Schofield Park,3158.878,Post,,,,51,,C,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,7,5,1,0.07
2023,8/12/23,Schofield Park,3158.571,Post,,,,53,,C,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,7,4,0,0.07
2023,8/12/23,Schofield Park,3158.749,Post,,,,59,,C,,Rosaceae,Potentilla,pulcherrima,POPU,Forb,perennial,7,5,0,0.07
2023,8/12/23,Schofield Park,3158.084,Post,,,,71,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,7,9,0,0.07
2023,8/12/23,Schofield Park,3158.099,Post,,,,72,,C,,Cyperaceae,Carex,ebenea,CAEB,Sedge,perennial,7,6,0,0.07
2023,8/12/23,Schofield Park,3158.206,Post,,,,74,,R,,Poaceae,Poa,pratensis,POPR,Grass,perennial,7,7,0,0.07
2023,8/12/23,Schofield Park,3157.816,Post,,,,80,,R,,Asteraceae,Senecio,crassulus,SECR,Forb,perennial,7,4,0,0.07
