Year,Date,Site,Elevation,Collection Point,Disturbance Distance,Disturbance Type,Field Plot,Plot,Block,Removal,Litter,Family,Genus,Species,Code,Functional Group,Life History,Cover,Count,Nearest Neighbor,percent cover
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Grossulariaceae,Ribes,montigenum,RIMO,shrub,perennial,23,2,0,0.23
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,Violaceae,Viola,nuttallii,VINU,forb,perennial,0.1,2,0,0.001
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,,,,bare,environmental,,40,0,0,0.4
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,,,,litter,environmental,,5,0,0,0.05
2023,7/14/23,Emerald Lake,3214.303061,Pre,5,Treeline,1B,2,1,R,Mixed,,,,rock,environmental,,2,0,0,0.02
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,3,0,0.001
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,5,1,0,0.05
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Cyperaceae,Carex,Hoodii,CAHO,sedge,perennial,0.5,3,0,0.005
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,4,1,0,0.04
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,3,3,0,0.03
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Poaceae,Elymus,,Elymus,grass,perennial,7,16,1,0.07
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Asteraceae,Erigeron,coulteri,ERCO,forb,perennial,0.3,2,0,0.003
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,0.5,1,0,0.005
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,0.5,1,0,0.005
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,1,0,0.01
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,15,8,0,0.15
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,2.5,1,0,0.025
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,3,2,0,0.03
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,25,2,0,0.25
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Fabaceae,Lupinus,argentus,LUAR,legum,perennial,7,14,1,0.07
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Poaceae,Melica,spectabilis,MESP,grass,perennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Brassicaceae,Noccaea,fendleri,NOFE,forb,perennial,0.1,1,0,0.001
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,4,1,1,0.04
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Asteraceae,Senecio,crassulus,SECR,forb,perennial,0.2,1,0,0.002
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,2.5,3,0,0.025
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,,,,bare,environmental,,50,0,0,0.5
2023,7/19/23,Emerald Lake,3214.132079,Pre,2.95,Trail,2A,3,2,C,Castilleja,,,,litter,environmental,,2,0,0,0.02
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.3,7,0,0.003
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,2.5,2,0,0.025
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,6,6,0,0.06
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Poaceae,Elymus,,Elymus,grass,perennial,10,23,0,0.1
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,2,5,0,0.02
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,0.5,2,1,0.005
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,2,2,0,0.02
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,15,1,0,0.15
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,6,4,0,0.06
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,1.5,1,0,0.015
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Poaceae,Melica,spectabilis,MESP,grass,perennial,4,6,0,0.04
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1,2,1,0.01
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Brassicaceae,Noccaea,fendleri,NOFE,forb,perennial,0.2,1,0,0.002
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,5,2,0,0.05
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Asteraceae,Senecio,crassulus,SECR,forb,perennial,4,5,1,0.04
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,5,4,0,0.05
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,,,,bare,environmental,,50,0,0,0.5
2023,7/19/23,Emerald Lake,3214.686752,Pre,4.62,Treeline,2B,4,2,R,Castilleja,,,,litter,environmental,,3,0,0,0.03
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,5,0,0.01
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.2,1,0,0.002
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,4,1,0,0.04
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,8,7,0,0.08
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,10,5,0,0.1
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Poaceae,Elymus,,Elymus,forb,perennial,10,5,0,0.1
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Asteraceae,Erigeron,coulteri,ERCO,forb,perennial,2.5,2,1,0.025
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,8,8,0,0.08
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,7,7,1,0.07
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,18,5,0,0.18
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,18,11,1,0.18
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,25,4,0,0.25
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Fabaceae,Lupinus,argentus,LUAR,legum,perennial,2.5,1,0,0.025
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Poaceae,Melica,spectabilis,MESP,grass,perennial,5,4,1,0.05
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,3,3,0,0.03
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,1,1,1,0.01
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Grossulariaceae,Ribes,montigenum,RIMO,shrub,perennial,3,2,0,0.03
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,Asteraceae,Senecio,crassulus,SECR,forb,perennial,8,5,1,0.08
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,,,,bare,environmental,,35,0,0,0.35
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,,,,litter,environmental,,5,0,0,0.05
2023,7/17/23,Emerald Lake,3213.215425,Pre,5.78,Treeline,3A,5,2,C,Community,,,,rock,environmental,,1,0,0,0.01
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.5,7,0,0.005
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,4,1,0,0.04
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.1,1,0,0.001
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,5,2,0,0.05
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Poaceae,Elymus,,Elymus,grass,perennial,4,7,1,0.04
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,0.3,3,0,0.003
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,10,8,1,0.1
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,6,1,0,0.06
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,8,3,0,0.08
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,15,9,1,0.15
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Poaceae,Melica,spectabilis,MESP,grass,perennial,4,3,0,0.04
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,2,4,0,0.02
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,1,2,0,0.01
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Grossulariaceae,Ribes,montigenum,RIMO,shrub,perennial,20,3,0,0.2
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Asteraceae,Senecio,crassulus,SECR,forb,perennial,3,3,1,0.03
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,0.5,1,0,0.005
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,,,,bare,environmental,,15,0,0,0.15
2023,7/17/23,Emerald Lake,3213.489248,Pre,7,Creek,3B,6,2,R,Community,,,,litter,environmental,,15,0,0,0.15
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,5,9,0,0.05
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,3.5,2,0,0.035
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,0.5,1,0,0.005
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Poaceae,Elymus,,Elymus,grass,perennial,12,10,1,0.12
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Asteraceae,Erigeron,coulteri,ERCO,forb,perennial,2,1,0,0.02
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,1,2,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,8,5,1,0.08
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,20,1,0,0.2
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Boraginaceae,Hydrophyllum,capitatum,HYCA,forb,perennial,1,2,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,8,5,0,0.08
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,25,5,0,0.25
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Poaceae,Melica,spectabilis,MESP,grass,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1,2,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,2,1,0,0.02
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Asteraceae,Senecio,crassulus,SECR,forb,perennial,2,1,0,0.02
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,,,,bare,environmental,,40,0,0,0.4
2023,7/17/23,Emerald Lake,3212.745864,Pre,6.12,Treeline,4A,7,2,R,Mixed,,,,litter,environmental,,10,0,0,0.1
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,1,5,0,0.01
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,1,1,0,0.01
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,3,4,0,0.03
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Poaceae,Elymus,,Elymus,grass,perennial,8,8,1,0.08
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Asteraceae,Erigeron,speciosus,ERSP,forb,perennial,1.5,1,0,0.015
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,4,6,0,0.04
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,4,2,0,0.04
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,6,1,0,0.06
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,2,2,1,0.02
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,10,2,0,0.1
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Poaceae,Melica,spectabilis,MESP,grass,perennial,3,5,1,0.03
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Poaceae,Phleum,alpinum,PHAL,grass,perennial,1,3,0,0.01
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,4,2,0,0.04
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Ranunculaceae,Ranunculus,inamoenus,RAIN,forb,perennial,0.1,1,0,0.001
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Grossulariaceae,Ribes,montigenum,RIMO,shrub,perennial,25,3,1,0.25
2023,7/17/23,Emerald Lake,3212.821664,Pre,6.8,Creek,4B,8,2,C,Mixed,Asteraceae,Senecio,crassulus,SECR,forb,perennial,4,3,1,0.04
