,Authors,Article Title,Journal,Publish year,DOI,DOI link,,Result,Name,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,"MICHELSEN, A","THE MYCORRHIZAL STATUS OF VASCULAR EPIPHYTES IN BALE-MOUNTAINS-NATIONAL-PARK, ETHIOPIA",MYCORRHIZA,1993,10.1007/BF00203244,http://dx.doi.org/10.1007/BF00203244,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,"Bornyasz, MA; Graham, RC; Allen, MF",Ectomycorrhizae in a soil-weathered granitic bedrock regolith: Linking matrix resources to plants,GEODERMA,2005,10.1016/j.geoderma.2004.11.023,http://dx.doi.org/10.1016/j.geoderma.2004.11.023,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,"Zhou, LW","Fulvifomes imbricatus and F. thailandicus (Hymenochaetales, Basidiomycota): two new species from Thailand based on morphological and molecular evidence",MYCOLOGICAL PROGRESS,2015,10.1007/s11557-015-1116-1,http://dx.doi.org/10.1007/s11557-015-1116-1,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,"Vasilyeva, L; Grouzdev, D; Koziaeva, ; Berestovskaya, Y; Novikov, A; Pimenov, N","Prosthecodimorpha staleyi gen. nov., sp. nov., Novel Prosthecate Bacteria within the Family Ancalomicrobiaceae and Reclassification of the Polyphyletic Genus Prosthecomicrobium",MICROBIOLOGY,2022,10.1134/S0026261722601105,http://dx.doi.org/10.1134/S0026261722601105,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,"Liu, WJ; Jiang, YM; Yang, Q; Yang, H; Li, YD; Li, ZL; Mao, W; Luo, YQ; Wang, X; Tan, ZH",Spatial distribution and stability mechanisms of soil organic carbon in a tropical montane rainforest,ECOLOGICAL INDICATORS,2021,10.1016/j.ecolind.2021.107965,http://dx.doi.org/10.1016/j.ecolind.2021.107965,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,"Piche-Choquette, S; Tlaskal, V; Vrska, T; Jiraska, L; Vetrovsky, T; Baldrian, P",Continuous microhabitats as crossroads of fungal communities in a primeval temperate forest,SOIL BIOLOGY & BIOCHEMISTRY,2023,10.1016/j.soilbio.2023.109187,http://dx.doi.org/10.1016/j.soilbio.2023.109187,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,"Jiao, S; Chen, WM; Wang, JL; Du, NN; Li, QP; Wei, GH",Soil microbiomes with distinct assemblies through vertical soil profiles drive the cycling of multiple nutrients in reforested ecosystems,MICROBIOME,2018,10.1186/s40168-018-0526-0,http://dx.doi.org/10.1186/s40168-018-0526-0,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,"Tian, YW; Qiao, D; Xu, SJ; Wang, N","Effects of tree species and topography on soil and microbial biomass stoichiometry in Funiu Mountain, China",BMC ECOLOGY,2020,10.1186/s12898-020-00332-4,http://dx.doi.org/10.1186/s12898-020-00332-4,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,"Sanjel, S; Colee, J; Barocco, RL; Dufault, NS; Tillman, BL; Punja, ZK; Seepaul, R; Small, IM",Environmental Factors Influencing Stem Rot Development in Peanut: Predictors and Action Thresholds for Disease Management,PHYTOPATHOLOGY,2024,10.1094/PHYTO-05-23-0164-R,http://dx.doi.org/10.1094/PHYTO-05-23-0164-R,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,"Yuan, Y; Zhao, ZQ; Niu, SY; Li, XZ; Wang, YY; Bai, ZK","Reclamation promotes the succession of the soil and vegetation in opencast coal mine: A case study from Robinia pseudoacacia reclaimed forests, Pingshuo mine, China",CATENA,2018,10.1016/j.catena.2018.01.025,http://dx.doi.org/10.1016/j.catena.2018.01.025,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,"Esmaeili, M; Shahryari, F; Sarikhani, S",Unveiling the potential of endophytic bacteria in combatting walnut bacterial canker disease,JOURNAL OF PLANT PATHOLOGY,2025,10.1007/s42161-024-01796-9,http://dx.doi.org/10.1007/s42161-024-01796-9,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,"Brunello, AT; Nardoto, GB; Santos, FLS; Sena-Souza, JP; Quesada, CAN; Lloyd, JJ; Domingues, TF","Soil δ15N spatial distribution is primarily shaped by climatic patterns in the semiarid Caatinga, Northeast Brazil",SCIENCE OF THE TOTAL ENVIRONMENT,2024,10.1016/j.scitotenv.2023.168405,http://dx.doi.org/10.1016/j.scitotenv.2023.168405,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,"Koptsik, GN; Kadulin, MS; Zakharova, AI",Impact of industrial pollution on emission of carbon dioxide by soils in the Kola Subarctic Region,ZHURNAL OBSHCHEI BIOLOGII,2015,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,"Koubouris, GC; Kourgialas, NN; Kavvadias, V; Digalaki, N; Psarras, G",Sustainable Agricultural Practices for Improving Soil Carbon and Nitrogen Content in Relation to Water Availability - An Adapted Approach to Mediterranean Olive Groves,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,2017,10.1080/00103624.2017.1416395,http://dx.doi.org/10.1080/00103624.2017.1416395,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,"Akramkhanov, A; Kuziev, R; Sommer, R; Martius, C; Forkutsa, O; Massucati, L",Soils and Soil Ecology in Khorezm,"COTTON, WATER, SALTS AND SOUMS: ECONOMIC AND ECOLOGICAL RESTRUCTURING IN KHOREZM, UZBEKISTAN",2012,10.1007/978-94-007-1963-7_3,http://dx.doi.org/10.1007/978-94-007-1963-7_3,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,"Raiesi, F; Tavakoli, M",Developing a soil quality index model for assessing landscape-level soil quality along a toposequence in almond orchards using factor analysis,MODELING EARTH SYSTEMS AND ENVIRONMENT,2022,10.1007/s40808-021-01345-8,http://dx.doi.org/10.1007/s40808-021-01345-8,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,"Quinteros-Urquieta, C; Francois, JP; Aguilar-Muñoz, P; Molina, V","Soil Microbial Communities Changes Along Depth and Contrasting Facing Slopes at the Parque Nacional La Campana, Chile",MICROORGANISMS,2024,10.3390/microorganisms12122487,http://dx.doi.org/10.3390/microorganisms12122487,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,"Ingleby, K; Diagne, O; Deans, JD; Lindley, DK; Neyra, M; Ducousso, M","Distribution of roots, arbuscular mycorrhizal colonisation and spores around fast-growing tree species in Senegal",FOREST ECOLOGY AND MANAGEMENT,1997,10.1016/S0378-1127(96)03875-3,http://dx.doi.org/10.1016/S0378-1127(96)03875-3,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,"Heo, S; Chung, YS",Rapid real-time detection method of ACLSV and ASSVd for apple quarantine field,PLANT BIOTECHNOLOGY REPORTS,2021,10.1007/s11816-021-00663-8,http://dx.doi.org/10.1007/s11816-021-00663-8,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,"Zhang, X; Ji, QR; Cheng, GC; Zhu, MN; Zhang, ZH; Jing, LX; Wang, L; Li, Q; Tao, QH; Zhang, XT; Wang, Q; Zhong, ZL; Wang, HM; Wang, WJ","Tree growth and density enhanced, while diversity and spatial clustering reduced soil mycorrhizal C and N sequestration: Strong interaction with soil properties in northeastern China",SCIENCE OF THE TOTAL ENVIRONMENT,2024,10.1016/j.scitotenv.2023.169131,http://dx.doi.org/10.1016/j.scitotenv.2023.169131,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,"Corli, A; Vannucchi, F; Traversari, S; Orsenigo, S; Giovannelli, A; Chiarabaglio, PM; Chianucci, F; Calfapietra, C; Scartazza, A; Mascherpa, MC; Traversi, ML; Cristaldi, L; Trentanovi, G",Drivers of vascular species diversity on floodplain poplar stands: An integrated approach for ecological and functional assessment,FOREST ECOLOGY AND MANAGEMENT,2025,10.1016/j.foreco.2025.123000,http://dx.doi.org/10.1016/j.foreco.2025.123000,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,"Zambrosi, FCB; Mesquita, GL; Menino, G; Tanaka, FAO; Mattos, D; Quaggio, JA",Anatomical and ultrastructural damage to citrus leaves from phosphite spray depends on phosphorus supply to roots,PLANT AND SOIL,2017,10.1007/s11104-017-3314-x,http://dx.doi.org/10.1007/s11104-017-3314-x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,"Bansal, MS; Banay, G; Gogarten, JP; Shamir, R",Detecting Highways of Horizontal Gene Transfer,JOURNAL OF COMPUTATIONAL BIOLOGY,2011,10.1089/cmb.2011.0066,http://dx.doi.org/10.1089/cmb.2011.0066,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,"Gelaw, AM; Singh, BR; Lal, R","Organic Carbon and Nitrogen Associated with Soil Aggregates and Particle Sizes Under Different Land Uses in Tigray, Northern Ethiopia",LAND DEGRADATION & DEVELOPMENT,2015,10.1002/ldr.2261,http://dx.doi.org/10.1002/ldr.2261,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,"Carbone, MS; Winston, GC; Trumbore, SE",Soil respiration in perennial grass and shrub ecosystems: Linking environmental controls with plant and microbial sources on seasonal and diel timescales,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2008,10.1029/2007JG000611,http://dx.doi.org/10.1029/2007JG000611,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,"Afanasjeva, K; Brumelis, G; Kasparinskis, R; Makarenkova, G; Muter, O; Nikodemus, O; Stankevica, K; Vincevica-Gaile, Z",Comparison of physicochemical and microbial soil properties under Norway spruce (Picea abies (L.) H.Karst.) crowns and adjacent abandoned agricultural lands,NEW FORESTS,2024,10.1007/s11056-024-10078-2,http://dx.doi.org/10.1007/s11056-024-10078-2,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,"Kapellakis, I; Tzanakakis, VA; Angelakis, AN",Land Application-Based Olive Mill Wastewater Management,Water,2015,10.3390/w7020362,http://dx.doi.org/10.3390/w7020362,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,"Barnes, ME; Johnson, DW; Hart, SC","The Median Isn't the Message: soil nutrient hot spots have a disproportionate influence on biogeochemical structure across years, seasons, and depths",BIOGEOCHEMISTRY,2024,10.1007/s10533-023-01107-x,http://dx.doi.org/10.1007/s10533-023-01107-x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,"Boyce, CK; Hotton, CL; Fogel, ML; Cody, GD; Hazen, RM; Knoll, AH; Hueber, FM",Devonian landscape heterogeneity recorded by a giant fungus,GEOLOGY,2007,10.1130/G23384A.1,http://dx.doi.org/10.1130/G23384A.1,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,"Yan, BF; Guo, XX; Liu, MH; Huang, Y","Ktedonosporobacter rubrisoli gen. nov., sp. nov., a novel representative of the class Ktedonobacteria, isolated from red soil, and proposal of Ktedonosporobacteraceae fam. nov",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2020,10.1099/ijsem.0.003864,http://dx.doi.org/10.1099/ijsem.0.003864,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,"BODDY, L",SAPROTROPHIC CORD-FORMING FUNGI - WARFARE STRATEGIES AND OTHER ECOLOGICAL ASPECTS,MYCOLOGICAL RESEARCH,1993,10.1016/S0953-7562(09)80141-X,http://dx.doi.org/10.1016/S0953-7562(09)80141-X,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,"Rodríguez-Zaraqoza, S; González-Ruíz, T; González-Lozano, E; Lozada-Rojas, A; Mayzlish-Gati, E; Steinberger, Y","Vertical distribution of microbial communities under the canopy of two legume bushes in the Tehuacan Desert, Mexico",EUROPEAN JOURNAL OF SOIL BIOLOGY,2008,10.1016/j.ejsobi.2008.05.003,http://dx.doi.org/10.1016/j.ejsobi.2008.05.003,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,"Herwig, N; Hommel, B; Felgentreu, D","Copper distribution in German vineyards and its impact on soil organisms - Dataset of physical, chemical and biological soil parameters of a field survey from 2010 to 2014",DATA IN BRIEF,2023,10.1016/j.dib.2023.109088,http://dx.doi.org/10.1016/j.dib.2023.109088,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,"Saarsalm, A; Levula, T",Wood ash application and liming: Effects on soil chemical properties and growth of Scots pine transplants,BALTIC FORESTRY,2007,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,"Trinidad-Cruz, JR; Rincón-Enríquez, G; Evangelista-Martínez, Z; López-Pérez, L; Quiñones-Aguilar, EE","Isolation, Antibacterial Activity and Molecular Identification of Avocado Rhizosphere Actinobacteria as Potential Biocontrol Agents of Xanthomonas sp.",MICROORGANISMS,2024,10.3390/microorganisms12112199,http://dx.doi.org/10.3390/microorganisms12112199,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,"Banke, S; Peschon, A; McDonald, BA",Phylogenetic analysis of globally distributed Mycosphaerella graminicola populations based on three DNA sequence loci,FUNGAL GENETICS AND BIOLOGY,2004,10.1016/j.fgb.2003.09.006,http://dx.doi.org/10.1016/j.fgb.2003.09.006,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,"Huang, HS; Qin, XJ; Kang, YH; Xu, J; Shang, PX; Chen, TS; Cheng, T; Zhang, JL",Three New Species and a New Record of Arbuscular Mycorrhizal Fungi of the Genus Acaulospora Associated with Citrus from South China,JOURNAL OF FUNGI,2025,10.3390/jof11050382,http://dx.doi.org/10.3390/jof11050382,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,"Yarie, J",Boreal forest ecosystem dynamics. II. Application of the model to four vegetation types in interior Alaska,CANADIAN JOURNAL OF FOREST RESEARCH,2000,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,"Tippanavar, N; Bhat, D; Rebello, O; Prabhu, G; Selvaraj, S; Bhat, RM",Bio-utilization of agricultural residue banana plant shoot through solid state fermentation for production of inulinase using newly isolated Nothophoma anigozanthi JAM,BIOMASS CONVERSION AND BIOREFINERY,2023,10.1007/s13399-023-03835-4,http://dx.doi.org/10.1007/s13399-023-03835-4,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,"Faticov, M; Abdelfattah, A; Hambäck, P; Roslin, T; Tack, AJM",Different spatial structure of plant-associated fungal communities above- and belowground,ECOLOGY AND EVOLUTION,2023,10.1002/ece3.10065,http://dx.doi.org/10.1002/ece3.10065,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,"Beltrán, MF; Osorio, V; Lemus, G; Millas, P; France, A; Correa, F; Sagredo, B",Bacterial community associated with canker disease from sweet cherry orchards of central valley of Chile presents high resistance to copper,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,2021,10.4067/S0718-58392021000300378,http://dx.doi.org/10.4067/S0718-58392021000300378,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,"Montaño, NM; Camargo-Ricalde, SL; Montaño-Arias, SA; Jiménez-Martínez, A",Mimosa species (Leguminosae) and rainfall seasonality affect spatial dynamics of soil carbon and nitrogen in a semiarid ecosystem,PLANT AND SOIL,2025,10.1007/s11104-025-07898-2,http://dx.doi.org/10.1007/s11104-025-07898-2,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,"Oliach, D; Castaño, C; Fischer, CR; Barry-Etienne, D; Bonet, JA; Colinas, C; Oliva, J",Soil fungal community and mating type development of Tuber melanosporum in a 20-year chronosequence of black truffle plantations,SOIL BIOLOGY & BIOCHEMISTRY,2022,10.1016/j.soilbio.2021.108510,http://dx.doi.org/10.1016/j.soilbio.2021.108510,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,"Spielvogel, S; Prietzel, J; Kögel-Knabner, I",Stand scale variability of topsoil organic matter composition in a high-elevation Norway spruce forest ecosystem,GEODERMA,2016,10.1016/j.geoderma.2015.12.001,http://dx.doi.org/10.1016/j.geoderma.2015.12.001,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,"Liu, JL; Wang, QQ; Ku, YL; Zhang, WW; Zhu, HL; Zhao, Z",Precipitation and soil pH drive the soil microbial spatial patterns in the Robinia pseudoacacia forests at the regional scale,CATENA,2022,10.1016/j.catena.2022.106120,http://dx.doi.org/10.1016/j.catena.2022.106120,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,"Seidling, W; Travaglini, D; Meyer, P; Waldner, P; Fischer, R; Granke, O; Chirici, G; Corona, P",Dead wood and stand structure - relationships for forest plots across Europe,IFOREST-BIOGEOSCIENCES AND FORESTRY,2014,10.3832/ifor1057-007,http://dx.doi.org/10.3832/ifor1057-007,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,"Bogdanova, O; Kothe, E; Krause, K",Ectomycorrhizal Community Shifts at a Former Uranium Mining Site,JOURNAL OF FUNGI,2023,10.3390/jof9040483,http://dx.doi.org/10.3390/jof9040483,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
