host,parasite,replicate,date planted,parasite/host dead,parasite replanted,Biomass_host,biomass_parasite,host height 8,paraiste height 8,date 8 ,host height 1(cm),parasite height 1,date,host_height_2,parasite_height_2,Date,host height 8,parasite height 8,date 8,host height 4 ,parasite height 4 ,date 4,host height 5,parasite height 5,date 5,host height 6,parasite height 6,date 6,host height 7,parasite height 7,,,date 7 
HESU,parasite,8,9/18,,n/a,0.772,0.002,,,,0.9,0.2,10/4,2.7,0.6,10/10,13.4,2.3,,,,,,,,,,,,,,,
HESU,parasite,9,9/18,,n/a,2.697,0.143,,,,3.7,0.5,10/4,6.2,1.5,10/10,27.5,22.4,,,,,,,,,,,,,,,
HESU,parasite,10,9/18,9/23,n/a,1.305,,,,,1.4,,10/4,2.9,,10/10,17.2,,,,,,,,,,,,,,,,
HESU,control,1,10/3,,n/a,1.666,,33.2,,,3,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,2,10/3,,n/a,5.535,,25.4,,,1.8,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,3,10/3,,n/a,5.66,,37.5,,,3.5,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,4,10/3,10/22,n/a,,,,,,,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,5,10/3,,n/a,8.314,,40.8,,,3.1,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,6,,,n/a,,,,,,n/a,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,7,,,n/a,,,,,,n/a,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,8,,,n/a,,,,,,n/a,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,9,,,n/a,,,,,,n/a,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,control,10,,,n/a,,,,,,n/a,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,parasite,1,9/18,,n/a,3.492,0.001,,,,12.3,0.4,10/4,18.7,0.4,10/10,51.1,1.4,,,,,,,,,,,,,,,
BIPI,parasite,2,9/18,,n/a,3.803,0.006,,,,14.4,0.4,10/4,20.6,1.6,10/10,53,9,,,,,,,,,,,,,,,
BIPI,parasite,3,9/18,10/3,n/a,3.698,,,,,12.7,,10/4,19.1,,10/10,53,,,,,,,,,,,,,,,,
BIPI,parasite,4,9/18,10/3,n/a,5.391,,,,,16.3,,10/4,25,,10/10,55.7,,,,,,,,,,,,,,,,
BIPI,parasite,5,9/18,,n/a,4.593,,,,,16.9,0.2,10/4,19.9,0.2,10/10,50.5,,,,,,,,,,,,,,,,
BIPI,parasite,6,9/18,10/3,n/a,4.218,,,,,17.2,,10/4,20.7,,10/10,52.2,,,,,,,,,,,,,,,,
BIPI,parasite,7,9/18,,n/a,3.341,,,,,13.4,0.3,10/4,21.6,0.3,10/10,50.7,,,,,,,,,,,,,,,,
BIPI,parasite,8,9/18,,n/a,3.714,,,,,17.3,0.5,10/4,20.3,0.5,10/10,50.9,,,,,,,,,,,,,,,,
BIPI,parasite,9,9/18,,n/a,3.805,0.019,,,,13.8,0.6,10/4,20.1,1.2,10/10,53.1,13.7,,,,,,,,,,,,,,,
BIPI,parasite,10,9/18,10/3,n/a,5.774,,,,,15.1,,10/4,21.4,,10/10,50.1,,,,,,,,,,,,,,,,
BIPI,control,1,10/3,,n/a,9.278,,58.2,,,12.1,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,2,10/3/2024,,n/a,8.074,,54.1,,,11,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,3,10/3,,n/a,8.737,,77.6,,,13.6,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,4,10/3,,n/a,7.448,,71.8,,,12.8,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,5,10/3,,n/a,9.317,,86.6,,,11.9,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,6,10/3,,n/a,8.563,,81.6,,,14,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,7,10/3,,n/a,6.866,,85,,,12.5,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,8,10/3,,n/a,7.733,,89,,,11.2,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,9,10/3,,n/a,7.346,,79.8,,,10.6,n/a,10/22,,,,,,,,,,,,,,,,,,,,
BIPI,control,10,10/3,,n/a,7.796,,87.7,,,11.4,n/a,10/22,,,,,,,,,,,,,,,,,,,,
