year,site,field_plot,pair,plot,block,litter,removal,rich,delta,max
2025,Emerald Lake ,9B,9,18,5,Mixed,R,13,,
2025,Emerald Lake ,10A,10,19,5,Control,C,15,,
2025,Emerald Lake ,10B,10,20,5,Control,R,13,,
2025,Emerald Lake ,11A,11,21,3,Castilleja,C,16,,
2025,Emerald Lake ,11B,11,22,3,Castilleja,R,20,,
2025,Emerald Lake ,12A,12,23,3,Control,C,17,,
2025,Emerald Lake ,12B,12,24,3,Control,R,16,,
2025,Emerald Lake ,13A,13,25,1,Control,R,12,,
2025,Emerald Lake ,13B,13,26,1,Control,C,18,,
2025,Emerald Lake ,14A,14,27,1,Community,C,8,,
2025,Emerald Lake ,14B,14,28,1,Community,R,13,,
2025,Emerald Lake ,15A,15,29,1,Castilleja,C,13,,
2025,Emerald Lake ,15B,15,30,1,Castilleja,R,8,,
2025,Emerald Lake ,16A,16,31,2,Control,C,13,,
2025,Emerald Lake ,16B,16,32,2,Control,R,12,,
2025,Emerald Lake ,17A,17,33,4,Community,R,13,,
2025,Emerald Lake ,17B,17,34,4,Community,C,16,,
2025,Emerald Lake ,18A,18,35,5,Community,C,16,,
2025,Emerald Lake ,18B,18,36,5,Community,R,13,,
2025,Emerald Lake ,19A,19,37,5,Castilleja,C,14,,
2025,Emerald Lake ,19B,19,38,5,Castilleja,R,14,,
2025,Emerald Lake ,20A,20,39,4,Mixed,C,20,,
2025,Emerald Lake ,20B,20,40,4,Mixed,R,12,,
