year,plot,forb,grass,legume,sedge,shrub,delta_forb,delta_grass,delta_legume,delta_sedge,delta_shrub
2025,10,8,2,1,0,0,,,,,
2025,11,9,4,0,0,1,,,,,
2025,12,15,4,1,0,1,,,,,
2025,13,8,3,1,0,0,,,,,
2025,14,10,3,0,0,0,,,,,
2025,15,11,3,1,0,0,,,,,
2025,16,10,2,0,0,0,,,,,
2025,17,13,2,1,0,0,,,,,
2025,18,11,2,1,0,0,,,,,
2025,19,10,4,1,0,0,,,,,
2025,20,10,2,1,0,0,,,,,
2025,21,12,3,0,0,1,,,,,
2025,22,16,2,0,1,1,,,,,
2025,23,14,3,0,0,0,,,,,
2025,24,12,2,1,1,0,,,,,
2025,25,6,4,1,1,0,,,,,
2025,26,12,3,1,1,1,,,,,
2025,27,6,1,0,0,1,,,,,
2025,28,8,3,0,1,1,,,,,
2025,29,10,2,1,0,0,,,,,
2025,30,4,3,1,0,0,,,,,
2025,31,9,3,1,0,0,,,,,
2025,32,8,3,1,0,0,,,,,
2025,33,9,3,1,0,0,,,,,
2025,34,13,2,1,0,0,,,,,
2025,35,13,2,1,0,0,,,,,
2025,36,11,2,0,0,0,,,,,
2025,37,10,3,0,1,0,,,,,
2025,38,10,3,1,0,0,,,,,
2025,39,15,3,2,0,0,,,,,
2025,40,10,1,1,0,0,,,,,
Pre,1,14,2,1,0,0,,,,,
Pre,2,11,2,0,1,1,,,,,
Pre,3,17,2,1,1,0,,,,,
Pre,4,13,2,0,0,0,,,,,
Pre,5,14,2,1,0,1,,,,,
Pre,6,12,2,0,0,1,,,,,
Pre,7,13,2,0,0,0,,,,,
Pre,8,13,3,0,0,1,,,,,
Pre,9,9,1,1,0,0,,,,,
Pre,10,9,2,0,0,0,,,,,
Pre,11,14,2,1,0,1,,,,,
Pre,12,13,2,0,0,1,,,,,
Pre,13,10,2,1,0,0,,,,,
Pre,14,15,2,0,0,0,,,,,
Pre,15,12,2,1,0,0,,,,,
Pre,16,10,2,0,0,0,,,,,
Pre,17,12,1,0,0,0,,,,,
Pre,18,10,2,0,0,0,,,,,
Pre,19,10,2,1,0,0,,,,,
Pre,20,12,1,1,0,0,,,,,
Pre,21,10,2,0,0,0,,,,,
Pre,22,12,2,1,1,0,,,,,
Pre,23,10,2,0,0,1,,,,,
Pre,24,11,2,0,0,1,,,,,
Pre,25,13,2,1,2,0,,,,,
Pre,26,10,2,1,1,0,,,,,
Pre,27,8,2,0,0,1,,,,,
Pre,28,9,2,0,1,1,,,,,
Pre,29,13,1,1,0,0,,,,,
Pre,30,9,1,1,0,0,,,,,
Pre,31,9,3,1,0,0,,,,,
Pre,32,9,1,1,0,0,,,,,
Pre,33,10,2,1,0,0,,,,,
Pre,34,8,2,1,0,0,,,,,
Pre,35,10,1,1,0,0,,,,,
Pre,36,8,1,0,0,0,,,,,
Pre,37,8,1,0,0,0,,,,,
Pre,38,5,2,1,0,0,,,,,
Pre,39,13,2,2,0,0,,,,,
Pre,40,12,1,1,0,0,,,,,
