STUDY_ID,REVIEWERS,INCLUDE,Publication.Type,Authors,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,TITLE,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,ABSTRACT,Addresses,Affiliations,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Name.Preferred,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,DOI.Link,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Web.of.Science.Index,Research.Areas,IDS.Number,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,UT..Unique.WOS.ID.,Web.of.Science.Record
47,jordan,YES,J,"HANSEN, DH",NA,,NA,"HANSEN, DH",NA,NA,PHYSIOLOGY AND MICROCLIMATE IN A HEMIPARASITE CASTILLEJA-CHROMOSA (SCROPHULARIACEAE),AMERICAN JOURNAL OF BOTANY,,NA,English,Article,,,,,NA,,,"The hypothesis, that through use of a host, a hemiparasitic angiosperm will be able to uncouple physiological functions from microenvironmental variations, was tested by field measurements of water and carbohydrate balance between C. chromosa and host Artemisia tridentata in 3 different microhabitats in the White Mountains of California [USA]. Movement of reducing sugars from host to parasite correlated with the water potential gradient from host to parasite, and the gradient occurred when water potentials fo the host-parasite system exceeded 15 bars. Changes in carbohydrate and water balance in Castilleja were unaffected by microclimatic differences, wheras these same functions in the host were tightly coupled with differences in microhabitat.",,,"PACIFIC LUTHERAN UNIV, DEPT BIOL, TACOMA, WA 98447 USA.",,,,,,,NA,19,10,10,0,5,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-9122,1537-2197,,AM J BOT,Am. J. Bot.,,1979,66,5,NA,,,,477,484,,10.2307/2442496,http://dx.doi.org/10.2307/2442496,,,8,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,GY812,NA,,NA,NA,7/1/24,WOS:A1979GY81200001,View Full Record in Web of Science
50,jordan,YES,J,"STERMITZ, FR; HARRIS, GH",NA,,NA,"STERMITZ, FR; HARRIS, GH",NA,NA,CHEMISTRY OF THE SCROPHULARIACEAE .10. TRANSFER OF PYRROLIZIDINE AND QUINOLIZIDINE ALKALOIDS TO CASTILLEJA (SCROPHULARIACEAE) HEMIPARASITES FROM COMPOSITE AND LEGUME HOST PLANTS,JOURNAL OF CHEMICAL ECOLOGY,,NA,English,Article,,,,,NA,,,"Castilleja (Scrophulariaceae) species of the western United States contain pyrrolizidine and quinolizidine alkaloids. The Castilleja obtain the alkaloids by root parasitism on host plants, with Senecio atratus and S. triangularis (Asteraceae) furnisning the pyrrolizidines, and quinolizidines being obtained from Lupinus species and Thermopsis montana (Leguminosae). Individual plants within a given Castilleja species population may be devoid of alkaloids while others have high alkaloid content. No populations have been found which are made up of both pyrrolizidine- and quinolidizine-containing individuals. These results have important implications for Castilleja ecology, for the study of insect herbivores which are Castilleja specialists, and in the development of systems for the investigation of the role of alkaloids as plant defenses.",,,"COLORADO STATE UNIV, DEPT CHEM, FT COLLINS, CO 80523 USA.",,,,,,,NA,22,37,40,0,4,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0098-0331,1573-1561,,J CHEM ECOL,J. Chem. Ecol.,AUG,1987,13,8,NA,,,,1917,1925,,10.1007/BF01013240,http://dx.doi.org/10.1007/BF01013240,,,9,Biochemistry & Molecular Biology; Ecology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Environmental Sciences & Ecology,J7361,24302400,,NA,NA,7/1/24,WOS:A1987J736100012,View Full Record in Web of Science
51,jordan,YES,J,"Adler, LS; Wink, M",NA,,NA,"Adler, LS; Wink, M",NA,NA,Transfer of quinolizidine alkaloids from hosts to hemiparasites in two Castilleja-Lupinus associations:: analysis of floral and vegetative tissues,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,,NA,English,Article,,,,,NA,parasitic plants; herbivory; pollination; toxic nectar; mass spectrometry; quinolizidine alkaloids; secondary compounds; Dragendorff reagent,PLATYPTILIA-PICA; ROOT PARASITISM; PLUME MOTH; SCROPHULARIACEAE; CHEMISTRY; PLANT; PYRROLIZIDINE; GLYCOSIDES; ARGENTEUS,"Many hemiparasites, including several members of the Castilleja genus (Scrophulariaceae), obtain secondary compounds from their host plants, Both Castilleja miniata in subalpine Colorado and C. indivisa in central Texas have reduced herbivory when obtaining alkaloids from the hosts Lupinus argenteus and L. texensis (Fabaceae), respectively. However, pollinators were not deterred from visiting Castilleja parasitizing alkaloid-containing hosts. To determine if alkaloids are present in all tissues of plants parasitizing lupins, we analyzed floral tissue as well as leaves of both Castilleja species. Leaves, bracts, calices, corollas, gynoecium and nectar of both Castilleja species were examined for quinolizidine alkaloid presence using a Dragendorff reagent, and alkaloids were identified in vegetative tissue and nectar by capillary GLC and GLC-MS. Lupanine and alpha-isolupanine were the principal alkaloids in C. indivisa parasitizing L. texensis, while principal alkaloids of C. miniata parasitizing L. argenteus were 5,6-iso-dehydrolupanine, alpha-isolupanine, thermopsine, and 17-oxolupanine. Except for 17-oxolupanine, which was probably synthesized by biotransformation in the parasite, all other alkaloids correspond to those present in the host plants. Alkaloids were present in the leaves of both Castilleja species, and in the bracts, calices and gynoecium of some plants, but never in the corollas. Alkaloids from L. texensis and L. argenteus were not detected in nectar of either Castelleja species. The presence of alkaloids leaves and outer floral tissue of both Castilleja species, but not nectar. may explain why alkaloid uptake and storage affected herbivores but not pollinators. (C) 2001 Elsevier Science Ltd. All rights reserved.","Univ Calif Davis, Ctr Populat Biol, Sect Evolut & Ecol, Davis, CA 95616 USA; Univ Calif Davis, Dept Entomol, Sect Evolut & Ecol, Davis, CA 95616 USA; Heidelberg Univ, Inst Pharmazeut Chem, D-69120 Heidelberg, Germany",University of California System; University of California Davis; University of California System; University of California Davis; Ruprecht Karls University Heidelberg,"Univ Arizona, Dept Ecol & Evolut Biol, Biosci W Room 310, Tucson, AZ 85721 USA.",lsadler@arizona.edu,"Wink, Michael J./E-3803-2012","Wink, Michael J./0000-0002-7875-4510",,,,NA,28,29,37,1,33,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0305-1978,1873-2925,,BIOCHEM SYST ECOL,Biochem. Syst. Ecol.,JUN,2001,29,6,NA,,,,551,561,,10.1016/S0305-1978(00)00090-9,http://dx.doi.org/10.1016/S0305-1978(00)00090-9,,,11,Biochemistry & Molecular Biology; Ecology; Evolutionary Biology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,430VR,11336806,,NA,NA,7/1/24,WOS:000168596600001,View Full Record in Web of Science
52,jordan,YES,J,"Carrasco, R; Rada, F; Ramírez, L",NA,,NA,"Carrasco, Ricardo; Rada, Fermin; Ramirez, Lirey",NA,NA,Hemiparasitism and host range of Castilleja fissifolia L.f. (Orobanchaceae) in the high tropical Andes,PLANT ECOLOGY,,NA,English,Article,,,,,NA,Facultative hemiparasite; Generalist/specialist parasite; Paramo; Root parasite; Tropical alpine,PARASITIC PLANTS; RHINANTHUS-MINOR; HAUSTORIUM; ECOSYSTEM; IMPACTS; SCROPHULARIACEAE; SHRUBS; GROWTH; XYLEM,"Parasitic plants exhibit a clear competitive advantage acquiring resources, enabling them to occupy all major global ecosystems. Hemiparasites are capable of connecting to their hosts' root or stem vascular systems through haustoria establishing a flow of water and nutrients between host and parasite. These parasitic associations have an important influence on biodiversity, consequently shaping plant communities through a reduction in growth and alteration of the competitive ability of parasitized hosts. Castilleja fissifolia L.f. (Orobanchaceae), the genus' type species, is an abundant erect herb that inhabits the high tropical Andes and is commonly found in close spatial association with other plant species. Since many other species of the genus Castilleja have been described as hemiparasites, we sought to determine if C. fissifolia establishes parasitic relationships in the Venezuelan high Andes. And if so, to study its host range and facultative/obligate relations. Ten soil blocks which included C. fissifolia individuals were excavated from each of three sites in Piedras Blancas Paramo (PBP, 4250 m), taken to the laboratory and thoroughly examined to identify the presence of C. fissifolia-host interfaces. Instances in which one or more haustoria were found anchored to the roots of a potential host were recorded. C fissifolia acts as a non-specific hemiparasite of at least 44 plant species in PBP, including 25 eudicots, 18 monocots, and 1 pteridophyte, belonging to 16 plant families. These results represent the largest reported host range for any species within the genus Castilleja.","[Carrasco, Ricardo; Rada, Fermin; Ramirez, Lirey] Univ Andes, Inst Ciencias Ambientales & Ecol ICAE, Merida, Venezuela; [Rada, Fermin] Univ Andes, Lab Ecol & Fisiol Vegetal Lab EcoFiV, Bogota, Colombia; [Ramirez, Lirey] Univ Marburg, Fac Geog, Ecol Plant Geog, Deutschhausstr 10, D-35032 Marburg, Germany",University of Los Andes Venezuela; Universidad de los Andes (Colombia); Philipps University Marburg,"Rada, F (corresponding author), Univ Andes, Inst Ciencias Ambientales & Ecol ICAE, Merida, Venezuela.",f.rada@uniandes.edu.co,,"Ramirez, Lirey/0000-0003-1560-7078; Rada, Fermin/0000-0003-4486-2414; Carrasco, Ricardo/0009-0004-0176-5993","Open Society University Network (OSUN); Universidad de Los Andes (UniAndes, Bogota-Colombia)","Open Society University Network (OSUN); Universidad de Los Andes (UniAndes, Bogota-Colombia)","We thank J. Eloy Torres for his field assistance and Benito Briceno for aiding us in the identification of the grass spp. included in this study. F. Rada is grateful to the Open Society University Network (OSUN) and the Universidad de Los Andes (UniAndes, Bogota-Colombia) for their sponsorship and essential support.",NA,56,0,0,2,3,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",1385-0237,1573-5052,,PLANT ECOL,Plant Ecol.,NOV,2023,224,11,NA,,,,1015,1022,,10.1007/s11258-023-01358-6,http://dx.doi.org/10.1007/s11258-023-01358-6,,Oct-23,8,Plant Sciences; Ecology; Forestry,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences; Environmental Sciences & Ecology; Forestry,Y0HS9,NA,,NA,NA,7/1/24,WOS:001090547000001,View Full Record in Web of Science
54,jordan,YES,J,"Lawrence, BA; Kaye, TN",NA,,NA,"Lawrence, Beth A.; Kaye, Thomas N.",NA,NA,"Reintroduction of Castilleja levisecta: Effects of Ecological Similarity, Source Population Genetics, and Habitat Quality",RESTORATION ECOLOGY,,NA,English,Article,,,,,NA,common garden; ecological distance; endangered plant; geographic distance; habitat similarity; Pacific Northwest prairies; reintroduction,ENDANGERED PLANT; GOLDEN PAINTBRUSH; LOCAL ADAPTATION; FITNESS; SIZE; RARE; TRANSLOCATION; DIVERSITY; CONSEQUENCES; REPRODUCTION,"A suite of ecological and genetic factors are likely to contribute to reintroduction performance. Potential factors include the ecological similarity between seed source and introduction site, population size and genetic diversity of seed sources, and the habitat quality of the introduction site. We conducted common garden experiments with golden paintbrush (Castilleja levisecta), an endangered species from the Pacific Northwest, U.S.A., in order to test hypotheses about reintroduction performance and to provide management recommendations. Ten common gardens, each composed of C. levisecta individuals grown from seed from six of the remaining populations, were planted into field conditions and monitored during two growing seasons. Plant community characteristics were important predictors of observed variation in C. levisecta performance. Exotic species-cover at common garden sites was associated with a reduction in performance of first-year C. levisecta transplants, while survival to the second growing season increased with increasing similarity in plant functional groups between source and common garden sites. Although measures of genetic diversity, population size, and geographic distance are often used to make conservation decisions during species recovery, here they were poor predictors of C. levisecta performance and establishment. We recommend choosing material for reintroduction from ecologically similar habitats, rather than those most proximate geographically, and selecting recovery sites with low exotic species abundance.","[Lawrence, Beth A.; Kaye, Thomas N.] Oregon State Univ, Dept Bot & Plant Pathol, Corvallis, OR 97330 USA; [Kaye, Thomas N.] Inst Appl Ecol, Corvallis, OR 97333 USA",Oregon State University,"Lawrence, BA (corresponding author), Oregon State Univ, Dept Bot & Plant Pathol, Corvallis, OR 97330 USA.",balawrence@wisc.edu,"kaye, thomas/D-7859-2012",,Native Plant Society of Oregon; National Science Foundation; USFWS [101813M465],Native Plant Society of Oregon; National Science Foundation(National Science Foundation (NSF)); USFWS(US Fish & Wildlife Service),"Sincere thanks to the USFWS Castilleja levisecta Recovery Team, Institute for Applied Ecology, Jock Bealle, Amy Bartow, Bob Fahey, Bruce McCune, and Manuela Huso for advice, logistical support, and data collection. Funding was provided by a Native Plant Society of Oregon field grant, a National Science Foundation Graduate Research Fellowship, and USFWS contract 101813M465.",NA,70,42,55,1,85,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1061-2971,1526-100X,,RESTOR ECOL,Restor. Ecol.,MAR,2011,19,2,NA,,,,166,176,,10.1111/j.1526-100X.2009.00549.x,http://dx.doi.org/10.1111/j.1526-100X.2009.00549.x,,,11,Ecology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology,729EY,NA,,NA,NA,7/1/24,WOS:000287932600004,View Full Record in Web of Science
55,jordan,YES,J,"DEAN, DA; EGER, JE",NA,,NA,"DEAN, DA; EGER, JE",NA,NA,SPIDERS ASSOCIATED WITH LUPINUS-TEXENSIS (LEGUMINOSAE) AND CASTILLEJA-INDIVISA (SCROPHULARIACEAE) IN SOUTH CENTRAL TEXAS,SOUTHWESTERN ENTOMOLOGIST,,NA,English,Article,,,,,NA,,,"The presence and abundance of spiders on Texas bluebonnet, Lupinus texensis Hooker, and Texas paintbrush, Castilleja indivisa Englemann, were studied in 1979 and 1980 at College Station, TX. The dominant spider taxa on both plants were: Oxyopes salticus Hentz, Tetragnatha laboriosa Hentz, Grammonota texana (Banks), and Misumenops spp. A total of 33 species in 1979 (2652 spiders) and 30 in 1980 (679 spiders) were found on L. texensis at College Station. Though fewer spiders were collected from C. indivisa (1018 in 1979 and 1079 in 1980), more species were present (45 in 1979 and 39 in 1980). Approximately 80% of the spiders collected on L. texensis were hunters, while spiders on C. indivisa were roughly 50% hunting and 50% web-building when averaged over both years. Spiders were sampled at nine other Texas locations during this study. Dominant species were similar to those found at College Station.","DOW CHEM USA, DEPT AGR PROD, TAMPA, FL 33609 USA; FLORIDA DEPT AGR & CONSUMER SERV, GAINESVILLE, FL 32602 USA",,"TEXAS A&M UNIV, DEPT ENTOMOL, COLLEGE STN, TX 77843 USA.",,,,,,,NA,13,1,1,0,5,SOUTHWESTERN ENTOMOLOGICAL SOC,DALLAS,"17360 COIT RD, DALLAS, TX 75252-6599 USA",0147-1724,2162-2647,,SOUTHWEST ENTOMOL,Southw. Entomol.,SEP,1986,11,3,NA,,,,139,147,,,,,,9,Entomology,Science Citation Index Expanded (SCI-EXPANDED),Entomology,E4060,NA,,NA,NA,7/1/24,WOS:A1986E406000002,View Full Record in Web of Science
57,jordan,YES,J,"Godt, MJW; Caplow, F; Hamrick, JL",NA,,NA,"Godt, MJW; Caplow, F; Hamrick, JL",NA,NA,"Allozyme diversity in the federally threatened golden paintbrush, Castilleja levisecta (Scrophulariaceae)",CONSERVATION GENETICS,,NA,English,Article,,,,,NA,endangered; genetic diversity; rare; reintroduction; restoration,GENETIC DIVERSITY; POPULATION-STRUCTURE; BREEDING SYSTEM; F-STATISTICS; DIFFERENTIATION; SIZE; CONSERVATION; FLOW,"Castilleja levisecta (Scrophulariaceae), the golden paintbrush, is an insect-pollinated herbaceaous perennial found in the Pacific Northwest. Currently restricted to two island populations off British Columbia and nine populations (eight on islands) in Washington, C. levisecta is a rare species threatened with extinction. Allozymes were used to describe genetic diversity and structure in these eleven populations. Despite its threatened status and small geographic range, exceptionally high levels of genetic diversity are maintained within C. levisecta. All sixteen of the loci resolved were polymorphic within the species (P-s=100%), while the mean percentage of loci polymorphic within populations (P-p) was 65.7%. The mean number of alleles per polymorphic locus (AP(s)) was 2.94 within the species and averaged 2.38 within populations (AP(p)). Genetic diversity (H-es) was 0.285 for the species, whereas mean population genetic diversity (H-ep) was 0.213. Smaller populations had, on average, fewer observed alleles and less genetic diversity. A significant negative correlation (r = 0.72) was found between genetic identity and geographic distance, indicating reduced gene flow between distant populations. The most geographically isolated population was one of the larger populations, one of the most genetically diverse and the most genetically divergent. A wide range of pairwise population genetic identities (I = 0.771 - 0.992) was found, indicating considerable genetic divergence between some populations. Overall, 19% of the total genetic diversity was distributed among populations. Results of this survey indicate that genetic augmentation of existing populations is unnecessary. The high allelic diversity found for the species and within its populations holds promise for conservation and restoration efforts to save this rare and threatened plant species.","Univ Georgia, Dept Plant Biol, Athens, GA 30602 USA; Washington State Dept Nat Resources, Washington Nat Heritage Program, Olympia, WA 98504 USA; Univ Georgia, Dept Genet, Athens, GA 30602 USA",University System of Georgia; University of Georgia; University System of Georgia; University of Georgia,"Univ Georgia, Dept Plant Biol, Athens, GA 30602 USA.",godt@plantbio.uga.edu,,,,,,NA,60,43,51,0,16,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",1566-0621,1572-9737,,CONSERV GENET,Conserv. Genet.,JAN,2005,6,1,NA,,,,87,99,,10.1007/s10592-004-7746-5,http://dx.doi.org/10.1007/s10592-004-7746-5,,,13,Biodiversity Conservation; Genetics & Heredity,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Genetics & Heredity,910ND,NA,,NA,NA,7/1/24,WOS:000227937300008,View Full Record in Web of Science
58,jordan,YES,J,"Tank, DC; Olmstead, RG",NA,,NA,"Tank, David C.; Olmstead, Richard G.",NA,NA,From annuals to perennials: Phylogeny of subtribe Castillernae (Orobanchaceae),AMERICAN JOURNAL OF BOTANY,,NA,English,Review,,,,,NA,annual; castilleja; castillejinae; cordylanthus; orobanchaceae; orthocarpus; perennial; polyploidy.,NUCLEAR RIBOSOMAL DNA; CHROMOSOME-NUMBERS; CHLOROPLAST DNA; MOLECULAR-DATA; 18S-26S RDNA; SCROPHULARIACEAE; EVOLUTION; UTILITY; HYBRIDIZATION; ORTHOCARPUS,"Variation in life history strategies is a fundamental question in evolutionary biology, and the cooccurrence of annual and perennial habits in Castilleja and Castillejinae provides the opportunity to study the evolution of plant life history in a phylogenetic context. Molecular phylogenetic analysis of two chloroplast (rps16 and trnL/F) and two nuclear ribosomal (internal and external transcribed spacers) DNA regions support the monophyly of subtribe Castillejinae (Orobanchaceae). A well-supported phylogeny of the six genera (Castilleja [similar to 180 spp.], Clevelandia [1 sp.], Cordylanthus [18 spp.], Ophiocephalus [1 sp.], Orthocarpus [9 spp.], and Triphysaria [5 spp]) comprising the subtribe is presented, and morphological synapomorphies are identified for the major lineages recovered. Orthocarpus and Triphysaria are both monophyletic; Cordylanthus is biphyletic. Clevelandia and Ophiocephalus are derived from within Castilleja. The perennial Castilleja clade (similar to 160 spp.) is derived from a grade of annual taxa including Castilleja sect. Oncorhynchus (16 spp.), Cordylanthus, Orthocarpus, and Triphysaria. This suggests that the perennial habit evolved a single time from an annual ancestral lineage that persisted throughout the diversification of Castillejinae, contrary to classical interpretations of life history evolution in plants. Given the prevalence of polyploidy among perennial Castilleja species, perenniality may have played an important role in the origin and establishment of polyploidy in Castilleja.","[Tank, David C.; Olmstead, Richard G.] Univ Washington, Dept Biol, Seattle, WA 98195 USA; [Olmstead, Richard G.] Univ Washington, Burke Museum Nat Hist, Seattle, WA 98195 USA",University of Washington; University of Washington Seattle; University of Washington; University of Washington Seattle,"Tank, DC (corresponding author), Yale Univ, Div Bot, Peabody Museum Nat Hist, POB 208118, New Haven, CT 06520 USA.",david.tank@yale.edu,,,,,,NA,104,94,107,1,41,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-9122,1537-2197,,AM J BOT,Am. J. Bot.,MAY,2008,95,5,NA,,,,608,625,,10.3732/ajb.2007346,http://dx.doi.org/10.3732/ajb.2007346,,,18,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,294ZV,21632387,,NA,NA,7/1/24,WOS:000255445700010,View Full Record in Web of Science
60,jordan,YES,J,"Hersch, EI; Roy, BA",NA,,NA,"Hersch, Erika I.; Roy, Bitty A.",NA,NA,Context-depen dent pollinator behavior: An explanation for patterns of hybridization among three species of indian paintbrush,EVOLUTION,,NA,English,Article,,,,,NA,Castilleja; constancy; facilitation; hybridization; preference,FLOWER COLOR; VISITATION PATTERNS; MEDIATED SELECTION; FLY POLLINATION; SEED PRODUCTION; PLANT-DENSITY; PATCH SIZE; HUMMINGBIRD; REPRODUCTION; COMPETITION,"In some areas of sympatry, reproductively compatible plant species hybridize, but in other areas of sympatry, they do not and they remain reproductively isolated from one another. Explanations offered to explain patterns of hybridization that vary by population have usually focused on genetic or environmental factors. Instead, we examined whether different community contexts might change pollinator preference and constancy and thus influence the likelihood of hybridization among three Indian paintbrush species (Castilleja miniata, C. rhexifolia, and C. sulphurea). To determine whether visitation was context-dependent, we observed pollinator behavior in experimental arrays (constructed using flowering stems of the three Indian paintbrush species) in different contexts. Contexts were defined by which Castilleja species occurred in the immediate neighborhood of the arrays. Specifically, we asked, does visitation to particular species in the arrays depend on context? In general, each Castilleja species was preferred when it matched the surrounding community context, as is predicted by optimal foraging theory. More interestingly, pollinator constancy was weakened in the hybrid context (an area where the three species co-occurred with morphologically intermediate plants), which is likely to increase pollen flow among the species. Reduced pollinator constancy in hybrid zones could set up a positive feedback loop in which more flower diversity is created through hybridization, decreasing pollinator constancy, and leading to more hybridization. This self-reinforcing mechanism could lead to hybridization hot spots and to a patchy distribution of hybrid populations. We expect that this mechanism may be important in other animal-pollinated plant hybrid zones.","Univ Oregon, Ctr Ecol & Evolutionary Biol, Eugene, OR 97405 USA",University of Oregon,"Hersch, EI (corresponding author), Univ Oregon, Ctr Ecol & Evolutionary Biol, Eugene, OR 97405 USA.",ehersch@uoregon.edu,"Roy, Barbara (â€˜Bitty/HZJ-1032-2023","Hersch-Green, Erika/0000-0003-3887-0768",,,,NA,93,58,69,1,43,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0014-3820,1558-5646,,EVOLUTION,Evolution,JAN,2007,61,1,NA,,,,111,124,,10.1111/j.1558-5646.2007.00009.x,http://dx.doi.org/10.1111/j.1558-5646.2007.00009.x,,,14,Ecology; Evolutionary Biology; Genetics & Heredity,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Evolutionary Biology; Genetics & Heredity,137HZ,17300431,Bronze,NA,NA,7/1/24,WOS:000244285000010,View Full Record in Web of Science
61,jordan,YES,J,"Montes-Hernández, E; Sandoval-Zapotitla, E; Bermúdez-Torres, K; Trejo-Tapia, G",NA,,NA,"Montes-Hernandez, Edith; Sandoval-Zapotitla, Estela; Bermudez-Torres, Kalina; Trejo-Tapia, Gabriela",NA,NA,Potential hosts of Castilleja tenuiflora (Orobanchaceae) and characterization of its haustoria,FLORA,,NA,English,Article,,,,,NA,Hemiparasite; Haustorium; Lupinus montanus; Hosts; Sclerotic tissue; Starch,RHINANTHUS-MINOR; HERBIVORY; POLLINATION; ELEMENTS; PLANTS; ROOTS,"Castilleja tenuiflora Benth. is a hemiparasitic plant that is used for medicinal purposes. These hemiparasitic plants are characterized by haustoria organs that develop on the roots of the parasite and function in host attachment, invasion, and uptake of nutrients and water from the host plant. The hosts of C tenuiflora are unknown, and the characteristics of its haustoria have not been reported. We evaluated the plant density, size, phenological stage, number of haustoria, and potential hosts in a field population of C. tenuiflora. Cross-and longitudinal sections of haustoria were stained with safranin O and fast green, and the presence of starch and tannins was determined histochemically. The density of C. tenuiflora in the field population was 8 +/- 13 plants/m(2) and there were plants at the vegetative, floral, and senescent stages. The number (1-6) and size (0.5-2.5 mm) of haustoria varied with plant size. In the field, individuals of C. tenuiflora were growing near plants belonging to families Asteraceae, Fabaceae, Pinaceae and Poaceae. The haustoria were globular, bore hairs, and consisted of dermal, ground, vascular, and young endophyte. Starch was stored in the ground tissue and condensed tannins were present in the young endophyte. The haustoria also contained sclerotic tissue (fibers and sclereids), alternate-pit-type vessel elements, and scalariform tracheids. Our findings provide new information on components of haustoria that might be related to the efficiency of water transport and mechanical support. (C) 2015 Elsevier GmbH. All rights reserved.","[Montes-Hernandez, Edith; Bermudez-Torres, Kalina; Trejo-Tapia, Gabriela] Inst Politecn Nacl, Ctr Desarrollo Prod Biot, Dept Biotecnol, Yautepec 62731, Morelos, Mexico; [Sandoval-Zapotitla, Estela] Univ Nacl Autonoma Mexico, Inst Biol, Lab Anat Vegetal, Coyoacan, DF, Mexico",Instituto Politecnico Nacional - Mexico; Universidad Nacional Autonoma de Mexico,"Trejo-Tapia, G (corresponding author), Inst Politecn Nacl, Ctr Desarrollo Prod Biot, Dept Biotecnol, Carr Yautepec Jojutla Km 8,Calle CEPROBI 6, Yautepec 62731, Morelos, Mexico.",,"Trejo-Tapia, Gabriela/M-3725-2013","Trejo-Tapia, Gabriela/0000-0002-7479-9332; Bermudez Torres, Kalina/0000-0002-7267-7657","Secretaria de Investigacion y Posgrado del IPN-Mexico [1623-20140226]; Consejo Nacional de Ciencia y Tecnologia- Mexico [100808, 220007]; CONACyT",Secretaria de Investigacion y Posgrado del IPN-Mexico; Consejo Nacional de Ciencia y Tecnologia- Mexico(Consejo Nacional de Ciencia y Tecnologia (CONACyT)); CONACyT(Consejo Nacional de Ciencia y Tecnologia (CONACyT)),This work was supported by the Secretaria de Investigacion y Posgrado del IPN-Mexico (Grant 1623-20140226) and Consejo Nacional de Ciencia y Tecnologia- Mexico (Grants 100808 and 220007). EMH is indebted to CONACyT for an awarded fellowship and to the Programa Institucional de Formacion de Investigadores (BEIFI-IPN).,NA,28,6,8,0,19,ELSEVIER GMBH,MUNICH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",0367-2530,1618-0585,,FLORA,Flora,,2015,214,,NA,,,,11,16,,10.1016/j.flora.2015.05.003,http://dx.doi.org/10.1016/j.flora.2015.05.003,,,6,Plant Sciences; Ecology,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences; Environmental Sciences & Ecology,CQ8OQ,NA,,NA,NA,7/1/24,WOS:000360868200002,View Full Record in Web of Science
