Year,Date,Site,Field Plot,Pair,Plot,Treatment,total.cover,plant.cover,Bare ground,Agoseris sp.,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Hesperostipa comata,Lathyrus lanszwertii,Poa pratensis,Potentilla pulcherrima,Elymus trachycaulus,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Solidago sp.,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex ebenea,Fragaria virginiana,Anemone multifida,Hymenoxys hoopesii,Senecio crassulus,Cirsium parryi,Pyrrocoma crocea,Phleum alpinum,Draba aurea,Erigeron leiomerus,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
2023,7/26/23,Avery,E6,6,11,Castilleja,1.21,0.91,0.3,0,0.12,0.4,0.04,0,0.05,0,0.15,0.03,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E6C,6,12,Control,1.2,0.9,0.3,0.03,0,0.15,0,0.12,0.1,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E7,7,13,Castilleja,1.21,0.61,0.6,0.04,0.08,0.2,0,0.15,0.03,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/26/23,Avery,E7C,7,14,Control,1.09,0.64,0.45,0,0,0.12,0.04,0,0.05,0,0.13,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E8,8,15,Castilleja,1.03,0.73,0.3,0.03,0.12,0.2,0.05,0,0,0,0.27,0.02,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E8C,8,16,Control,1.06,0.31,0.75,0,0,0.1,0,0.04,0,0,0.15,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E9,9,17,Castilleja,1.025,0.625,0.4,0,0.02,0.25,0,0.2,0,0.08,0.05,0.02,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E9C,9,18,Control,1.01,0.86,0.15,0.15,0,0.3,0,0.25,0,0.03,0.08,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E10,10,19,Castilleja,1.2,0.65,0.55,0,0.03,0.1,0.05,0.05,0.04,0,0.08,0.05,0,0.08,0,0.02,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E10C,10,20,Control,1.21,0.51,0.7,0,0,0.15,0.08,0,0,0,0.05,0.04,0,0.15,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E11,11,21,Castilleja,1.43,0.88,0.55,0,0.25,0.2,0.05,0.1,0,0,0.1,0,0,0.08,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E11C,11,22,Control,1.08,0.73,0.35,0,0,0.35,0.04,0.08,0,0,0.05,0.01,0,0.12,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E12,12,23,Castilleja,1.16,0.81,0.35,0,0.05,0.35,0,0.1,0,0,0.05,0.08,0,0.15,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/27/23,Avery,E12C,12,24,Control,1.16,0.96,0.2,0,0,0.5,0.03,0.15,0,0,0.08,0.04,0,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E13,13,25,Castilleja,1.035,0.585,0.45,0,0.04,0.2,0,0.15,0,0.01,0.05,0.12,0,0,0.01,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E13C,13,26,Control,1.19,0.59,0.6,0,0,0.12,0,0.08,0.02,0,0.08,0.2,0,0.08,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14,14,27,Castilleja,1.02,0.87,0.15,0,0.04,0.35,0,0.08,0.04,0,0.15,0.08,0,0.08,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14C,14,28,Control,1.135,0.485,0.65,0.03,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15,15,29,Castilleja,1.18,0.68,0.5,0.02,0.12,0.15,0.02,0.15,0,0.04,0.05,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15C,15,30,Control,1.055,0.505,0.55,0,0,0.08,0.15,0,0,0.005,0.2,0,0,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16,16,31,Castilleja,1.02,0.87,0.15,0,0.08,0.4,0.1,0,0.05,0,0.05,0.1,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16C,16,32,Control,1.07,0.47,0.6,0,0,0.25,0.08,0,0.02,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17,17,33,Castilleja,1.11,0.81,0.3,0.04,0.01,0.15,0.01,0.1,0.05,0,0.06,0.35,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17C,17,34,Control,1.14,0.74,0.4,0,0,0.08,0.08,0,0.08,0,0.05,0.35,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18,18,35,Castilleja,1.025,0.625,0.4,0.005,0.05,0.35,0,0,0,0,0.05,0.12,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18C,18,36,Control,1,0.55,0.45,0.01,0,0.2,0,0.1,0.04,0,0.04,0.12,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19,19,37,Castilleja,1.01,0.66,0.35,0,0.05,0.25,0,0.1,0,0,0.05,0.04,0,0,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19C,19,38,Control,1,0.41,0.59,0,0,0.15,0.12,0,0,0,0.05,0.02,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20,20,39,Castilleja,1.15,0.95,0.2,0,0.03,0.1,0.04,0.05,0,0,0.08,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20C,20,40,Control,1.005,0.705,0.3,0,0,0.3,0,0.06,0,0,0.04,0.3,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1,21,41,Castilleja,1.05,0.85,0.2,0,0.02,0.15,0,0,0,0,0.1,0.2,0,0,0.04,0,0,0,0,0,0,0.18,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1C,21,42,Control,1.02,0.87,0.15,0.05,0,0.08,0,0,0,0,0.15,0.2,0.01,0,0.08,0,0,0,0,0,0.04,0.2,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2,22,43,Castilleja,1.26,0.71,0.55,0.01,0.04,0.03,0,0,0,0,0.02,0.12,0,0.05,0.05,0,0,0,0,0,0,0.08,0.1,0.08,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2C,22,44,Control,1.165,0.665,0.5,0.02,0,0.05,0,0,0,0,0.04,0.2,0.005,0.03,0.03,0,0,0,0,0,0,0.05,0.15,0.01,0.03,0,0.05,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3,23,45,Castilleja,1.225,0.625,0.6,0.02,0.02,0.05,0,0,0,0,0.1,0.18,0.01,0,0.08,0,0,0,0,0,0,0.04,0.04,0,0.06,0,0,0.005,0.02,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3C,23,46,Control,1.365,0.665,0.7,0.01,0,0,0,0,0,0,0.08,0.12,0,0.08,0.04,0,0,0,0,0,0.01,0.08,0.08,0,0.005,0,0.1,0,0.02,0,0.04,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4,24,47,Castilleja,1.11,0.76,0.35,0.01,0.08,0,0,0,0,0,0.08,0.2,0.01,0,0.05,0,0,0,0,0,0.05,0.1,0.04,0.03,0.1,0,0,0,0.01,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4C,24,48,Control,1.05,0.75,0.3,0.03,0,0,0,0,0,0,0.04,0.2,0.05,0,0.03,0,0,0,0,0,0.04,0.08,0.08,0,0.18,0,0,0,0.02,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F5,25,49,Castilleja,1.15,0.75,0.4,0.03,0.01,0.08,0,0,0,0,0.08,0.2,0,0,0.06,0,0,0,0,0,0,0.08,0.01,0,0.04,0.01,0,0,0,0,0,0.15,0,0,0,0
2023,8/1/23,Emerald Lake,F5C,25,50,Control,1.28,0.88,0.4,0.02,0,0.1,0,0,0,0,0.04,0.12,0,0.22,0.08,0,0,0,0,0,0.03,0.15,0,0,0.06,0,0,0.05,0,0,0,0.01,0,0,0,0
2023,8/1/23,Emerald Lake,F6,26,51,Castilleja,1.07,0.72,0.35,0.02,0.04,0.04,0.08,0,0,0,0.05,0.15,0,0.02,0.08,0,0,0,0,0,0,0.03,0.04,0,0.04,0,0,0,0,0,0.01,0.08,0.04,0,0,0
2023,8/1/23,Emerald Lake,F6C,26,52,Control,1.035,0.535,0.5,0,0,0.04,0,0,0,0,0.08,0.08,0.06,0,0.15,0,0,0,0,0,0,0.05,0.01,0,0.005,0,0,0,0.01,0,0.02,0,0.03,0,0,0
2023,8/1/23,Emerald Lake,F7,27,53,Castilleja,1.01,0.51,0.5,0.04,0.05,0.04,0,0,0,0,0.03,0.12,0.01,0,0.04,0,0,0,0,0,0,0.04,0.1,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F7C,27,54,Control,1.08,0.53,0.55,0.02,0,0,0,0,0,0,0.04,0.25,0,0,0.08,0,0,0,0,0,0,0.04,0.06,0,0.01,0,0,0.02,0.01,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8,28,55,Castilleja,1.05,0.75,0.3,0.01,0.01,0.03,0,0,0,0,0.05,0.2,0.03,0,0.06,0,0,0,0,0,0.02,0.05,0.1,0,0.12,0,0,0,0.01,0,0.06,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8C,28,56,Control,1.175,0.625,0.55,0.04,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0.01,0.05,0.12,0,0.06,0.04,0,0,0,0,0,0.005,0,0,0,0
2023,8/1/23,Emerald Lake,F9,29,57,Castilleja,1.17,0.62,0.55,0.01,0.08,0,0,0,0,0,0.04,0.12,0.05,0,0,0,0,0,0,0,0,0.08,0.05,0,0.08,0,0.08,0,0.01,0,0.02,0,0,0,0,0
2023,8/1/23,Emerald Lake,F9C,29,58,Control,1.07,0.47,0.6,0,0,0,0,0,0,0,0.05,0.12,0.02,0,0.03,0,0,0,0,0,0,0.04,0.1,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F10,30,59,Castilleja,1.01,0.66,0.35,0,0.04,0,0,0,0,0,0.04,0.2,0,0,0.02,0,0,0,0,0,0.1,0.08,0.03,0,0.1,0,0,0,0,0,0,0.05,0,0,0,0
2023,8/1/23,Emerald Lake,F10C,30,60,Control,1.2,0.7,0.5,0,0,0,0,0,0,0,0.03,0.35,0.08,0,0.02,0,0,0,0,0,0.1,0.02,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F11,31,61,Castilleja,1.14,0.49,0.65,0,0.05,0,0,0,0,0,0.02,0.15,0.03,0,0,0,0,0,0,0,0,0.08,0.02,0,0.04,0,0,0,0,0,0,0,0,0.1,0,0
2023,8/1/23,Emerald Lake,F11C,31,62,Control,1.01,0.61,0.4,0,0,0.02,0,0,0,0,0.08,0.3,0.04,0.08,0,0,0,0,0,0,0,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F12,32,63,Castilleja,1.12,0.37,0.75,0,0.08,0,0,0,0,0,0.03,0.1,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0.08,0,0,0,0,0,0,0,0,0,0.04,0
2023,8/1/23,Emerald Lake,F12C,32,64,Control,1.09,0.29,0.8,0,0,0,0,0,0,0,0.02,0.08,0,0,0,0,0,0,0,0,0,0.03,0,0,0.12,0.04,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F13,33,65,Castilleja,1.11,0.76,0.35,0.04,0.02,0.06,0,0,0,0,0.1,0.15,0.04,0,0.01,0,0,0,0,0,0.03,0.15,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0
2023,8/3/23,Emerald Lake,F13C,33,66,Control,1.29,0.54,0.75,0,0,0.08,0,0,0,0,0.04,0.15,0,0,0.04,0,0,0,0,0,0.02,0.06,0,0,0.06,0,0,0,0.01,0,0,0.05,0,0.03,0,0
2023,8/3/23,Emerald Lake,F14,34,67,Castilleja,1.15,0.85,0.3,0.03,0.04,0,0,0,0,0,0.04,0.15,0.04,0.06,0.01,0,0,0.03,0,0,0.1,0.08,0.01,0,0.05,0.12,0,0,0.01,0,0,0.08,0,0,0,0
2023,8/3/23,Emerald Lake,F14C,34,68,Control,1,0.69,0.31,0.04,0,0.08,0,0,0,0,0.08,0.15,0.03,0.1,0.02,0,0,0,0,0,0,0.08,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F15,35,69,Castilleja,1.245,0.745,0.5,0.05,0.04,0.06,0,0,0,0,0.08,0.12,0.06,0,0.005,0,0,0,0,0,0,0.1,0.04,0,0.06,0,0,0,0.01,0.08,0,0.04,0,0,0,0
2023,8/3/23,Emerald Lake,F15C,35,70,Control,1.11,0.61,0.5,0.03,0,0.06,0,0,0,0,0.04,0.15,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0.04,0,0,0,0.01,0.2,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F16,36,71,Castilleja,1.06,0.56,0.5,0,0.04,0.02,0,0,0,0,0.05,0.15,0.04,0,0,0,0,0,0,0,0,0.08,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.08
2023,8/3/23,Emerald Lake,F16C,36,72,Control,1,0.64,0.36,0.04,0,0,0,0,0,0,0.1,0.25,0.01,0.08,0.04,0,0,0,0,0,0,0.06,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F17,37,73,Castilleja,1.03,0.78,0.25,0.01,0.05,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0.02
2023,8/3/23,Emerald Lake,F17C,37,74,Control,1,0.53,0.47,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0.06,0.03,0,0.12,0.01,0,0,0.01,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18,38,75,Castilleja,1.075,0.525,0.55,0,0.08,0,0,0,0,0,0.03,0.03,0,0,0.005,0,0,0,0,0,0,0.05,0.08,0,0.06,0.18,0,0,0.01,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18C,38,76,Control,1.07,0.32,0.75,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0.04,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F19,39,77,Castilleja,1.06,0.71,0.35,0.03,0.12,0.06,0,0,0,0,0.08,0.08,0,0,0.04,0,0,0,0,0,0.05,0.12,0.04,0,0.04,0,0,0,0.01,0,0,0.04,0,0,0,0
2023,8/3/23,Emerald Lake,F19C,39,78,Control,1,0.6,0.4,0.08,0,0.02,0,0,0,0,0.08,0.08,0,0,0.04,0,0,0,0,0,0,0.08,0.04,0,0.15,0,0,0,0.01,0,0,0.02,0,0,0,0
2023,8/3/23,Emerald Lake,F20,40,79,Castilleja,1.15,0.65,0.5,0.01,0.04,0,0,0,0,0,0.1,0.1,0.04,0,0.06,0,0,0,0,0,0,0.12,0.05,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0.02
2023,8/3/23,Emerald Lake,F20C,40,80,Control,1.035,0.485,0.55,0,0,0.04,0,0,0,0,0.12,0.12,0,0,0.01,0,0,0,0,0,0,0.05,0.08,0,0.06,0,0,0.005,0,0,0,0,0,0,0,0
