Year,Date,Site,Field Plot,Pair,Plot,Treatment,Total Cover,Plant Cover,Bare ground,Agastache urticifolia,Amelanchier alnifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus inermis,Calochortus gunnisonii,Carex sp.,Castilleja linariifolia,Collomia linearis,Crepis sp.,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron speciosus,Erigeron sp.,Eriogonum umbellatum,Festuca thurberi,Galium bifolium,Gayophytum sp.,Heliomerus multiflora ,Achnatherum sp.,Heterotheca sp.,Ipomopsis aggregatta,Juniperus communis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus sp.,Poa pratensis,Poa sp.,Populus tremuloides,Potentilla hippiana,Rosa woodsii,Senecio integerrimus,Symphoricarpos rotundifolius,Vicia americana,Viola praemorsa,Wyethia amplexicaulis
2023,7/11/23,Deer Creek 1,C8C,8,16,Control,1.17,0.47,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.005,0.005,0.08,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0,0.08,0,0,0,0,0
2023,7/11/23,Deer Creek 1,C9,9,17,Castilleja,1.02,0.99,0.03,0.25,0,0,0,0,0,0.04,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0,0,0,0,0.04,0,0,0.08,0,0,0.15,0,0,0,0.1,0.15,0,0
2023,7/11/23,Deer Creek 1,C9C,9,18,Control,1.29,0.89,0.4,0.3,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.03,0,0.15,0.05,0.005,0.005,0.02,0,0,0,0,0,0.15,0,0,0.01,0,0,0,0,0,0,0.15,0,0,0
2023,7/13/23,Deer Creek 1,C10,10,19,Castilleja,1.225,0.925,0.3,0.3,0,0,0,0,0,0.05,0,0,0.04,0.01,0,0,0,0,0,0.08,0,0,0,0.005,0,0.02,0,0,0,0,0,0.15,0,0,0,0.01,0,0,0,0,0,0.25,0,0.01,0
2023,7/13/23,Deer Creek 1,C10C,10,20,Control,1.495,0.995,0.5,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0,0,0.15,0,0.1,0,0.005,0.005,0,0.2,0,0,0,0,0.1,0,0,0,0.005,0,0,0,0,0,0.35,0,0.02,0
2023,7/13/23,Deer Creek 1,C11,11,21,Castilleja,1.07,0.37,0.7,0,0,0,0.2,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0
2023,7/13/23,Deer Creek 1,C11C,11,22,Control,1.15,0.75,0.4,0,0,0,0.35,0,0,0,0,0.06,0,0,0,0,0,0,0,0.02,0,0.1,0.08,0,0,0,0.04,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C12,12,23,Castilleja,1.265,0.765,0.5,0,0,0,0.4,0,0,0.08,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0.005,0.005,0.005,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0.04,0,0.01,0
2023,7/13/23,Deer Creek 1,C12C,12,24,Control,1.095,0.145,0.95,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.005,0.005,0,0.02,0,0.005,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0
2023,7/13/23,Deer Creek 1,C13,13,25,Castilleja,1.245,0.395,0.85,0,0,0,0.02,0,0,0,0,0.03,0.15,0,0,0,0,0,0,0,0,0.03,0.005,0.005,0.005,0,0,0.08,0,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C13C,13,26,Control,1.125,0.325,0.8,0,0,0,0.05,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.05,0,0,0,0.08,0,0.1,0,0,0
2023,7/13/23,Deer Creek 1,C14,14,27,Castilleja,1.095,0.695,0.4,0,0,0,0.02,0,0,0,0,0.05,0.08,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.4,0,0,0
2023,7/13/23,Deer Creek 1,C14C,14,28,Control,1.22,0.87,0.35,0,0,0,0.35,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0.03,0,0,0,0.04,0,0,0,0.05,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C15,15,29,Castilleja,1.065,0.265,0.8,0,0.2,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C15C,15,30,Control,1.155,0.355,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.08,0.005,0,0,0.04,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C16,16,31,Castilleja,1.16,0.76,0.4,0,0.25,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.15,0,0,0
2023,7/13/23,Deer Creek 1,C16C,16,32,Control,1.005,0.395,0.61,0,0.15,0,0.04,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.01,0.03,0,0.005,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C17,17,33,Castilleja,1.135,0.335,0.8,0,0.1,0.05,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.04,0,0,0.005,0,0.08,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C17C,17,34,Control,1.07,0.27,0.8,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C18,18,35,Castilleja,1.11,0.81,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0.01,0,0,0,0,0,0,0.15,0,0.005,0.005,0,0.05,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.25,0,0,0
2023,7/13/23,Deer Creek 1,C18C,18,36,Control,1.04,0.96,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.65
2023,7/13/23,Deer Creek 1,C19,19,37,Castilleja,1.225,0.575,0.65,0,0.05,0.03,0,0,0,0,0,0.005,0.05,0,0,0,0,0,0,0.2,0,0.2,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C19C,19,38,Control,1.115,0.265,0.85,0,0,0,0.04,0.1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0,0.005,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
2023,7/13/23,Deer Creek 1,C20,20,39,Castilleja,1.06,0.96,0.1,0,0,0,0.1,0.05,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.6,0,0.01,0
2023,7/13/23,Deer Creek 1,C20C,20,40,Control,1.065,0.215,0.85,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.005,0,0.01,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0
2023,7/14/23,Deer Creek 2,D1,21,41,Castilleja,1.07,0.72,0.35,0,0,0,0.2,0.15,0,0,0,0.05,0.1,0,0,0,0,0,0.03,0,0,0,0.1,0,0,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D1C,21,42,Control,1,0.17,0.83,0,0,0.03,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D2,22,43,Castilleja,1.13,0.73,0.4,0,0,0,0.25,0.2,0,0,0,0.02,0.08,0,0,0,0,0,0,0,0,0.05,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
2023,7/14/23,Deer Creek 2,D2C,22,44,Control,1.33,0.53,0.8,0,0.08,0.02,0.05,0.05,0.08,0,0,0,0,0,0,0,0,0,0,0.05,0.005,0.04,0,0,0.005,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D3,23,45,Castilleja,1.285,0.635,0.65,0,0.1,0,0.05,0.15,0.005,0,0,0.05,0.2,0,0,0,0,0,0.03,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D3C,23,46,Control,1.085,0.385,0.7,0,0,0,0.1,0,0.005,0,0,0.05,0,0,0,0,0,0,0,0,0.01,0.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D4,24,47,Castilleja,1.155,0.655,0.5,0,0,0,0.04,0.08,0,0,0,0.12,0.05,0,0,0,0,0,0,0,0,0.3,0.05,0,0,0,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D4C,24,48,Control,1.01,0.71,0.3,0,0,0,0,0.2,0,0,0,0.08,0,0,0,0,0,0,0,0.1,0,0.04,0,0,0,0.02,0.04,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.15,0,0.03,0
2023,7/14/23,Deer Creek 2,D5,25,49,Castilleja,1.195,0.695,0.5,0,0,0,0.25,0.05,0,0,0,0.05,0.15,0,0,0.01,0,0.005,0.02,0,0,0,0.1,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
2023,7/14/23,Deer Creek 2,D5C,25,50,Control,1.07,0.82,0.25,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0.25,0,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D6,26,51,Castilleja,1.2,0.65,0.55,0,0,0,0,0.2,0,0,0,0.02,0.03,0,0,0,0.01,0,0.04,0,0.03,0.15,0.1,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
2023,7/14/23,Deer Creek 2,D6C,26,52,Control,1.14,0.34,0.8,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D7,27,53,Castilleja,1.21,0.91,0.3,0,0,0.04,0.2,0.03,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0.08,0.04,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.04,0,0,0,0.12,0,0,0
2023,7/18/23,Deer Creek 2,D7C,27,54,Control,1.105,0.305,0.8,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0.005,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0
2023,7/18/23,Deer Creek 2,D8,28,55,Castilleja,1.085,0.385,0.7,0,0,0,0,0.1,0,0,0,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D8C,28,56,Control,1.145,0.545,0.6,0,0.02,0,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0.25,0,0,0.005,0,0.04,0,0,0,0,0.04,0,0,0,0.03,0,0,0.02,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D9,29,57,Castilleja,1.145,0.395,0.75,0,0,0,0,0.06,0,0,0,0,0.01,0,0,0.005,0,0,0.08,0,0,0,0.03,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D9C,29,58,Control,1.04,0.59,0.45,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.03,0.08,0,0,0,0,0.2,0,0,0,0.05,0,0,0,0.01,0,0,0.15,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D10,30,59,Castilleja,1.17,0.52,0.65,0,0.05,0,0,0,0,0,0.005,0.02,0.05,0,0,0,0,0,0.03,0,0,0.1,0,0,0.005,0,0.04,0,0,0,0,0.15,0,0,0,0.04,0,0,0,0,0,0.03,0,0,0
2023,7/18/23,Deer Creek 2,D10C,30,60,Control,1.2,0.9,0.3,0,0.04,0,0.35,0.08,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.2,0.08,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D11,31,61,Castilleja,1.145,0.245,0.9,0,0.02,0.03,0,0.02,0,0,0.005,0.04,0.02,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0
2023,7/18/23,Deer Creek 2,D11C,31,62,Control,1.105,0.155,0.95,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D12,32,63,Castilleja,1.14,0.44,0.7,0,0,0,0.08,0.02,0,0,0,0,0.01,0,0,0,0,0,0.05,0.03,0,0.04,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D12C,32,64,Control,1.19,0.79,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.25,0.04,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D13,33,65,Castilleja,1.15,0.35,0.8,0,0.05,0,0,0.04,0,0,0,0.04,0.07,0,0,0,0,0,0,0,0,0.06,0.04,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0
2023,7/18/23,Deer Creek 2,D13C,33,66,Control,1.155,0.505,0.65,0,0.05,0.03,0.15,0.08,0,0,0.005,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D14,34,67,Castilleja,1.32,0.62,0.7,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.04,0,0.15,0,0,0,0,0,0,0,0,0,0.08,0.02,0,0,0,0,0,0.03,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D14C,34,68,Control,1.02,0.82,0.2,0,0,0.03,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.15,0,0,0
2023,7/18/23,Deer Creek 2,D15,35,69,Castilleja,1.23,0.93,0.3,0,0,0.06,0.2,0,0,0,0,0.06,0.04,0,0,0,0,0,0.04,0,0,0.04,0.25,0,0,0,0,0,0,0,0,0.08,0.03,0,0,0,0,0,0,0,0,0.05,0,0,0.08
2023,7/18/23,Deer Creek 2,D15C,35,70,Control,1.075,0.125,0.95,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.04,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D16,36,71,Castilleja,1.06,0.36,0.7,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0,0,0
2023,7/18/23,Deer Creek 2,D16C,36,72,Control,1.13,0.23,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0.005,0.005,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D17,37,73,Castilleja,1.32,0.92,0.4,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.06,0,0,0.15,0.08,0,0,0,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.2,0,0,0
2023,7/18/23,Deer Creek 2,D17C,37,74,Control,1.185,0.435,0.75,0,0.15,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.05,0,0,0.01,0.02,0,0.005,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D18,38,75,Castilleja,1.045,0.595,0.45,0,0.05,0.02,0,0,0,0,0.01,0.08,0.08,0,0,0,0,0,0.02,0,0,0.15,0.03,0,0,0,0.03,0,0,0,0,0.04,0.005,0,0,0.04,0,0,0,0.04,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D18C,38,76,Control,1.175,0.475,0.7,0,0,0,0,0,0,0,0.005,0.06,0,0,0,0,0,0,0,0.05,0,0,0.25,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.05,0,0,0
2023,7/18/23,Deer Creek 2,D19,39,77,Castilleja,1.2,0.4,0.8,0,0.12,0.02,0,0.02,0,0,0.005,0.03,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
2023,7/18/23,Deer Creek 2,D19C,39,78,Control,1.19,0.54,0.65,0,0,0.03,0.04,0,0,0,0,0.12,0,0,0,0,0,0,0.06,0,0,0.1,0.1,0,0,0,0,0.01,0,0,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D20,40,79,Castilleja,1.075,0.425,0.65,0,0,0.02,0,0,0,0.005,0,0.04,0.1,0,0,0,0,0,0.03,0,0,0.08,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/18/23,Deer Creek 2,D20C,40,80,Control,1.51,0.71,0.8,0,0,0.03,0.05,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0.15,0,0.15,0.08,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0.1,0,0,0
