Year,Date,Site,Field Plot,Pair,Plot,Treatment,Achnatherum sp.,Artemisia dracunculus,Berberis repens,Bromus inermis,Bromus frondosus,Campanula petiolata,Carex geyeri,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Dactylus glomeratus,Delphinium nutallianum,Elymus trachycaulus,Erigeron speciosus,Eriogonum umbellatum var. majus,Festuca thurberi,Galium boreale,Helianthella quinquenervis,Heliomerus multiflora ,Hydrophyllum capitatum,Ipomopsis aggregatta,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Phacelia sp.,Poa compresssa,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla pulcherrima,Rosa woodsii,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa
2024,7/5/24,Johnson Hill,D8,48,15,Castilleja,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,6,0,2,0,1,0,1,0,0,0,0,0,0,1
2024,7/5/24,Johnson Hill,D8C,48,16,Control,0,0,5,0,4,0,0,0,0,2,0,0,0,0,1,1,0,2,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
2024,7/5/24,Johnson Hill,D9,49,17,Castilleja,0,5,6,1,2,0,0,1,0,3,0,0,3,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2024,7/5/24,Johnson Hill,D9C,49,18,Control,0,2,4,4,0,0,0,0,0,2,0,0,1,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2024,7/5/24,Johnson Hill,D10,50,19,Castilleja,0,0,6,0,0,0,0,2,0,3,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2
2024,7/5/24,Johnson Hill,D10C,50,20,Control,0,0,1,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
2024,7/8/24,Johnson Hill,D11,51,21,Castilleja,0,0,0,0,0,0,0,1,0,6,0,1,1,2,0,0,0,0,2,5,0,2,0,1,0,0,1,2,1,0,0,0,0,0,7
2024,7/8/24,Johnson Hill,D11C,51,22,Control,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,3
2024,7/8/24,Johnson Hill,D12,52,23,Castilleja,0,0,0,2,1,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,8,0,2,0,0,0,0,1,0,0,1,0,1,4
2024,7/8/24,Johnson Hill,D12C,52,24,Control,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,2
2024,7/8/24,Johnson Hill,D13,53,25,Castilleja,0,0,10,0,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,6,1,0,0,0,4,0,0,3
2024,7/8/24,Johnson Hill,D13C,53,26,Control,0,0,10,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,1,3,2,0,0,0,8,0,2,1
2024,7/8/24,Johnson Hill,D14,54,27,Castilleja,0,0,0,3,2,1,0,1,4,1,0,0,0,0,0,0,1,3,1,0,0,8,0,0,0,0,0,1,0,0,0,2,0,0,5
2024,7/8/24,Johnson Hill,D14C,54,28,Control,1,0,3,1,2,0,0,0,0,4,0,0,3,1,0,0,0,0,3,0,0,10,0,1,0,0,0,1,0,0,0,1,1,0,2
2024,7/8/24,Johnson Hill,D15,55,29,Castilleja,0,3,5,0,3,0,0,3,2,2,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,10,0,0,0,0,0,0,4
2024,7/8/24,Johnson Hill,D15C,55,30,Control,0,2,16,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,3,1,0,8,0,0,0,0,0,1,0,0,0,0,3,0,2
2024,7/8/24,Johnson Hill,D16,56,31,Castilleja,0,2,4,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,8,0,1,1,3,0,3,0,0,0,0,0,0,1
2024,7/8/24,Johnson Hill,D16C,56,32,Control,0,0,4,0,0,0,0,0,0,1,0,0,1,1,5,0,2,0,2,0,0,7,0,1,0,4,0,0,0,0,0,0,0,0,1
2024,7/8/24,Johnson Hill,D17,57,33,Castilleja,0,1,5,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,2,0,3,0,0,0,0,1,0,0,0,0
2024,7/8/24,Johnson Hill,D17C,57,34,Control,0,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0
2024,7/8/24,Johnson Hill,D18,58,35,Castilleja,0,0,8,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,3,2,0,0,0,0,0,2,6,2
2024,7/8/24,Johnson Hill,D18C,58,36,Control,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,1,2,0,0,0,0,1,0,1
2024,7/8/24,Johnson Hill,D19,59,37,Castilleja,0,3,0,2,0,4,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,2,0,0,3,0,0,0,0,0,3,0,0
2024,7/8/24,Johnson Hill,D19C,59,38,Control,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,0,1
2024,7/8/24,Johnson Hill,D20,60,39,Castilleja,1,0,7,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,6,1,0,0
2024,7/8/24,Johnson Hill,D20C,60,40,Control,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,3,0,4,0,0,0,10,1,0,0
