"Year","Date","Site","Field.Plot","Pair","Plot","Treatment","total.cover","plant.cover","species","cover"
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Taraxacum.officinale",0.2
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Elymus.lanceolatus",0.01
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Erigeron.subtrinervis",0.1
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Poa.pratensis",0.18
2023,"7/25/23","Avery","E2C",2,4,"Control",1.12,0.84,"Potentilla.pulcherrima",0.35
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Bare.ground",0.33
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Castilleja.septentrionalis",0.1
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Taraxacum.officinale",0.12
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Elymus.lanceolatus",0.005
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Erigeron.subtrinervis",0.13
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Poa.pratensis",0.12
2023,"7/26/23","Avery","E3",3,5,"Castilleja",1.005,0.675,"Potentilla.pulcherrima",0.2
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Bare.ground",0.4
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Agoseris.sp.",0.03
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Taraxacum.officinale",0.3
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Elymus.lanceolatus",0.01
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Erigeron.subtrinervis",0.08
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Lathyrus.lanszwertii",0.01
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Poa.pratensis",0.18
2023,"7/26/23","Avery","E3C",3,6,"Control",1.09,0.69,"Potentilla.pulcherrima",0.08
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Bare.ground",0.2
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Agoseris.sp.",0.08
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Castilleja.septentrionalis",0.03
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Taraxacum.officinale",0.3
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Elymus.lanceolatus",0.005
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Erigeron.subtrinervis",0.1
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Poa.pratensis",0.13
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Potentilla.pulcherrima",0.2
2023,"7/26/23","Avery","E4",4,7,"Castilleja",1.075,0.875,"Thalictrum.fendleri",0.03
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Bare.ground",0.25
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Agoseris.sp.",0.08
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Taraxacum.officinale",0.2
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Erigeron.subtrinervis",0.15
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Poa.pratensis",0.18
2023,"7/26/23","Avery","E4C",4,8,"Control",1.11,0.86,"Potentilla.pulcherrima",0.25
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Bare.ground",0.45
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Agoseris.sp.",0.03
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Castilleja.septentrionalis",0.04
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Taraxacum.officinale",0.4
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Elymus.lanceolatus",0.005
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Poa.pratensis",0.11
2023,"7/26/23","Avery","E5",5,9,"Castilleja",1.115,0.665,"Potentilla.pulcherrima",0.08
2023,"7/26/23","Avery","E5C",5,10,"Control",1.005,0.355,"Bare.ground",0.65
2023,"7/26/23","Avery","E5C",5,10,"Control",1.005,0.355,"Taraxacum.officinale",0.2
2023,"7/26/23","Avery","E5C",5,10,"Control",1.005,0.355,"Elymus.lanceolatus",0.005
2023,"7/26/23","Avery","E5C",5,10,"Control",1.005,0.355,"Poa.pratensis",0.07
2023,"7/26/23","Avery","E5C",5,10,"Control",1.005,0.355,"Achillea.millefolium",0.08
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Bare.ground",0.3
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Achnatherum.sp.",0.05
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Castilleja.septentrionalis",0.12
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Taraxacum.officinale",0.4
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Elymus.lanceolatus",0.04
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Poa.pratensis",0.15
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Potentilla.pulcherrima",0.03
2023,"7/26/23","Avery","E6",6,11,"Castilleja",1.21,0.86,"Thalictrum.fendleri",0.12
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Bare.ground",0.3
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Achnatherum.sp.",0.1
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Agoseris.sp.",0.03
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Taraxacum.officinale",0.15
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Erigeron.subtrinervis",0.12
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Poa.pratensis",0.1
2023,"7/26/23","Avery","E6C",6,12,"Control",1.2,0.8,"Potentilla.pulcherrima",0.4
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Bare.ground",0.6
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Achnatherum.sp.",0.03
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Agoseris.sp.",0.04
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Castilleja.septentrionalis",0.08
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Taraxacum.officinale",0.2
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Erigeron.subtrinervis",0.15
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Poa.pratensis",0.1
2023,"7/26/23","Avery","E7",7,13,"Castilleja",1.21,0.58,"Potentilla.pulcherrima",0.01
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Bare.ground",0.45
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Achnatherum.sp.",0.05
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Taraxacum.officinale",0.12
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Elymus.lanceolatus",0.04
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Poa.pratensis",0.13
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Potentilla.pulcherrima",0.2
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Thalictrum.fendleri",0.1
2023,"7/26/23","Avery","E7C",7,14,"Control",1.19,0.69,"Valeriana.occidentalis",0.1
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Bare.ground",0.3
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Agoseris.sp.",0.03
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Castilleja.septentrionalis",0.12
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Taraxacum.officinale",0.2
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Elymus.lanceolatus",0.05
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Poa.pratensis",0.27
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Potentilla.pulcherrima",0.02
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Achillea.millefolium",0.01
2023,"7/27/23","Avery","E8",8,15,"Castilleja",1.03,0.73,"Solidago.multiradiata",0.03
2023,"7/27/23","Avery","E8C",8,16,"Control",1.06,0.31,"Bare.ground",0.75
2023,"7/27/23","Avery","E8C",8,16,"Control",1.06,0.31,"Taraxacum.officinale",0.1
2023,"7/27/23","Avery","E8C",8,16,"Control",1.06,0.31,"Erigeron.subtrinervis",0.04
2023,"7/27/23","Avery","E8C",8,16,"Control",1.06,0.31,"Poa.pratensis",0.15
2023,"7/27/23","Avery","E8C",8,16,"Control",1.06,0.31,"Solidago.multiradiata",0.02
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Bare.ground",0.4
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Castilleja.septentrionalis",0.02
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Taraxacum.officinale",0.25
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Erigeron.subtrinervis",0.2
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Lathyrus.lanszwertii",0.08
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Poa.pratensis",0.05
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Potentilla.pulcherrima",0.02
2023,"7/27/23","Avery","E9",9,17,"Castilleja",1.025,0.625,"Boechera.stricta",0.005
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Bare.ground",0.15
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Agoseris.sp.",0.15
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Taraxacum.officinale",0.3
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Erigeron.subtrinervis",0.25
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Lathyrus.lanszwertii",0.03
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Poa.pratensis",0.08
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Potentilla.pulcherrima",0.01
2023,"7/27/23","Avery","E9C",9,18,"Control",1.01,0.86,"Achillea.millefolium",0.04
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Bare.ground",0.55
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Achnatherum.sp.",0.04
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Castilleja.septentrionalis",0.03
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Taraxacum.officinale",0.1
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Elymus.lanceolatus",0.05
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Erigeron.subtrinervis",0.05
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Poa.pratensis",0.08
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Potentilla.pulcherrima",0.05
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Thalictrum.fendleri",0.08
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Ipomopsis.aggregata",0.02
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Artemisia.dracunculus",0.15
2023,"7/27/23","Avery","E10",10,19,"Castilleja",1.28,0.69,"Valeriana.occidentalis",0.08
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Bare.ground",0.7
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Taraxacum.officinale",0.15
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Elymus.lanceolatus",0.08
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Poa.pratensis",0.05
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Potentilla.pulcherrima",0.04
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Thalictrum.fendleri",0.15
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Achillea.millefolium",0.04
2023,"7/27/23","Avery","E10C",10,20,"Control",1.36,0.66,"Valeriana.occidentalis",0.15
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Bare.ground",0.55
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Castilleja.septentrionalis",0.25
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Taraxacum.officinale",0.2
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Elymus.lanceolatus",0.05
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Erigeron.subtrinervis",0.1
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Poa.pratensis",0.1
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Thalictrum.fendleri",0.08
2023,"7/27/23","Avery","E11",11,21,"Castilleja",1.43,0.88,"Achillea.millefolium",0.1
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Bare.ground",0.35
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Taraxacum.officinale",0.35
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Elymus.lanceolatus",0.04
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Erigeron.subtrinervis",0.08
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Poa.pratensis",0.05
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Potentilla.pulcherrima",0.01
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Thalictrum.fendleri",0.12
2023,"7/27/23","Avery","E11C",11,22,"Control",1.08,0.73,"Ipomopsis.aggregata",0.08
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Bare.ground",0.35
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Castilleja.septentrionalis",0.05
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Taraxacum.officinale",0.35
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Erigeron.subtrinervis",0.1
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Poa.pratensis",0.05
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Potentilla.pulcherrima",0.08
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Thalictrum.fendleri",0.15
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Ipomopsis.aggregata",0.02
2023,"7/27/23","Avery","E12",12,23,"Castilleja",1.16,0.81,"Boechera.stricta",0.01
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Bare.ground",0.2
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Taraxacum.officinale",0.5
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Elymus.lanceolatus",0.03
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Erigeron.subtrinervis",0.15
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Poa.pratensis",0.08
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Potentilla.pulcherrima",0.04
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Thalictrum.fendleri",0.15
2023,"7/27/23","Avery","E12C",12,24,"Control",1.16,0.96,"Ipomopsis.aggregata",0.01
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Bare.ground",0.45
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Castilleja.septentrionalis",0.04
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Taraxacum.officinale",0.2
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Erigeron.subtrinervis",0.15
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Lathyrus.lanszwertii",0.01
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Poa.pratensis",0.05
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Potentilla.pulcherrima",0.12
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Achillea.millefolium",0.01
2023,"7/28/23","Avery","E13",13,25,"Castilleja",1.035,0.585,"Boechera.stricta",0.005
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Bare.ground",0.6
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Achnatherum.sp.",0.02
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Taraxacum.officinale",0.12
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Erigeron.subtrinervis",0.08
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Poa.pratensis",0.08
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Potentilla.pulcherrima",0.2
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Thalictrum.fendleri",0.08
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Achillea.millefolium",0.005
2023,"7/28/23","Avery","E13C",13,26,"Control",1.19,0.57,"Boechera.stricta",0.005
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Bare.ground",0.15
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Achnatherum.sp.",0.04
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Castilleja.septentrionalis",0.04
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Taraxacum.officinale",0.35
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Erigeron.subtrinervis",0.08
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Poa.pratensis",0.15
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Potentilla.pulcherrima",0.08
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Thalictrum.fendleri",0.08
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Ipomopsis.aggregata",0.05
2023,"7/28/23","Avery","E14",14,27,"Castilleja",1.1,0.91,"Valeriana.occidentalis",0.08
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Bare.ground",0.65
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Agoseris.sp.",0.03
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Taraxacum.officinale",0.15
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Poa.pratensis",0.2
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Thalictrum.fendleri",0.1
2023,"7/28/23","Avery","E14C",14,28,"Control",1.135,0.485,"Boechera.stricta",0.005
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Bare.ground",0.5
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Agoseris.sp.",0.02
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Castilleja.septentrionalis",0.12
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Taraxacum.officinale",0.15
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Elymus.lanceolatus",0.02
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Erigeron.subtrinervis",0.15
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Lathyrus.lanszwertii",0.04
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Poa.pratensis",0.05
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Potentilla.pulcherrima",0.08
2023,"7/28/23","Avery","E15",15,29,"Castilleja",1.18,0.68,"Achillea.millefolium",0.05
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Bare.ground",0.55
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Taraxacum.officinale",0.08
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Elymus.lanceolatus",0.15
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Lathyrus.lanszwertii",0.005
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Poa.pratensis",0.2
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Thalictrum.fendleri",0.01
2023,"7/28/23","Avery","E15C",15,30,"Control",1.055,0.505,"Achillea.millefolium",0.06
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Bare.ground",0.15
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Achnatherum.sp.",0.05
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Castilleja.septentrionalis",0.08
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Taraxacum.officinale",0.4
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Elymus.lanceolatus",0.1
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Poa.pratensis",0.05
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Potentilla.pulcherrima",0.1
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Achillea.millefolium",0.04
2023,"7/28/23","Avery","E16",16,31,"Castilleja",1.02,0.82,"Ipomopsis.aggregata",0.05
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Bare.ground",0.6
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Achnatherum.sp.",0.02
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Taraxacum.officinale",0.25
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Elymus.lanceolatus",0.08
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Poa.pratensis",0.08
2023,"7/28/23","Avery","E16C",16,32,"Control",1.07,0.45,"Potentilla.pulcherrima",0.04
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Bare.ground",0.3
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Achnatherum.sp.",0.05
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Agoseris.sp.",0.04
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Castilleja.septentrionalis",0.01
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Taraxacum.officinale",0.15
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Elymus.lanceolatus",0.01
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Erigeron.subtrinervis",0.1
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Poa.pratensis",0.06
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Potentilla.pulcherrima",0.35
2023,"7/28/23","Avery","E17",17,33,"Castilleja",1.11,0.76,"Ipomopsis.aggregata",0.04
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Bare.ground",0.4
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Achnatherum.sp.",0.08
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Taraxacum.officinale",0.08
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Elymus.lanceolatus",0.08
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Poa.pratensis",0.05
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Potentilla.pulcherrima",0.35
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Achillea.millefolium",0.05
2023,"7/28/23","Avery","E17C",17,34,"Control",1.14,0.66,"Ipomopsis.aggregata",0.05
2023,"7/28/23","Avery","E18",18,35,"Castilleja",1.025,0.625,"Bare.ground",0.4
