year,date,site,pair,pair,plot,castilleja,total_cover,plant_cover,bare,no_plant,no_total,species,div,rich,even
2024,7/23/24,Copper Creek,58,58,116,Control,1.08,0.68,0.4,0.68,1.08,C. septentrionalis,2.073147441,12,0.834295904
2024,7/23/24,Copper Creek,59,59,117,Castilleja,1.03,0.43,0.6,0.36,0.96,C. septentrionalis,2.055050887,10,0.89249726
2024,7/23/24,Copper Creek,59,59,118,Control,1.095,0.395,0.7,0.395,1.095,C. septentrionalis,2.08366989,10,0.904926335
2024,7/23/24,Copper Creek,60,60,119,Castilleja,1.02,0.77,0.25,0.69,0.94,C. septentrionalis,2.389692211,13,0.931672278
2024,7/23/24,Copper Creek,60,60,120,Control,1.005,0.505,0.5,0.505,1.005,C. septentrionalis,1.953037773,11,0.814480013
2023,7/31/23,Emerald Lake,61,61,121,Castilleja,1.05,0.85,0.2,0.83,1.03,C. septentrionalis,1.835657678,7,0.943341438
2023,7/31/23,Emerald Lake,61,61,122,Control,1.02,0.87,0.15,0.87,1.02,C. septentrionalis,1.990498174,10,0.864462373
2023,7/31/23,Emerald Lake,62,62,123,Castilleja,1.26,0.71,0.55,0.67,1.22,C. septentrionalis,2.323650079,12,0.935105582
2023,7/31/23,Emerald Lake,62,62,124,Control,1.165,0.665,0.5,0.665,1.165,C. septentrionalis,2.07465494,12,0.834902567
2023,7/31/23,Emerald Lake,63,63,125,Castilleja,1.225,0.625,0.6,0.605,1.205,C. septentrionalis,2.053020368,11,0.856175994
2023,7/31/23,Emerald Lake,63,63,126,Control,1.365,0.665,0.7,0.665,1.365,C. septentrionalis,2.219503666,12,0.893193982
2023,7/31/23,Emerald Lake,64,64,127,Castilleja,1.11,0.76,0.35,0.68,1.03,C. septentrionalis,2.049841924,11,0.85485048
2023,7/31/23,Emerald Lake,64,64,128,Control,1.05,0.75,0.3,0.75,1.05,C. septentrionalis,2.019782589,10,0.877180433
2023,8/1/23,Emerald Lake,65,65,129,Castilleja,1.15,0.75,0.4,0.74,1.14,C. septentrionalis,2.006314193,10,0.871331183
2023,8/1/23,Emerald Lake,65,65,130,Control,1.28,0.88,0.4,0.88,1.28,C. septentrionalis,2.12359812,11,0.885609202
2023,8/1/23,Emerald Lake,66,66,131,Castilleja,1.07,0.72,0.35,0.68,1.03,C. septentrionalis,2.354453662,13,0.917933781
2023,8/1/23,Emerald Lake,66,66,132,Control,1.035,0.535,0.5,0.535,1.035,C. septentrionalis,2.062479801,11,0.860120884
2023,8/1/23,Emerald Lake,67,67,133,Castilleja,1.01,0.51,0.5,0.46,0.96,C. septentrionalis,2.054356304,10,0.892195607
2023,8/1/23,Emerald Lake,67,67,134,Control,1.08,0.53,0.55,0.53,1.08,C. septentrionalis,1.673670623,9,0.761720327
2023,8/1/23,Emerald Lake,68,68,135,Castilleja,1.05,0.75,0.3,0.74,1.04,C. septentrionalis,2.16443216,12,0.871031578
2023,8/1/23,Emerald Lake,68,68,136,Control,1.175,0.625,0.55,0.625,1.175,C. septentrionalis,1.885535941,9,0.858144388
2023,8/1/23,Emerald Lake,69,69,137,Castilleja,1.17,0.62,0.55,0.54,1.09,C. septentrionalis,2.086181681,10,0.906017192
2023,8/1/23,Emerald Lake,69,69,138,Control,1.07,0.47,0.6,0.47,1.07,C. septentrionalis,1.847060796,8,0.888248483
2023,8/1/23,Emerald Lake,70,70,139,Castilleja,1.01,0.66,0.35,0.62,0.97,C. septentrionalis,1.854934742,8,0.892035051
2023,8/1/23,Emerald Lake,70,70,140,Control,1.2,0.7,0.5,0.7,1.2,C. septentrionalis,1.4885975,7,0.764987788
2023,8/1/23,Emerald Lake,71,71,141,Castilleja,1.14,0.49,0.65,0.44,1.09,C. septentrionalis,1.695650104,7,0.871391778
2023,8/1/23,Emerald Lake,71,71,142,Control,1.01,0.61,0.4,0.61,1.01,C. septentrionalis,1.556270177,7,0.799764664
2023,8/1/23,Emerald Lake,72,72,143,Castilleja,1.12,0.37,0.75,0.29,1.04,C. septentrionalis,1.581149815,6,0.882456514
2023,8/1/23,Emerald Lake,72,72,144,Control,1.09,0.29,0.8,0.29,1.09,C. septentrionalis,1.412753733,5,0.877793248
2023,8/3/23,Emerald Lake,73,73,145,Castilleja,1.11,0.76,0.35,0.74,1.09,C. septentrionalis,2.105751982,10,0.914516466
2023,8/3/23,Emerald Lake,73,73,146,Control,1.29,0.54,0.75,0.54,1.29,C. septentrionalis,2.08940859,10,0.907418621
2023,8/3/23,Emerald Lake,74,74,147,Castilleja,1.15,0.85,0.3,0.81,1.11,C. septentrionalis,2.379432816,14,0.901622253
2023,8/3/23,Emerald Lake,74,74,148,Control,1,0.69,0.31,0.69,1,C. septentrionalis,2.106478091,10,0.914831811
2023,8/3/23,Emerald Lake,75,75,149,Castilleja,1.245,0.745,0.5,0.705,1.205,C. septentrionalis,2.310102969,12,0.929653824
2023,8/3/23,Emerald Lake,75,75,150,Control,1.11,0.61,0.5,0.61,1.11,C. septentrionalis,1.864723479,9,0.848672229
2023,8/3/23,Emerald Lake,76,76,151,Castilleja,1.06,0.56,0.5,0.52,1.02,C. septentrionalis,1.932688754,8,0.929426827
2023,8/3/23,Emerald Lake,76,76,152,Control,1,0.64,0.36,0.64,1,C. septentrionalis,1.837541453,9,0.836301156
2023,8/3/23,Emerald Lake,77,77,153,Castilleja,1.03,0.78,0.25,0.73,0.98,C. septentrionalis,1.829161976,9,0.832487491
2023,8/3/23,Emerald Lake,77,77,154,Control,1,0.53,0.47,0.53,1,C. septentrionalis,1.60978664,7,0.827266686
2023,8/3/23,Emerald Lake,78,78,155,Castilleja,1.075,0.525,0.55,0.445,0.995,C. septentrionalis,1.689757268,8,0.812601477
2023,8/3/23,Emerald Lake,78,78,156,Control,1.07,0.32,0.75,0.32,1.07,C. septentrionalis,1.506759834,5,0.936202523
2023,8/3/23,Emerald Lake,79,79,157,Castilleja,1.06,0.71,0.35,0.59,0.94,C. septentrionalis,2.257804605,11,0.941577654
2023,8/3/23,Emerald Lake,79,79,158,Control,1,0.6,0.4,0.6,1,C. septentrionalis,2.077247463,10,0.902137111
2023,8/3/23,Emerald Lake,80,80,159,Castilleja,1.15,0.65,0.5,0.61,1.11,C. septentrionalis,2.067830409,10,0.898047336
2023,8/3/23,Emerald Lake,80,80,160,Control,1.035,0.485,0.55,0.485,1.035,C. septentrionalis,1.814148496,8,0.872421013
2024,7/25/24,Emerald Lake,81,81,161,Castilleja,1.33,1.29,0.04,1.26,1.3,C. septentrionalis,2.085810296,13,0.813197457
2024,7/25/24,Emerald Lake,81,81,162,Control,1,0.97,0.03,0.97,1,C. septentrionalis,2.180745525,13,0.850209973
2024,7/25/24,Emerald Lake,82,82,163,Castilleja,1.11,0.81,0.3,0.72,1.02,C. septentrionalis,2.300390083,14,0.871671129
2024,7/25/24,Emerald Lake,82,82,164,Control,1.1,0.85,0.25,0.85,1.1,C. septentrionalis,2.292851863,13,0.893917011
2024,7/25/24,Emerald Lake,83,83,165,Castilleja,1,0.65,0.35,0.63,0.98,C. septentrionalis,2.365797534,13,0.922356431
2024,7/25/24,Emerald Lake,83,83,166,Control,1.005,0.695,0.31,0.695,1.005,C. septentrionalis,2.425448156,15,0.89564372
2024,7/25/24,Emerald Lake,84,84,167,Castilleja,1.01,0.89,0.12,0.81,0.93,C. septentrionalis,2.098349614,14,0.795113312
2024,7/25/24,Emerald Lake,84,84,168,Control,1.151,1.051,0.1,1.051,1.151,C. septentrionalis,2.435337258,17,0.859567199
2024,7/25/24,Emerald Lake,85,85,169,Castilleja,1.23,0.93,0.3,0.88,1.18,C. septentrionalis,2.246370046,14,0.851201685
2024,7/25/24,Emerald Lake,85,85,170,Control,1.18,0.88,0.3,0.88,1.18,C. septentrionalis,1.941643876,13,0.756991116
2024,7/25/24,Emerald Lake,86,86,171,Castilleja,1.145,0.965,0.18,0.855,1.035,C. septentrionalis,2.171683848,16,0.783269379
2024,7/25/24,Emerald Lake,86,86,172,Control,1,0.6,0.4,0.6,1,C. septentrionalis,2.208091016,14,0.836696873
2024,7/26/24,Emerald Lake,87,87,173,Castilleja,1.325,1.025,0.3,0.955,1.255,C. septentrionalis,2.40595394,18,0.832402937
2024,7/26/24,Emerald Lake,87,87,174,Control,1.05,0.87,0.18,0.87,1.05,C. septentrionalis,2.300475649,17,0.811966968
2024,7/26/24,Emerald Lake,88,88,175,Castilleja,1,0.78,0.22,0.71,0.93,C. septentrionalis,2.180838505,13,0.850246224
2024,7/26/24,Emerald Lake,88,88,176,Control,1.005,0.605,0.4,0.605,1.005,C. septentrionalis,2.239413215,13,0.873082819
2024,7/26/24,Emerald Lake,89,89,177,Castilleja,1.14,0.84,0.3,0.77,1.07,C. septentrionalis,2.308701333,14,0.874820454
2024,7/26/24,Emerald Lake,89,89,178,Control,1.005,0.855,0.15,0.855,1.005,C. septentrionalis,2.254938728,16,0.81329723
2024,7/26/24,Emerald Lake,90,90,179,Castilleja,1.035,0.865,0.17,0.785,0.955,C. septentrionalis,2.225412047,15,0.821776511
2024,7/26/24,Emerald Lake,90,90,180,Control,1.015,0.665,0.35,0.665,1.015,C. septentrionalis,2.264326974,16,0.816683324
2024,7/26/24,Emerald Lake,91,91,181,Castilleja,1.05,0.8,0.25,0.78,1.03,C. septentrionalis,2.049753173,13,0.799139822
2024,7/26/24,Emerald Lake,91,91,182,Control,1.005,0.835,0.17,0.835,1.005,C. septentrionalis,2.153135882,15,0.795087137
2024,7/26/24,Emerald Lake,92,92,183,Castilleja,1.11,0.88,0.23,0.83,1.06,C. septentrionalis,2.28886133,15,0.845206389
2024,7/26/24,Emerald Lake,92,92,184,Control,1.085,0.485,0.6,0.485,1.085,C. septentrionalis,2.257610758,15,0.833666509
2024,7/26/24,Emerald Lake,93,93,185,Castilleja,1,0.82,0.18,0.73,0.91,C. septentrionalis,2.376838532,15,0.877693674
2024,7/26/24,Emerald Lake,93,93,186,Control,1,0.67,0.33,0.67,1,C. septentrionalis,2.411587913,16,0.869796481
2024,7/27/24,Emerald Lake,94,94,187,Castilleja,1.155,0.805,0.35,0.775,1.125,C. septentrionalis,2.188088624,13,0.853072837
2024,7/27/24,Emerald Lake,94,94,188,Control,1.09,0.54,0.55,0.54,1.09,C. septentrionalis,1.989652604,12,0.80069511
2024,7/27/24,Emerald Lake,95,95,189,Castilleja,1,0.69,0.31,0.66,0.97,C. septentrionalis,2.097625604,11,0.874777822
2024,7/27/24,Emerald Lake,95,95,190,Control,1.06,0.21,0.85,0.21,1.06,C. septentrionalis,1.632782976,6,0.91127353
2024,7/27/24,Emerald Lake,96,96,191,Castilleja,1.1,0.75,0.35,0.71,1.06,C. septentrionalis,2.063206134,12,0.830295228
2024,7/27/24,Emerald Lake,96,96,192,Control,1.03,0.63,0.4,0.63,1.03,C. septentrionalis,1.916759297,9,0.87235475
2024,7/27/24,Emerald Lake,97,97,193,Castilleja,1.02,0.87,0.15,0.81,0.96,C. septentrionalis,1.913247165,11,0.797886041
2024,7/27/24,Emerald Lake,97,97,194,Control,1,0.83,0.17,0.83,1,C. septentrionalis,2.333171624,14,0.884092815
2024,7/27/24,Emerald Lake,98,98,195,Castilleja,1.055,0.855,0.2,0.845,1.045,C. septentrionalis,1.992977365,14,0.755185324
2024,7/27/24,Emerald Lake,98,98,196,Control,1.02,0.52,0.5,0.52,1.02,C. septentrionalis,2.198597367,13,0.857169893
2024,7/27/24,Emerald Lake,99,99,197,Castilleja,1.05,0.9,0.15,0.87,1.02,C. septentrionalis,2.242886057,16,0.808950148
2024,7/27/24,Emerald Lake,99,99,198,Control,1.065,0.835,0.23,0.835,1.065,C. septentrionalis,2.084006723,14,0.789678458
2024,7/27/24,Emerald Lake,100,100,199,Castilleja,1.06,0.88,0.18,0.8,0.98,C. septentrionalis,2.155654735,15,0.796017273
2024,7/27/24,Emerald Lake,100,100,200,Control,1,0.55,0.45,0.55,1,C. septentrionalis,1.894597312,9,0.862268396
2023,7/7/23,Deer Creek 1,1,,201,Castilleja,1.03,0.88,0.15,0.83,0.98,C. linariifolia,1.019937082,8,0.490486057
2023,7/7/23,Deer Creek 1,1,,202,Control,1.25,0.85,0.4,0.85,1.25,C. linariifolia,1.161214811,7,0.596746367
2023,7/7/23,Deer Creek 1,2,,203,Castilleja,1.385,1.185,0.2,1.035,1.235,C. linariifolia,1.414495091,10,0.614307413
