year,date,Site,location,Distance (m),pair,plot,castilleja,total_cover,plant_cover,bare,Achillea millefolium,Stipeae,Agoseris glauca,Allium geyeri,Amelanchier alnifolia,Antennaria parviflora,Artemisia arbuscula,Artemisia tridentata,Asteraceae,Astragalus drummondii,Astragalus miser,Balsamorhiza sagittata,Berberis repens,Boechera consanguinea,Boechera stricta,Calochortus gunnisonii,Carex sp.,Caryophyllaceae,Castilleja chromosa,Chrysothamnus depresus,Chrysothamnus vaseyi,Chrysothamnus viscidiflorus,Crepis sp.,Cyrtorhyncha ranunculina,Delphinium nuttallianum,Elymus elymoides,Eremegone congesta,Erigeron eatonii,Eriogonum racemosum,Eriogonum umbellatum,Galium boreale,Lupinus polyphyllus,Mertensia brevistyla,Pediocactus simpsonii,Penstemon caespitosus,Penstemon strictus,Phlox multiflora,Poa sp.,Polygonum sp.,Potentilla pulcherrima,Pulsatilla nuttalliana,Sedum lanceolatum,Symphoricarpos rotundifolius,Taraxacum officianale,Vicia americana,Wyethia x magna
2024,6/9/2024,Almont,1,27.4,10,20,Control,1.025,0.525,0.5,0.07,0.08,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.16,0,0,0,0.11,0,0,0,0,0,0.005,0,0.01,0,0,0,0,0,0.005,0,0.06,0,0,0,0,0.01,0,0,0,0
2024,6/9/2024,Almont,2,0.3,11,21,Castilleja,0.98,0.48,0.5,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.02,0.2,0.03,0,0,0.04,0,0,0.02,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0.05,0.005,0,0,0.03,0
2024,6/9/2024,Almont,2,0.3,11,22,Control,1.025,0.575,0.45,0,0.03,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0.07,0,0,0,0.1,0,0,0.05,0.02,0,0,0,0,0,0,0,0,0.03,0.005,0,0,0.19,0,0,0,0.03,0
2024,6/9/2024,Almont,2,3.3,12,23,Castilleja,1.09,0.69,0.4,0.005,0,0,0,0,0,0.22,0,0,0,0,0.02,0,0,0,0,0,0,0.015,0.3,0,0,0.01,0.02,0,0,0.005,0,0.02,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0.06,0,0,0
2024,6/9/2024,Almont,2,3.3,12,24,Control,1,0.37,0.63,0,0,0,0,0,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0.04,0.005,0.005,0,0,0.01,0,0,0.01,0,0.05,0.02,0,0,0.06,0.01,0,0,0.01,0
2024,6/9/2024,Almont,2,6.4,13,25,Castilleja,1.005,0.515,0.49,0,0.12,0,0,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0.03,0,0.02,0.05,0,0,0,0.05,0,0,0.01,0,0.005,0,0,0,0,0,0,0,0.11,0,0,0,0,0.01,0,0.01,0,0
2024,6/9/2024,Almont,2,6.4,13,26,Control,1,0.49,0.51,0.09,0.04,0,0,0,0,0.05,0,0,0,0,0.15,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,2,9,14,27,Castilleja,1.205,0.505,0.7,0,0.08,0,0,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0,0,0.015,0.2,0,0,0.01,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.01,0,0,0,0
2024,6/9/2024,Almont,2,9,14,28,Control,1.12,0.37,0.75,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0.01,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0
2024,6/9/2024,Almont,2,11.7,15,29,Castilleja,1,0.57,0.43,0,0.06,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.005,0,0.005,0.02,0.25,0,0,0.01,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0.09,0.03,0,0,0,0.01,0,0,0,0
2024,6/9/2024,Almont,2,11.7,15,30,Control,1.06,0.41,0.65,0.005,0.15,0,0,0,0,0.02,0,0,0,0,0.06,0,0,0,0.005,0,0.01,0,0.05,0,0,0,0.01,0.005,0,0.03,0.01,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0.005,0,0,0,0
2024,6/24/2024,Almont,3,0.7,16,31,Castilleja,1.005,0.685,0.32,0,,0,0.005,0,0.01,0.35,0,0,0,0.02,0,0,0,0,0.005,0,0.005,0.02,0,0,0,0.03,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0.15,0,0,0,0,0,0,0,0.01
2024,6/24/2024,Almont,3,0.7,16,32,Control,1,0.65,0.35,0,,0,0.01,0,0.04,0.35,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.13,0.02,0,0,0,0.03,0.01,0.015,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0
2024,6/24/2024,Almont,3,,17,33,Castilleja,1,0.38,0.62,0,0.05,0,0,0,0,0.04,0,0,0,0.005,0,0,0,0,0,0.06,0,0.025,0.015,0,0.06,0.005,0.005,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0.02,0.005,0,0,0,0,0,0,0,0.04
2024,6/24/2024,Almont,3,,17,34,Control,1.005,0.725,0.28,0,0.06,0.005,0.01,0,0.005,0.35,0,0,0,0.005,0,0,0,0,0,0.05,0,0,0,0,0,0,0.16,0,0,0.01,0.005,0,0,0,0,0,0,0,0,0.04,0.015,0,0,0,0.01,0,0,0,0
2024,6/24/2024,Almont,3,,18,35,Castilleja,1.09,0.36,0.73,0,0.09,0,0,0,0.005,0.04,0,0,0,0,0,0,0,0,0.005,0.07,0,0.01,0.05,0,0,0.005,0.03,0,0,0.015,0.005,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.005
2024,6/24/2024,Almont,3,,18,36,Control,1.005,0.485,0.52,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01,0,0,0.12,0,0,0,0.09,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0
2024,6/24/2024,Almont,3,,19,37,Castilleja,1.085,0.485,0.6,0,0.03,0,0,0,0.04,0,0,0,0,0.005,0.04,0,0,0,0,0.01,0,0.01,0.25,0,0,0.02,0.02,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0.005,0,0.01,0,0,0,0
2024,6/24/2024,Almont,3,,19,38,Control,1,0.46,0.54,0,0.08,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.3,0,0,0,0.02,0,0,0.01,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6/24/2024,Almont,3,,20,39,Castilleja,1,0.31,0.69,0,0.01,0,0.005,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0,0,0.015,0.04,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0
2024,6/24/2024,Almont,3,,20,40,Control,1.015,0.615,0.4,0,0.05,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.07,0,0.02,0,0,0.01,0,0,0,0,0,0.005,0,0,0,0.03,0.02,0,0,0,0,0.15,0,0,0
