Year,Date,Site,Field plot,Pair,Plot,Treatment,Achnatherum sp.,Agoseris glauca leaves,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Lathyrus lanszwertii,Poa pratensis,Deschampsia cespitosa,Potentilla pulcherrima,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Valeriana occidentalis,Solidago multiradiata,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex sp.,Fragaria virginiana,Anemone multifida,Hymenoxys hoopesii,Senecio crassulus,Cirsium griseum,Pyrrocoma crocea,Phleum alpinum,Draba spectabilis,Erigeron leiomerus,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
2023,7/28/23,Avery,E13C,13,26,Control,1,0,0,3,0,2,0,4,0,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14,14,27,Castilleja,2,0,1,4,0,2,0,7,0,3,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14C,14,28,Control,0,3,0,4,0,0,0,5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15,15,29,Castilleja,0,1,2,5,1,5,3,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15C,15,30,Control,0,0,0,1,3,0,1,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16,16,31,Castilleja,1,0,2,9,3,0,0,4,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16C,16,32,Control,1,0,0,7,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17,17,33,Castilleja,1,2,1,5,1,3,0,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17C,17,34,Control,2,0,0,2,2,0,0,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18,18,35,Castilleja,0,1,1,7,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18C,18,36,Control,1,1,0,9,0,3,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19,19,37,Castilleja,0,0,1,4,0,3,0,3,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19C,19,38,Control,0,0,0,3,2,0,0,4,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20,20,39,Castilleja,0,0,1,4,2,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20C,20,40,Control,0,0,0,12,0,4,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1,21,41,Castilleja,0,0,1,7,0,0,0,0,8,9,0,6,0,0,0,0,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1C,21,42,Control,0,3,0,2,2,0,0,0,6,7,0,9,0,0,0,0,0,0,2,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2,22,43,Castilleja,0,1,1,1,0,0,0,0,3,9,4,5,0,0,0,0,0,0,0,10,7,2,3,1,3,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2C,22,44,Control,0,2,0,3,2,0,0,0,6,8,3,3,0,0,0,0,0,0,0,6,6,1,1,0,2,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3,23,45,Castilleja,0,3,1,3,1,0,0,0,7,6,0,10,0,0,0,0,0,0,0,4,4,0,5,0,0,1,15,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3C,23,46,Control,0,3,0,0,0,0,0,0,6,6,4,5,0,0,0,0,0,0,1,5,3,0,1,0,7,0,15,0,2,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4,24,47,Castilleja,0,1,1,0,1,0,0,0,4,7,0,6,0,0,0,0,0,0,2,13,2,1,6,0,0,0,15,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4C,24,48,Control,0,1,0,0,4,0,0,0,5,5,0,1,0,0,0,0,0,0,4,5,3,0,3,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F5,25,49,Castilleja,0,2,2,5,0,0,0,0,8,8,0,7,0,0,0,0,0,0,0,8,1,0,4,1,0,0,0,0,0,15,0,0,0,0
2023,8/1/23,Emerald Lake,F5C,25,50,Control,0,1,0,5,0,0,0,0,7,6,3,9,0,0,0,0,0,0,3,8,0,0,5,0,0,1,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F6,26,51,Castilleja,0,2,2,2,2,0,0,0,6,7,3,13,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,2,2,7,0,0,0
2023,8/1/23,Emerald Lake,F6C,26,52,Control,0,0,0,3,3,0,0,0,4,4,0,11,0,0,0,0,0,0,0,4,1,0,1,0,0,0,15,0,2,0,2,0,0,0
2023,8/1/23,Emerald Lake,F7,27,53,Castilleja,0,4,1,3,1,0,0,0,4,9,0,5,0,0,0,0,0,0,0,3,9,0,2,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F7C,27,54,Control,0,2,0,0,0,0,0,0,7,8,0,13,0,0,0,0,0,0,0,4,4,0,1,0,0,1,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8,28,55,Castilleja,0,1,1,2,3,0,0,0,6,9,0,8,0,0,0,0,0,0,1,4,4,0,10,0,0,0,15,0,4,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8C,28,56,Control,0,4,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,1,7,6,0,6,1,0,0,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F9,29,57,Castilleja,0,1,1,0,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,8,4,0,8,0,5,0,15,0,1,0,0,0,0,0
2023,8/1/23,Emerald Lake,F9C,29,58,Control,0,0,0,0,2,0,0,0,4,7,0,3,0,0,0,0,0,0,0,4,6,0,4,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F10,30,59,Castilleja,0,0,2,0,0,0,0,0,3,7,0,2,0,0,0,0,0,0,7,7,1,0,5,0,0,0,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F10C,30,60,Control,0,0,0,0,3,0,0,0,2,3,0,4,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F11,31,61,Castilleja,0,0,2,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,0
2023,8/1/23,Emerald Lake,F11C,31,62,Control,0,0,0,1,3,0,0,0,1,8,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F12,32,63,Castilleja,0,0,2,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0
2023,8/1/23,Emerald Lake,F12C,32,64,Control,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F13,33,65,Castilleja,0,3,2,3,0,0,0,0,7,9,0,1,0,0,0,0,0,0,3,7,0,0,5,0,0,0,0,0,0,6,0,0,0,0
2023,8/3/23,Emerald Lake,F13C,33,66,Control,0,0,0,5,0,0,0,0,3,6,0,7,0,0,0,0,0,0,2,5,0,0,5,0,0,0,5,0,0,4,0,1,0,0
2023,8/3/23,Emerald Lake,F14,34,67,Castilleja,0,2,2,0,0,0,0,0,7,7,4,1,0,0,0,1,0,0,6,4,1,0,3,4,0,0,5,0,0,8,0,0,0,0
2023,8/3/23,Emerald Lake,F14C,34,68,Control,0,3,0,4,1,0,0,0,5,6,1,3,0,0,0,0,0,0,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F15,35,69,Castilleja,0,4,2,3,3,0,0,0,4,10,0,2,0,0,0,0,0,0,0,9,2,0,5,0,0,0,5,8,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F15C,35,70,Control,0,2,0,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,5,20,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F16,36,71,Castilleja,0,0,1,1,2,0,0,0,5,9,0,0,0,0,0,0,0,0,0,4,2,0,9,0,0,0,0,0,0,0,0,0,0,3
2023,8/3/23,Emerald Lake,F16C,36,72,Control,0,5,0,0,1,0,0,0,5,6,2,7,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F17,37,73,Castilleja,0,1,1,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,4,6,2,0,5,0,0,0,5,0,0,0,0,0,0,1
2023,8/3/23,Emerald Lake,F17C,37,74,Control,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,6,1,0,5,1,0,0,5,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18,38,75,Castilleja,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,4,4,0,4,5,0,0,3,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18C,38,76,Control,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F19,39,77,Castilleja,0,2,1,3,0,0,0,0,3,5,0,5,0,0,0,0,0,0,3,8,3,0,3,0,0,0,5,0,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F19C,39,78,Control,0,5,0,1,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,7,2,0,6,0,0,0,5,0,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F20,40,79,Castilleja,0,1,1,0,2,0,0,0,6,6,0,12,0,0,0,0,0,0,0,7,4,0,7,0,0,0,5,0,0,0,0,0,0,1
2023,8/3/23,Emerald Lake,F20C,40,80,Control,0,0,0,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,5,4,0,5,0,0,1,0,0,0,0,0,0,0,0
