year,site,taxa,rel_abund_cover,NN_freq,total_cover,NN_count
2023,Deer Creek,Amelanchier alnifolia,4.26801285,3.03030303,1.86,3
2023,Deer Creek,Carex sp.,4.027076641,11.11111111,1.755,11
2023,Deer Creek,Achnatherum sp.,3.832033043,9.090909091,1.67,9
2023,Deer Creek,Erigeron speciosus,3.671408903,0,1.6,0
2023,Deer Creek,Eremogone congesta,2.179899036,4.04040404,0.95,4
2023,Deer Creek,Agastache urticifolia,2.156952731,1.01010101,0.94,1
2023,Deer Creek,Poa pratensis,1.755392382,5.050505051,0.765,5
2023,Deer Creek,Lupinus sp.,1.743919229,1.01010101,0.76,1
2023,Deer Creek,Wyethia amplexicaulis,1.675080312,0,0.73,0
2023,Deer Creek,Heterotheca sp.,1.606241395,1.01010101,0.7,1
2023,Deer Creek,Bromus inermis,1.434144103,12.12121212,0.625,12
2023,Deer Creek,Rosa woodsii,1.170261588,1.01010101,0.51,1
2023,Deer Creek,Heliomerus multiflora ,1.147315282,1.01010101,0.5,1
2023,Deer Creek,Arctostaphylos uva-ursi,1.032583754,3.03030303,0.45,3
2023,Deer Creek,Potentilla hippiana,0.9407985314,1.01010101,0.41,1
2023,Deer Creek,Juniperus communis,0.5736576411,0,0.25,0
2023,Deer Creek,Viola praemorsa,0.5621844883,3.03030303,0.245,3
2023,Deer Creek,Gayophytum sp.,0.5392381827,1.01010101,0.235,1
2023,Deer Creek,Populus tremuloides,0.4359798073,0,0.19,0
2023,Deer Creek,Crepis sp.,0.3441945847,0,0.15,0
2023,Deer Creek,Lomatium dissectum,0.3441945847,0,0.15,0
2023,Deer Creek,Vicia americana,0.3441945847,1.01010101,0.15,1
2023,Deer Creek,Galium bifolium,0.3097751262,1.01010101,0.135,1
2023,Deer Creek,Boechera stricta,0.2065167508,0,0.09,0
2023,Deer Creek,Koeleria macrantha,0.2065167508,1.01010101,0.09,1
2023,Deer Creek,Ipomopsis aggregatta,0.1835704452,0,0.08,0
2023,Deer Creek,Delphinum nuttalliianum,0.1720972923,0,0.075,0
2023,Deer Creek,Poa sp.,0.1376778339,0,0.06,0
2023,Deer Creek,Erigeron sp.,0.126204681,0,0.055,0
2023,Deer Creek,Linum lewisii,0.126204681,0,0.055,0
2023,Deer Creek,Calochortus gunnisonii,0.09178522258,0,0.04,0
2023,Deer Creek,Senecio integerrimus,0.06883891693,0,0.03,0
2023,Deer Creek,Collomia linearis,0.05736576411,0,0.025,0
2023,Deer Creek,Elymus elymoides,0.02294630564,0,0.01,0
2023,Deer Creek,Elymus glaucus,0.01147315282,0,0.005,0
