Year,Date,Site,Field Plot,Pair,Plot,Treatment,Total Cover,Plant Cover,Bare ground,Achnatherum sp.,Artemisia dracunculus,Berberis repens,Bromus frondosus,Campanula petiolata,Carex geyeri,Castilleja linariifolia,Chenopodium atrovirens,Collomia linearis,Dactylus glomeratus,Delphinium nuttalianum,Elymus trachycaulus,Erigeron speciosus,Eriogonum umbellatum majus,Festuca thurberi,Galium boreale,Helianthella quinquenervis,Heliomerus multiflora ,Hydrophyllum capitatum,Ipomopsis aggregatta,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Phacelia sp.,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla pulcherrima,Rosa woodsii,Thalictrum fendleri,Vicia americana,Viola adunca,Viola praemorsa
2024,7/16/24,Johnson Hill,D6,86,11,Castilleja,1.82,1.77,0.05,0,0.35,0.35,0.12,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.04
2024,7/16/24,Johnson Hill,D6C,86,12,Control,1.34,1.04,0.3,0,0,0.37,0.07,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0.1,0.01,0,0.3,0,0.02,0,0,0.01,0,0,0,0,0,0,0.1
2024,7/16/24,Johnson Hill,D7,87,13,Castilleja,1.41,1.21,0.2,0,0.12,0.15,0.1,0,0,0.15,0.01,0.01,0,0,0,0,0,0,0,0,0.15,0,0,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0.01
2024,7/16/24,Johnson Hill,D7C,87,14,Control,1.21,1.01,0.2,0,0.25,0.25,0.06,0,0,0,0.01,0,0,0,0.03,0.04,0.07,0,0,0,0.12,0.01,0,0.12,0,0.03,0,0,0.01,0,0,0,0,0,0,0.01
2024,7/16/24,Johnson Hill,D8,88,15,Castilleja,1.115,0.565,0.55,0,0,0.05,0.12,0,0,0.07,0,0.02,0,0,0,0,0,0,0,0,0.15,0,0,0.08,0,0.03,0,0.005,0.01,0,0,0,0,0,0,0.03
2024,7/16/24,Johnson Hill,D8C,88,16,Control,1.14,0.74,0.4,0,0,0.15,0.06,0,0,0,0,0.01,0,0,0,0,0.18,0.02,0,0.14,0.1,0,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0,0
2024,7/16/24,Johnson Hill,D9,89,17,Castilleja,1.27,0.92,0.35,0,0.3,0.22,0.06,0,0,0.02,0,0.02,0,0,0.04,0,0.18,0,0,0,0,0.01,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03
2024,7/16/24,Johnson Hill,D9C,89,18,Control,1.215,0.865,0.35,0,0.13,0.16,0.03,0,0,0,0,0.01,0,0,0.03,0.01,0.25,0,0,0.08,0.15,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.005
2024,7/16/24,Johnson Hill,D10,90,19,Castilleja,1.02,0.62,0.4,0,0,0.19,0,0,0,0.05,0,0.03,0.09,0,0.02,0,0,0,0,0,0.17,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0.04
2024,7/16/24,Johnson Hill,D10C,90,20,Control,1.17,0.37,0.8,0,0,0.04,0.01,0,0,0,0,0.03,0.03,0,0,0,0.06,0,0,0,0.12,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0.05
2024,7/16/24,Johnson Hill,D11,91,21,Castilleja,1.375,0.975,0.4,0,0,0,0,0,0,0.25,0,0.05,0,0.005,0.01,0.3,0,0,0,0,0.08,0.04,0,0.05,0,0.02,0,0.02,0.01,0.02,0,0,0,0,0,0.12
2024,7/16/24,Johnson Hill,D11C,91,22,Control,1.185,0.585,0.6,0,0,0,0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.005,0,0,0.02,0.02,0,0,0,0,0,0,0.07
2024,7/16/24,Johnson Hill,D12,92,23,Castilleja,1.145,0.495,0.65,0,0,0,0.04,0,0,0.05,0.005,0.02,0,0,0,0,0,0,0,0,0.04,0,0,0.14,0,0.02,0,0,0,0.04,0,0,0.04,0,0.02,0.08
2024,7/16/24,Johnson Hill,D12C,92,24,Control,1.085,0.235,0.85,0,0,0,0.06,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0.02,0,0.03,0,0,0,0,0,0,0,0.04
2024,7/16/24,Johnson Hill,D13,93,25,Castilleja,1.13,0.93,0.2,0,0,0.35,0,0.02,0,0.04,0.005,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0.07,0,0.005,0,0.06,0.01,0,0,0,0.22,0,0,0.07
2024,7/16/24,Johnson Hill,D13C,93,26,Control,1.055,0.805,0.25,0,0,0.25,0.03,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0.05,0,0.005,0,0.09,0.01,0,0,0,0.25,0,0.03,0.02
2024,7/16/24,Johnson Hill,D14,94,27,Castilleja,1.29,0.94,0.35,0,0,0,0.07,0.01,0,0.1,0.02,0.01,0,0,0,0,0,0,0.02,0.25,0.08,0,0,0.18,0,0,0,0,0.01,0,0,0,0.07,0,0,0.12
2024,7/16/24,Johnson Hill,D14C,94,28,Control,1.03,0.83,0.2,0.04,0,0.11,0.07,0,0,0,0,0.03,0,0,0.04,0.05,0,0,0,0,0.14,0,0,0.25,0,0.04,0,0,0.01,0,0,0,0.02,0.02,0,0.01
2024,7/16/24,Johnson Hill,D15,95,29,Castilleja,1.13,0.88,0.25,0,0.06,0.16,0.07,0,0,0.25,0.01,0.03,0,0,0,0.01,0,0,0,0,0.1,0,0,0.07,0,0,0,0.03,0.02,0,0,0,0,0,0,0.07
2024,7/16/24,Johnson Hill,D15C,95,30,Control,1.34,1.04,0.3,0,0.15,0.3,0.1,0,0,0,0.01,0.01,0,0,0,0.06,0,0,0,0,0.08,0.01,0,0.2,0,0,0,0,0.01,0,0,0,0,0.04,0,0.07
2024,7/16/24,Johnson Hill,D16,96,31,Castilleja,1.135,0.685,0.45,0,0.07,0.12,0.03,0,0,0.04,0.005,0.01,0,0,0,0,0.15,0,0,0,0,0.01,0,0.1,0,0.02,0.03,0.05,0.02,0,0,0,0,0,0,0.03
2024,7/16/24,Johnson Hill,D16C,96,32,Control,1.37,0.82,0.55,0,0,0.15,0,0,0,0,0,0.03,0,0,0.02,0.01,0.16,0,0.04,0,0.02,0,0,0.11,0,0.02,0,0.24,0,0,0,0,0,0,0,0.02
2024,7/16/24,Johnson Hill,D17,97,33,Castilleja,1.195,0.745,0.45,0,0.05,0.12,0.045,0,0,0.1,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0.15,0,0.05,0,0.16,0,0,0,0.03,0,0,0,0
2024,7/16/24,Johnson Hill,D17C,97,34,Control,1.2,0.55,0.65,0,0.16,0.11,0.07,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0.08,0,0,0,0,0.02,0,0.07,0.03,0,0,0,0,0,0,0
2024,7/16/24,Johnson Hill,D18,98,35,Castilleja,1.35,1.05,0.3,0,0,0.26,0.22,0,0,0.12,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.11,0,0.02,0,0.1,0,0,0,0,0,0.06,0.06,0.03
2024,7/16/24,Johnson Hill,D18C,98,36,Control,1.18,0.88,0.3,0,0,0,0.62,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0.07,0,0.07,0.01,0,0,0,0,0.03,0,0.02
2024,7/16/24,Johnson Hill,D19,99,37,Castilleja,1.04,0.79,0.25,0,0.17,0,0.03,0.04,0,0.17,0,0,0,0,0,0.05,0,0,0,0,0.07,0,0,0.09,0,0.06,0,0.08,0,0,0,0,0,0.03,0,0
2024,7/16/24,Johnson Hill,D19C,99,38,Control,1.28,0.93,0.35,0,0,0.28,0.04,0,0,0,0,0,0,0,0,0.13,0,0,0,0.18,0,0,0,0.06,0,0.04,0,0.15,0,0,0,0,0,0.04,0,0.01
2024,7/16/24,Johnson Hill,D20,100,39,Castilleja,1.25,0.6,0.65,0.02,0,0.23,0.02,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0.03,0,0.04,0,0,0,0,0.12,0.06,0,0
2024,7/16/24,Johnson Hill,D20C,100,40,Control,1.16,0.91,0.25,0,0,0.3,0.03,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.03,0,0,0.12,0,0,0,0.1,0.01,0,0,0,0.25,0.02,0,0
