Year,Date,Site,Field plot,Pair,Plot,Treatment,Achnatherum sp.,Agoseris sp.,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Lathyrus lanszwertii,Poa pratensis,Deschampsia cespitosa,Potentilla pulcherrima,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Valeriana occidentalis,Solidago multiradiata,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex sp.,Fragaria virginiana,Anemone multifida,Hymenoxys hoopesii,Senecio crassulus,Cirsium griseum,Pyrrocoma crocea,Phleum alpinum,Draba spectabilis,Erigeron leiomerus,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
2023,7/28/23,Avery,E13C,13,26,Control,1,0,0,3,0,2,0,4,0,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14,14,27,Castilleja,2,0,1,4,0,2,0,7,0,3,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E14C,14,28,Control,0,3,0,4,0,0,0,5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15,15,29,Castilleja,0,1,2,5,1,5,3,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E15C,15,30,Control,0,0,0,1,3,0,1,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16,16,31,Castilleja,1,0,2,9,3,0,0,4,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E16C,16,32,Control,1,0,0,7,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17,17,33,Castilleja,1,2,1,5,1,3,0,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E17C,17,34,Control,2,0,0,2,2,0,0,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18,18,35,Castilleja,0,1,1,7,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E18C,18,36,Control,1,1,0,9,0,3,0,4,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19,19,37,Castilleja,0,0,1,4,0,3,0,3,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E19C,19,38,Control,0,0,0,3,2,0,0,4,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20,20,39,Castilleja,0,0,1,4,2,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/28/23,Avery,E20C,20,40,Control,0,0,0,12,0,4,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1,61,121,Castilleja,0,0,1,7,0,0,0,0,8,9,0,6,0,0,0,0,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F1C,61,122,Control,0,3,0,2,2,0,0,0,6,7,0,9,0,0,0,0,0,0,2,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2,62,123,Castilleja,0,1,1,1,0,0,0,0,3,9,4,5,0,0,0,0,0,0,0,10,7,2,3,1,3,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F2C,62,124,Control,0,2,0,3,2,0,0,0,6,8,3,3,0,0,0,0,0,0,0,6,6,1,1,0,2,0,0,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3,63,125,Castilleja,0,3,1,3,1,0,0,0,7,6,0,10,0,0,0,0,0,0,0,4,4,0,5,0,0,1,15,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F3C,63,126,Control,0,3,0,0,0,0,0,0,6,6,4,5,0,0,0,0,0,0,1,5,3,0,1,0,7,0,15,0,2,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4,64,127,Castilleja,0,1,1,0,1,0,0,0,4,7,0,6,0,0,0,0,0,0,2,13,2,1,6,0,0,0,15,0,0,0,0,0,0,0
2023,7/31/23,Emerald Lake,F4C,64,128,Control,0,1,0,0,4,0,0,0,5,5,0,1,0,0,0,0,0,0,4,5,3,0,3,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F5,65,129,Castilleja,0,2,2,5,0,0,0,0,8,8,0,7,0,0,0,0,0,0,0,8,1,0,4,1,0,0,0,0,0,15,0,0,0,0
2023,8/1/23,Emerald Lake,F5C,65,130,Control,0,1,0,5,0,0,0,0,7,6,3,9,0,0,0,0,0,0,3,8,0,0,5,0,0,1,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F6,66,131,Castilleja,0,2,2,2,2,0,0,0,6,7,3,13,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,2,2,7,0,0,0
2023,8/1/23,Emerald Lake,F6C,66,132,Control,0,0,0,3,3,0,0,0,4,4,0,11,0,0,0,0,0,0,0,4,1,0,1,0,0,0,15,0,2,0,2,0,0,0
2023,8/1/23,Emerald Lake,F7,67,133,Castilleja,0,4,1,3,1,0,0,0,4,9,0,5,0,0,0,0,0,0,0,3,9,0,2,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F7C,67,134,Control,0,2,0,0,0,0,0,0,7,8,0,13,0,0,0,0,0,0,0,4,4,0,1,0,0,1,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8,68,135,Castilleja,0,1,1,2,3,0,0,0,6,9,0,8,0,0,0,0,0,0,1,4,4,0,10,0,0,0,15,0,4,0,0,0,0,0
2023,8/1/23,Emerald Lake,F8C,68,136,Control,0,4,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,1,7,6,0,6,1,0,0,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F9,69,137,Castilleja,0,1,1,0,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,8,4,0,8,0,5,0,15,0,1,0,0,0,0,0
2023,8/1/23,Emerald Lake,F9C,69,138,Control,0,0,0,0,2,0,0,0,4,7,0,3,0,0,0,0,0,0,0,4,6,0,4,0,0,0,15,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F10,70,139,Castilleja,0,0,2,0,0,0,0,0,3,7,0,2,0,0,0,0,0,0,7,7,1,0,5,0,0,0,0,0,0,1,0,0,0,0
2023,8/1/23,Emerald Lake,F10C,70,140,Control,0,0,0,0,3,0,0,0,2,3,0,4,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F11,71,141,Castilleja,0,0,2,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,0
2023,8/1/23,Emerald Lake,F11C,71,142,Control,0,0,0,1,3,0,0,0,1,8,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/23,Emerald Lake,F12,72,143,Castilleja,0,0,2,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0
2023,8/1/23,Emerald Lake,F12C,72,144,Control,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F13,73,145,Castilleja,0,3,2,3,0,0,0,0,7,9,0,1,0,0,0,0,0,0,3,7,0,0,5,0,0,0,0,0,0,6,0,0,0,0
2023,8/3/23,Emerald Lake,F13C,73,146,Control,0,0,0,5,0,0,0,0,3,6,0,7,0,0,0,0,0,0,2,5,0,0,5,0,0,0,5,0,0,4,0,1,0,0
2023,8/3/23,Emerald Lake,F14,74,147,Castilleja,0,2,2,0,0,0,0,0,7,7,4,1,0,0,0,1,0,0,6,4,1,0,3,4,0,0,5,0,0,8,0,0,0,0
2023,8/3/23,Emerald Lake,F14C,74,148,Control,0,3,0,4,1,0,0,0,5,6,1,3,0,0,0,0,0,0,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F15,75,149,Castilleja,0,4,2,3,3,0,0,0,4,10,0,2,0,0,0,0,0,0,0,9,2,0,5,0,0,0,5,8,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F15C,75,150,Control,0,2,0,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,5,20,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F16,76,151,Castilleja,0,0,1,1,2,0,0,0,5,9,0,0,0,0,0,0,0,0,0,4,2,0,9,0,0,0,0,0,0,0,0,0,0,3
2023,8/3/23,Emerald Lake,F16C,76,152,Control,0,5,0,0,1,0,0,0,5,6,2,7,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F17,77,153,Castilleja,0,1,1,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,4,6,2,0,5,0,0,0,5,0,0,0,0,0,0,1
2023,8/3/23,Emerald Lake,F17C,77,154,Control,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,6,1,0,5,1,0,0,5,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18,78,155,Castilleja,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,4,4,0,4,5,0,0,3,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F18C,78,156,Control,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2023,8/3/23,Emerald Lake,F19,79,157,Castilleja,0,2,1,3,0,0,0,0,3,5,0,5,0,0,0,0,0,0,3,8,3,0,3,0,0,0,5,0,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F19C,79,158,Control,0,5,0,1,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,7,2,0,6,0,0,0,5,0,0,4,0,0,0,0
2023,8/3/23,Emerald Lake,F20,80,159,Castilleja,0,1,1,0,2,0,0,0,6,6,0,12,0,0,0,0,0,0,0,7,4,0,7,0,0,0,5,0,0,0,0,0,0,1
2023,8/3/23,Emerald Lake,F20C,80,160,Control,0,0,0,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,5,4,0,5,0,0,1,0,0,0,0,0,0,0,0
