year,date,site,pair,plot,castilleja,total.cover,plant.cover,species,cover,functional.group,life.history,family
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Elymus.lanceolatus,0.005,grass,perennial,Poaceae
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Erigeron.subtrinervis,0.13,forb,perennial,Asteraceae
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Poa.pratensis,0.12,grass,perennial,Poaceae
2023,7/26/23,Avery,3,5,Castilleja,1.005,0.675,Potentilla.pulcherrima,0.2,forb,perennial,Rosaceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Bare.ground,0.4,,,
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Agoseris.sp.,0.03,forb,perennial,Asteraceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Taraxacum.officinale,0.3,forb,perennial,Asteraceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Erigeron.subtrinervis,0.08,forb,perennial,Asteraceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Lathyrus.lanszwertii,0.01,legume,perennial,Fabaceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Poa.pratensis,0.18,grass,perennial,Poaceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Potentilla.pulcherrima,0.08,forb,perennial,Rosaceae
2023,7/26/23,Avery,3,6,Control,1.09,0.69,Elymus.trachycaulus,0.01,grass,perennial,Poaceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Bare.ground,0.2,,,
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Agoseris.sp.,0.08,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Castilleja.septentrionalis,0.03,hemiparasite,perennial,Orobanchaceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Taraxacum.officinale,0.3,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Elymus.lanceolatus,0.005,grass,perennial,Poaceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Erigeron.subtrinervis,0.1,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Poa.pratensis,0.13,grass,perennial,Poaceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Potentilla.pulcherrima,0.2,forb,perennial,Rosaceae
2023,7/26/23,Avery,4,7,Castilleja,1.075,0.875,Thalictrum.fendleri,0.03,forb,perennial,Ranunculaceae
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Bare.ground,0.25,,,
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Agoseris.sp.,0.08,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Poa.pratensis,0.18,grass,perennial,Poaceae
2023,7/26/23,Avery,4,8,Control,1.11,0.86,Potentilla.pulcherrima,0.25,forb,perennial,Rosaceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Bare.ground,0.45,,,
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Agoseris.sp.,0.03,forb,perennial,Asteraceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Castilleja.septentrionalis,0.04,hemiparasite,perennial,Orobanchaceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Taraxacum.officinale,0.4,forb,perennial,Asteraceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Elymus.lanceolatus,0.005,grass,perennial,Poaceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Poa.pratensis,0.11,grass,perennial,Poaceae
2023,7/26/23,Avery,5,9,Castilleja,1.115,0.665,Potentilla.pulcherrima,0.08,forb,perennial,Rosaceae
2023,7/26/23,Avery,5,10,Control,1.005,0.355,Bare.ground,0.65,,,
2023,7/26/23,Avery,5,10,Control,1.005,0.355,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/26/23,Avery,5,10,Control,1.005,0.355,Elymus.lanceolatus,0.005,grass,perennial,Poaceae
2023,7/26/23,Avery,5,10,Control,1.005,0.355,Poa.pratensis,0.07,grass,perennial,Poaceae
2023,7/26/23,Avery,5,10,Control,1.005,0.355,Achillea.millefolium,0.08,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Bare.ground,0.3,,,
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Castilleja.septentrionalis,0.12,hemiparasite,perennial,Orobanchaceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Taraxacum.officinale,0.4,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Elymus.lanceolatus,0.04,grass,perennial,Poaceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Hesperostipa.comata,0.05,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Poa.pratensis,0.15,grass,perennial,Poaceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Potentilla.pulcherrima,0.03,forb,perennial,Rosaceae
2023,7/26/23,Avery,6,11,Castilleja,1.21,0.91,Thalictrum.fendleri,0.12,forb,perennial,Ranunculaceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Bare.ground,0.3,,,
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Agoseris.sp.,0.03,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Taraxacum.officinale,0.15,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Erigeron.subtrinervis,0.12,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Hesperostipa.comata,0.1,forb,perennial,Asteraceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Poa.pratensis,0.1,grass,perennial,Poaceae
2023,7/26/23,Avery,6,12,Control,1.2,0.9,Potentilla.pulcherrima,0.4,forb,perennial,Rosaceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Bare.ground,0.6,,,
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Agoseris.sp.,0.04,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Castilleja.septentrionalis,0.08,hemiparasite,perennial,Orobanchaceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Hesperostipa.comata,0.03,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Poa.pratensis,0.1,grass,perennial,Poaceae
2023,7/26/23,Avery,7,13,Castilleja,1.21,0.61,Potentilla.pulcherrima,0.01,forb,perennial,Rosaceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Bare.ground,0.45,,,
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Taraxacum.officinale,0.12,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Elymus.lanceolatus,0.04,grass,perennial,Poaceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Hesperostipa.comata,0.05,forb,perennial,Asteraceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Poa.pratensis,0.13,grass,perennial,Poaceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Potentilla.pulcherrima,0.2,forb,perennial,Rosaceae
2023,7/26/23,Avery,7,14,Control,1.09,0.64,Thalictrum.fendleri,0.1,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Bare.ground,0.3,,,
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Agoseris.sp.,0.03,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Castilleja.septentrionalis,0.12,hemiparasite,perennial,Orobanchaceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Elymus.lanceolatus,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Poa.pratensis,0.27,grass,perennial,Poaceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Potentilla.pulcherrima,0.02,forb,perennial,Rosaceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Achillea.millefolium,0.01,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,15,Castilleja,1.03,0.73,Solidago.sp.,0.03,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,16,Control,1.06,0.31,Bare.ground,0.75,,,
2023,7/27/23,Avery,8,16,Control,1.06,0.31,Taraxacum.officinale,0.1,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,16,Control,1.06,0.31,Erigeron.subtrinervis,0.04,forb,perennial,Asteraceae
2023,7/27/23,Avery,8,16,Control,1.06,0.31,Poa.pratensis,0.15,grass,perennial,Poaceae
2023,7/27/23,Avery,8,16,Control,1.06,0.31,Solidago.sp.,0.02,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Bare.ground,0.4,,,
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Castilleja.septentrionalis,0.02,hemiparasite,perennial,Orobanchaceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Taraxacum.officinale,0.25,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Erigeron.subtrinervis,0.2,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Lathyrus.lanszwertii,0.08,legume,perennial,Fabaceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Potentilla.pulcherrima,0.02,forb,perennial,Rosaceae
2023,7/27/23,Avery,9,17,Castilleja,1.025,0.625,Boechera.stricta,0.005,forb,biennial,Brassicaceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Bare.ground,0.15,,,
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Agoseris.sp.,0.15,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Taraxacum.officinale,0.3,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Erigeron.subtrinervis,0.25,forb,perennial,Asteraceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Lathyrus.lanszwertii,0.03,legume,perennial,Fabaceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Poa.pratensis,0.08,grass,perennial,Poaceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Potentilla.pulcherrima,0.01,forb,perennial,Rosaceae
2023,7/27/23,Avery,9,18,Control,1.01,0.86,Achillea.millefolium,0.04,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Bare.ground,0.55,,,
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Castilleja.septentrionalis,0.03,hemiparasite,perennial,Orobanchaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Taraxacum.officinale,0.1,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Elymus.lanceolatus,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Erigeron.subtrinervis,0.05,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Hesperostipa.comata,0.04,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Poa.pratensis,0.08,grass,perennial,Poaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Potentilla.pulcherrima,0.05,forb,perennial,Rosaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Thalictrum.fendleri,0.08,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Ipomopsis.aggregata,0.02,forb,perennial,Polemoniaceae
2023,7/27/23,Avery,10,19,Castilleja,1.2,0.65,Artemisia.dracunculus,0.15,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Bare.ground,0.7,,,
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Taraxacum.officinale,0.15,forb,perennial,Asteraceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Elymus.lanceolatus,0.08,grass,perennial,Poaceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Potentilla.pulcherrima,0.04,forb,perennial,Rosaceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Thalictrum.fendleri,0.15,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,10,20,Control,1.21,0.51,Achillea.millefolium,0.04,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Bare.ground,0.55,,,
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Castilleja.septentrionalis,0.25,hemiparasite,perennial,Orobanchaceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Elymus.lanceolatus,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Erigeron.subtrinervis,0.1,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Poa.pratensis,0.1,grass,perennial,Poaceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Thalictrum.fendleri,0.08,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,11,21,Castilleja,1.43,0.88,Achillea.millefolium,0.1,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Bare.ground,0.35,,,
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Taraxacum.officinale,0.35,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Elymus.lanceolatus,0.04,grass,perennial,Poaceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Erigeron.subtrinervis,0.08,forb,perennial,Asteraceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Potentilla.pulcherrima,0.01,forb,perennial,Rosaceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Thalictrum.fendleri,0.12,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,11,22,Control,1.08,0.73,Ipomopsis.aggregata,0.08,forb,perennial,Polemoniaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Bare.ground,0.35,,,
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Castilleja.septentrionalis,0.05,hemiparasite,perennial,Orobanchaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Taraxacum.officinale,0.35,forb,perennial,Asteraceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Erigeron.subtrinervis,0.1,forb,perennial,Asteraceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Potentilla.pulcherrima,0.08,forb,perennial,Rosaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Thalictrum.fendleri,0.15,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Ipomopsis.aggregata,0.02,forb,perennial,Polemoniaceae
2023,7/27/23,Avery,12,23,Castilleja,1.16,0.81,Boechera.stricta,0.01,forb,biennial,Brassicaceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Bare.ground,0.2,,,
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Taraxacum.officinale,0.5,forb,perennial,Asteraceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Elymus.lanceolatus,0.03,grass,perennial,Poaceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Poa.pratensis,0.08,grass,perennial,Poaceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Potentilla.pulcherrima,0.04,forb,perennial,Rosaceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Thalictrum.fendleri,0.15,forb,perennial,Ranunculaceae
2023,7/27/23,Avery,12,24,Control,1.16,0.96,Ipomopsis.aggregata,0.01,forb,perennial,Polemoniaceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Bare.ground,0.45,,,
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Castilleja.septentrionalis,0.04,hemiparasite,perennial,Orobanchaceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Taraxacum.officinale,0.2,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Lathyrus.lanszwertii,0.01,legume,perennial,Fabaceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Potentilla.pulcherrima,0.12,forb,perennial,Rosaceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Achillea.millefolium,0.01,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,25,Castilleja,1.035,0.585,Boechera.stricta,0.005,forb,biennial,Brassicaceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Bare.ground,0.6,,,
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Taraxacum.officinale,0.12,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Erigeron.subtrinervis,0.08,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Hesperostipa.comata,0.02,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Poa.pratensis,0.08,grass,perennial,Poaceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Potentilla.pulcherrima,0.2,forb,perennial,Rosaceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Thalictrum.fendleri,0.08,forb,perennial,Ranunculaceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Achillea.millefolium,0.005,forb,perennial,Asteraceae
2023,7/28/23,Avery,13,26,Control,1.19,0.59,Boechera.stricta,0.005,forb,biennial,Brassicaceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Bare.ground,0.15,,,
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Castilleja.septentrionalis,0.04,hemiparasite,perennial,Orobanchaceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Taraxacum.officinale,0.35,forb,perennial,Asteraceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Erigeron.subtrinervis,0.08,forb,perennial,Asteraceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Hesperostipa.comata,0.04,forb,perennial,Asteraceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Poa.pratensis,0.15,grass,perennial,Poaceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Potentilla.pulcherrima,0.08,forb,perennial,Rosaceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Thalictrum.fendleri,0.08,forb,perennial,Ranunculaceae
2023,7/28/23,Avery,14,27,Castilleja,1.02,0.87,Ipomopsis.aggregata,0.05,forb,perennial,Polemoniaceae
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Bare.ground,0.65,,,
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Agoseris.sp.,0.03,forb,perennial,Asteraceae
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Taraxacum.officinale,0.15,forb,perennial,Asteraceae
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Poa.pratensis,0.2,grass,perennial,Poaceae
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Thalictrum.fendleri,0.1,forb,perennial,Ranunculaceae
2023,7/28/23,Avery,14,28,Control,1.135,0.485,Boechera.stricta,0.005,forb,biennial,Brassicaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Bare.ground,0.5,,,
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Agoseris.sp.,0.02,forb,perennial,Asteraceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Castilleja.septentrionalis,0.12,hemiparasite,perennial,Orobanchaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Taraxacum.officinale,0.15,forb,perennial,Asteraceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Elymus.lanceolatus,0.02,grass,perennial,Poaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Erigeron.subtrinervis,0.15,forb,perennial,Asteraceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Lathyrus.lanszwertii,0.04,legume,perennial,Fabaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Potentilla.pulcherrima,0.08,forb,perennial,Rosaceae
2023,7/28/23,Avery,15,29,Castilleja,1.18,0.68,Achillea.millefolium,0.05,forb,perennial,Asteraceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Bare.ground,0.55,,,
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Taraxacum.officinale,0.08,forb,perennial,Asteraceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Elymus.lanceolatus,0.15,grass,perennial,Poaceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Lathyrus.lanszwertii,0.005,legume,perennial,Fabaceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Poa.pratensis,0.2,grass,perennial,Poaceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Thalictrum.fendleri,0.01,forb,perennial,Ranunculaceae
2023,7/28/23,Avery,15,30,Control,1.055,0.505,Achillea.millefolium,0.06,forb,perennial,Asteraceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Bare.ground,0.15,,,
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Castilleja.septentrionalis,0.08,hemiparasite,perennial,Orobanchaceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Taraxacum.officinale,0.4,forb,perennial,Asteraceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Elymus.lanceolatus,0.1,grass,perennial,Poaceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Hesperostipa.comata,0.05,forb,perennial,Asteraceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Poa.pratensis,0.05,grass,perennial,Poaceae
2023,7/28/23,Avery,16,31,Castilleja,1.02,0.87,Potentilla.pulcherrima,0.1,forb,perennial,Rosaceae
