year,date,site,fieldplot,Block,Near,removal_species,code,cover,count,removed,held
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,AGGL,1,1,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,bare,70,,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,litter,0,,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,rock,1,,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,HEMA,5,1,y,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,HYHO,10,6,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,DEBA,2,4,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,RUSA,2,3,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,MOUN,4,10,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,BAVU,0.5,2,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,MECI,1,3,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,ELGL,5,7,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,FEEA,0.3,3,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,ANSE,1,1,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,GABI,2,20,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,SECR,1,3,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,LUAR,1,1,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,CHAN,1,1,,
2024,8/8/24,Emerald Lake,R4,4,"19,20",HEMA,SETR,1,2,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,bare,65,,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,litter,1,,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,rock,3,,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,SECR,20,9,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,LIPO,15,3,y,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,TRSP,0.1,1,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,ELGL,10,15,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,LUAR,4,2,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,HEQU,4,2,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,ANSE,0.1,1,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,BOST,0.2,1,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,VINU,0.1,1,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,MESP,7,4,,
2024,8/8/24,Emerald Lake,R5,1,"14,15",LIPO,AGGL,1,1,,
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,bare,40,,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,litter,2,,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,rock,5,,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,CASE,0.5,1,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,SECR,30,17,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,ELGL,7,8,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,MESP,10,7,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,LIPO,2,1,y,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,ERSP,1,1,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,VAOC,1.5,9,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,ERGR,0.2,2,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,LUAR,15,4,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,HEQU,2,3,,No
2025,8/3/25,Emerald Lake,R5,1,"14,15",LIPO,RIMO,2,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,bare,70,,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,litter,1,,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,rock,1,,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,HEMA,4,1,y,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,RUSA,1,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,SECR,4,7,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,ELGL,5,14,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,DRSP,5,20,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,CHAN,1,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,HYCA,1,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,LUAR,8,5,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,DESO,0.5,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,PEBR,2,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,MESP,0.1,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,DRSP,1,1,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,HYHO,10,3,,No
2025,8/3/25,Emerald Lake,R4,4,"19,20",HEMA,MECI,1,1,,No
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,bare,60,,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,litter,0,,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,rock,3,,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,LIPO,7,2,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,LUAR,0,,y,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,VAOC,10,15,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,HYHO,8,3,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,ELGL,0.5,3,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,AGGL,1,1,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,POGR,6,5,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,SECR,2,4,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,MESP,10,7,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,BRPU,2,4,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,THFE,1,1,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,HEQU,20,8,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,FRVI,1,2,,Yes
2025,8/4/25,Emerald Lake,R1,1,"13,1,12",LUAR,BAVU,5,3,,Yes
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,bare,70,,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,litter,5,,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,rock,3,,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,HYHO,10,4,y,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,HEMA,5,3,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,LUAR,10,2,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,CHAN,15,12,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,LIPO,1,3,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,ELGL,8,10,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,VAOC,3,10,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,MECI,0.5,3,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,ANSE,0.1,1,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,HYCA,0.5,2,,No
2025,8/4/25,Emerald Lake,R2,4,"8,9",HYHO,GERI,1,1,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,bare,50,,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,litter,2,,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,rock,1,,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,CHAN,30,15,y,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,HEMA,4,1,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,EREL,0.5,1,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,LUAR,8,5,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,AGGL,1,1,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,MESP,4,2,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,BRPU,2,3,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,HYHO,15,7,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,VAOC,5,15,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,RHIN,2,6,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,SECR,8,6,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,MECI,3.5,1,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,POGR,2,2,,No
2025,8/4/25,Emerald Lake,R3,5,"9,10",CHAN,ELGL,5,6,,No
