Year,site,field_plot,pair,plot,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall
2025,Emerald Lake ,6A,6,11,3,Community,R,yes,3218.01,4.27,Treeline,3.38,1.00,19.74,90,226
2025,Emerald Lake ,6B,6,12,3,Community,C,yes,3214.81,5.16,Treeline,2.90,1.00,19.74,90,226
2025,Emerald Lake ,7A,7,13,4,Castilleja,C,yes,3210.22,3.3,Treeline,2.94,1.00,19.74,90,226
2025,Emerald Lake ,7B,7,14,4,Castilleja,R,yes,3210.28,4.7,Treeline,3.19,1.00,19.74,90,226
2025,Emerald Lake ,8A,8,15,4,Control,C,yes,3207.14,4.18,Treeline,3.04,1.00,19.74,90,226
2025,Emerald Lake ,8B,8,16,4,Control,R,yes,3209.16,4.61,Treeline,3.33,1.00,19.74,90,226
2025,Emerald Lake ,9A,9,17,5,Mixed,C,yes,3208.28,3.12,Treeline,3.99,1.00,19.74,90,226
2025,Emerald Lake ,9B,9,18,5,Mixed,R,no,3207.11,4.35,Treeline,3.36,1.00,19.74,90,226
2025,Emerald Lake ,10A,10,19,5,Control,C,yes,3207.27,2.22,Treeline,3.09,1.00,19.74,90,226
2025,Emerald Lake ,10B,10,20,5,Control,R,yes,3207.81,2.57,Treeline,2.66,1.00,19.74,90,226
2025,Emerald Lake ,11A,11,21,3,Castilleja,C,yes,3211.66,9.25,Creek,3.30,1.00,19.74,90,226
2025,Emerald Lake ,11B,11,22,3,Castilleja,R,no,3211.10,5.93,Creek,3.40,1.00,19.74,90,226
2025,Emerald Lake ,12A,12,23,3,Control,C,yes,3215.35,6.92,Treeline,3.28,1.00,19.74,90,226
2025,Emerald Lake ,12B,12,24,3,Control,R,no,3211.64,9.6,Creek,3.11,1.00,19.74,90,226
2025,Emerald Lake ,13A,13,25,1,Control,R,no,3217.02,4.62,Treeline,2.23,1.00,19.74,90,226
2025,Emerald Lake ,13B,13,26,1,Control,C,yes,3216.15,4.11,Trail,2.33,1.00,19.74,90,226
2025,Emerald Lake ,14A,14,27,1,Community,C,yes,3216.20,4.33,Treeline,3.00,1.00,19.74,90,226
2025,Emerald Lake ,14B,14,28,1,Community,R,yes,3216.00,7.29,Trail,3.21,1.00,19.74,90,226
2025,Emerald Lake ,15A,15,29,1,Castilleja,C,yes,3216.51,5.93,Treeline,3.75,1.00,19.74,90,226
2025,Emerald Lake ,15B,15,30,1,Castilleja,R,yes,3218.55,6.88,Trail,4.11,1.00,19.74,90,226
2025,Emerald Lake ,16A,16,31,2,Control,C,yes,3216.43,2.95,Treeline,3.35,1.00,19.74,90,226
2025,Emerald Lake ,16B,16,32,2,Control,R,yes,3215.72,5.1,Treeline,4.70,1.00,19.74,90,226
2025,Emerald Lake ,17A,17,33,4,Community,R,yes,3210.96,5.61,Trail,5.14,1.00,19.74,90,226
2025,Emerald Lake ,17B,17,34,4,Community,C,yes,3214.84,2.77,Trail,5.09,1.00,19.74,90,226
2025,Emerald Lake ,18A,18,35,5,Community,C,yes,3208.33,3.55,Trail,5.15,1.00,19.74,90,226
2025,Emerald Lake ,18B,18,36,5,Community,R,yes,3208.76,4,Treeline,4.89,1.00,19.74,90,226
2025,Emerald Lake ,19A,19,37,5,Castilleja,C,yes,3208.84,4.3,Treeline,3.61,1.00,19.74,90,226
2025,Emerald Lake ,19B,19,38,5,Castilleja,R,no,3208.21,3.7,Treeline,3.65,1.00,19.74,90,226
2025,Emerald Lake ,20A,20,39,4,Mixed,C,yes,3210.32,1.9,Trail,4.84,1.00,19.74,90,226
2025,Emerald Lake ,20B,20,40,4,Mixed,R,yes,3213.27,3.37,Treeline,4.21,1.00,19.74,90,226
