"year","date","site","species","elevation","pair","plot","castilleja"
2024,"10-Jul","Avery","C. septentrionalis","2,939",24,48,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",25,49,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",25,50,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",26,51,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",26,52,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",27,53,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",27,54,"Absent"
2024,"10-Jul","Avery","C. septentrionalis","2,939",28,55,"Present"
2024,"10-Jul","Avery","C. septentrionalis","2,939",28,56,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",29,57,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",29,58,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",30,59,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",30,60,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",31,61,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",31,62,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",32,63,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",32,64,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",33,65,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",33,66,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",34,67,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",34,68,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",35,69,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",35,70,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",36,71,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",36,72,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",37,73,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",37,74,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",38,75,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",38,76,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",39,77,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",39,78,"Absent"
2024,"7/11/24","Avery","C. septentrionalis","2,939",40,79,"Present"
2024,"7/11/24","Avery","C. septentrionalis","2,939",40,80,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",41,81,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",41,82,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",42,83,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",42,84,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",43,85,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",43,86,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",44,87,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",44,88,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",45,89,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",45,90,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",46,91,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",46,92,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",47,93,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",47,94,"Absent"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",48,95,"Present"
2024,"18-Jul","Copper Creek","C. septentrionalis","3090",48,96,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",49,97,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",49,98,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",50,99,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",50,100,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",51,101,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",51,102,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",52,103,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",52,104,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",53,105,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",53,106,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",54,107,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",54,108,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",55,109,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",55,110,"Absent"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",56,111,"Present"
2024,"22-Jul","Copper Creek","C. septentrionalis","3090",56,112,"Absent"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",57,113,"Present"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",57,114,"Absent"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",58,115,"Present"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",58,116,"Absent"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",59,117,"Present"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",59,118,"Absent"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",60,119,"Present"
2024,"7/23/24","Copper Creek","C. septentrionalis","3090",60,120,"Absent"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",61,121,"Present"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",61,122,"Absent"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",62,123,"Present"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",62,124,"Absent"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",63,125,"Present"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",63,126,"Absent"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",64,127,"Present"
2023,"7/31/23","Emerald Lake","C. septentrionalis","3,191",64,128,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",65,129,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",65,130,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",66,131,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",66,132,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",67,133,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",67,134,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",68,135,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",68,136,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",69,137,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",69,138,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",70,139,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",70,140,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",71,141,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",71,142,"Absent"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",72,143,"Present"
2023,"8/1/23","Emerald Lake","C. septentrionalis","3,191",72,144,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",73,145,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",73,146,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",74,147,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",74,148,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",75,149,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",75,150,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",76,151,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",76,152,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",77,153,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",77,154,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",78,155,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",78,156,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",79,157,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",79,158,"Absent"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",80,159,"Present"
2023,"8/3/23","Emerald Lake","C. septentrionalis","3,191",80,160,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",81,161,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",81,162,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",82,163,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",82,164,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",83,165,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",83,166,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",84,167,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",84,168,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",85,169,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",85,170,"Absent"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",86,171,"Present"
2024,"7/25/24","Emerald Lake","C. septentrionalis","3,191",86,172,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",87,173,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",87,174,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",88,175,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",88,176,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",89,177,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",89,178,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",90,179,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",90,180,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",91,181,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",91,182,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",92,183,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",92,184,"Absent"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",93,185,"Present"
2024,"7/26/24","Emerald Lake","C. septentrionalis","3,191",93,186,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",94,187,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",94,188,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",95,189,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",95,190,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",96,191,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",96,192,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",97,193,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",97,194,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",98,195,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",98,196,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",99,197,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",99,198,"Absent"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",100,199,"Present"
2024,"7/27/24","Emerald Lake","C. septentrionalis","3,191",100,200,"Absent"
2023,"7/7/23","Deer Creek 1","C. linariifolia","3,016",101,201,"Present"
2023,"7/7/23","Deer Creek 1","C. linariifolia","3,016",101,202,"Absent"
2023,"7/7/23","Deer Creek 1","C. linariifolia","3,016",102,203,"Present"
2023,"7/7/23","Deer Creek 1","C. linariifolia","3,016",102,204,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",103,205,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",103,206,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",104,207,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",104,208,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",105,209,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",105,210,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",106,211,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",106,212,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",107,213,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",107,214,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",108,215,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",108,216,"Absent"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",109,217,"Present"
2023,"7/11/23","Deer Creek 1","C. linariifolia","3,016",109,218,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",110,219,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",110,220,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",111,221,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",111,222,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",112,223,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",112,224,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",113,225,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",113,226,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",114,227,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",114,228,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",115,229,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",115,230,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",116,231,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",116,232,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",117,233,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",117,234,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",118,235,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",118,236,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",119,237,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",119,238,"Absent"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",120,239,"Present"
2023,"7/13/23","Deer Creek 1","C. linariifolia","3,016",120,240,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",121,241,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",121,242,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",122,243,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",122,244,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",123,245,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",123,246,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",124,247,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",124,248,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",125,249,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",125,250,"Absent"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",126,251,"Present"
2023,"7/14/23","Deer Creek 2","C. linariifolia","3,016",126,252,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",127,253,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",127,254,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",128,255,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",128,256,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",129,257,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",129,258,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",130,259,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",130,260,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",131,261,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",131,262,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",132,263,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",132,264,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",133,265,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",133,266,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",134,267,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",134,268,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",135,269,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",135,270,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",136,271,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",136,272,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",137,273,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",137,274,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",138,275,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",138,276,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",139,277,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",139,278,"Absent"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",140,279,"Present"
2023,"7/18/23","Deer Creek 2","C. linariifolia","3,016",140,280,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",141,281,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",141,282,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",142,283,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",142,284,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",143,285,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",143,286,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",144,287,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",144,288,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",145,289,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",145,290,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",146,291,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",146,292,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",147,293,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",147,294,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",148,295,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",148,296,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",149,297,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",149,298,"Absent"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",150,299,"Present"
2024,"7/5/24","Deer Creek 1","C. linariifolia","3,016",150,300,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",151,301,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",151,302,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",152,303,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",152,304,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",153,305,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",153,306,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",154,307,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",154,308,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",155,309,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",155,310,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",156,311,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",156,312,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",157,313,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",157,314,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",158,315,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",158,316,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",159,317,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",159,318,"Absent"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",160,319,"Present"
2024,"7/8/24","Deer Creek 1","C. linariifolia","3,016",160,320,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",161,321,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",161,322,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",162,323,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",162,324,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",163,325,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",163,326,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",164,327,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",164,328,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",165,329,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",165,330,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",166,331,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",166,332,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",167,333,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",167,334,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",168,335,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",168,336,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",169,337,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",169,338,"Absent"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",170,339,"Present"
2024,"7/9/23","Deer Creek 2","C. linariifolia","3,016",170,340,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",171,341,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",171,342,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",172,343,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",172,344,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",173,345,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",173,346,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",174,347,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",174,348,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",175,349,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",175,350,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",176,351,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",176,352,"Absent"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",177,353,"Present"
2024,"7/12/24","Deer Creek 2","C. linariifolia","3,016",177,354,"Absent"
