"year","site","field_plot","pair","plot","block","litter","removal","elevation","disturbance_distance","disturbance_type","div","rich","even"
"2024","Emerald Lake ","7A",7,13,4,"Castilleja","Control",3210.215198,3.3,"Treeline",2.2110912658034,14,0.837833737445087
"2024","Emerald Lake ","7B",7,14,4,"Castilleja","Removal",3210.283085,4.7,"Treeline",2.14839261460904,14,0.814075765046849
"2024","Emerald Lake ","8A",8,15,4,"Control","Control",3207.142886,4.18,"Treeline",2.10013729540019,14,0.795790705958769
"2024","Emerald Lake ","8B",8,16,4,"Control","Removal",3209.155604,4.61,"Treeline",1.78384809944206,10,0.774715386141291
"2024","Emerald Lake ","9A",9,17,5,"Mixed","Control",3208.278304,3.12,"Treeline",2.07574734647707,15,0.766509921282928
"2024","Emerald Lake ","9B",9,18,5,"Mixed","Removal",3207.1131,4.35,"Treeline",2.13356031612906,14,0.80845546331504
"2024","Emerald Lake ","10A",10,19,5,"Control","Control",3207.270977,2.22,"Treeline",2.22763363040835,13,0.868490297450932
"2024","Emerald Lake ","10B",10,20,5,"Control","Removal",3207.806218,2.57,"Treeline",2.38358048011936,12,0.95922334962672
"2024","Emerald Lake ","11A",11,21,3,"Castilleja","Control",3211.664924,9.25,"Creek",2.16279531863479,16,0.78006352016307
"2024","Emerald Lake ","11B",11,22,3,"Castilleja","Removal",3211.096031,5.93,"Creek",2.19492650514497,17,0.774712751423995
"2024","Emerald Lake ","12A",12,23,3,"Control","Control",3215.348404,6.92,"Treeline",2.35441256391642,16,0.849174832542221
"2024","Emerald Lake ","12B",12,24,3,"Control","Removal",3211.643745,9.6,"Creek",1.93521553715015,10,0.840453429077749
"2024","Emerald Lake ","13A",13,25,1,"Control","Removal",3217.015556,4.62,"Treeline",1.97576949860178,14,0.748664864696148
"2024","Emerald Lake ","13B",13,26,1,"Control","Control",3216.145001,4.11,"Trail",2.11652581106499,13,0.825172553566381
"2024","Emerald Lake ","14A",14,27,1,"Community","Control",3216.19598,4.33,"Treeline",1.66427126250596,10,0.722783825696495
"2024","Emerald Lake ","14B",14,28,1,"Community","Removal",3216.001015,7.29,"Trail",1.96676879114943,14,0.74525428799084
"2024","Emerald Lake ","15A",15,29,1,"Castilleja","Control",3216.514942,5.93,"Treeline",2.01550064854362,14,0.763719918444309
"2024","Emerald Lake ","15B",15,30,1,"Castilleja","Removal",3218.547977,6.88,"Trail",1.75493755353046,11,0.731865804749026
"2024","Emerald Lake ","16A",16,31,2,"Control","Control",3216.43204,2.95,"Treeline",1.53647067493516,11,0.640758039921434
"2024","Emerald Lake ","16B",16,32,2,"Control","Removal",3215.721708,5.1,"Treeline",1.86976492516454,10,0.812028589455207
"2024","Emerald Lake ","17A",17,33,4,"Community","Removal",3210.958403,5.61,"Trail",2.29598732125072,13,0.895139436017169
"2024","Emerald Lake ","17B",17,34,4,"Community","Control",3214.838866,2.77,"Trail",1.88242152596464,10,0.817525281342341
"2024","Emerald Lake ","18A",18,35,5,"Community","Control",3208.328564,3.55,"Trail",1.50616599452534,12,0.606125785310218
"2024","Emerald Lake ","18B",18,36,5,"Community","Removal",3208.763818,4,"Treeline",1.42207628654158,10,0.617599884090475
"2024","Emerald Lake ","19A",19,37,5,"Castilleja","Control",3208.841651,4.3,"Treeline",1.64237533060109,11,0.684923711736761
"2024","Emerald Lake ","19B",19,38,5,"Castilleja","Removal",3208.213374,3.7,"Treeline",2.02630365149376,13,0.789997527865087
"2024","Emerald Lake ","20A",20,39,4,"Mixed","Control",3210.320734,1.9,"Trail",2.0885497196174,14,0.79139990487508
"2024","Emerald Lake ","20B",20,40,4,"Mixed","Removal",3213.273701,3.37,"Treeline",1.6858023550625,10,0.732134660383151
"2025","Emerald Lake ","1A",1,1,1,"Mixed","Removal",3214.529385,3.81,"Treeline",1.92525910719718,15,0.710939223509807
"2025","Emerald Lake ","1B",1,2,1,"Mixed","Control",3214.303061,5,"Treeline",2.09570521691864,16,0.755865880903411
"2025","Emerald Lake ","2A",2,3,2,"Castilleja","Control",3214.132079,2.95,"Trail",2.43445831400634,19,0.826798697895083
"2025","Emerald Lake ","2B",2,4,2,"Castilleja","Removal",3214.686752,4.62,"Treeline",2.26447443380274,14,0.858061857312087
"2025","Emerald Lake ","3A",3,5,2,"Community","Removal",3213.215425,5.78,"Treeline",2.35849006991791,19,0.800998114277644
"2025","Emerald Lake ","3B",3,6,2,"Community","Control",3213.489248,7,"Creek",2.61383054952722,25,0.812032116720204
"2025","Emerald Lake ","4A",4,7,2,"Mixed","Removal",3212.745864,6.12,"Treeline",1.99004648963419,14,0.754074747563106
"2025","Emerald Lake ","4B",4,8,2,"Mixed","Control",3212.821664,6.8,"Creek",2.39908912384409,22,0.776142405044473
"2025","Emerald Lake ","5A",5,9,3,"Mixed","Control",3214.160476,3.46,"Treeline",2.39061944045206,17,0.843783771337704
"2025","Emerald Lake ","5B",5,10,3,"Mixed","Removal",3214.758873,5.78,"Trail",2.07723060501723,11,0.86627244674997
"2025","Emerald Lake ","6A",6,11,3,"Community","Removal",3218.005592,4.27,"Treeline",2.08845769330134,14,0.791365033970598
"2025","Emerald Lake ","6B",6,12,3,"Community","Control",3214.805304,5.16,"Treeline",2.51510769467841,21,0.826109101222164
"2025","Emerald Lake ","7A",7,13,4,"Castilleja","Control",3210.215198,3.3,"Treeline",2.17177738334711,12,0.873987513185816
"2025","Emerald Lake ","7B",7,14,4,"Castilleja","Removal",3210.283085,4.7,"Treeline",1.82055714208993,13,0.709782880037711
"2025","Emerald Lake ","8A",8,15,4,"Control","Control",3207.142886,4.18,"Treeline",2.10571739379633,15,0.777576941867355
"2025","Emerald Lake ","8B",8,16,4,"Control","Removal",3209.155604,4.61,"Treeline",1.85770628037553,12,0.747596003469193
"2025","Emerald Lake ","9A",9,17,5,"Mixed","Control",3208.278304,3.12,"Treeline",2.20017341175825,16,0.793544817559846
"2025","Emerald Lake ","9B",9,18,5,"Mixed","Removal",3207.1131,4.35,"Treeline",1.90741521111451,13,0.743646343568449
"2025","Emerald Lake ","10A",10,19,5,"Control","Control",3207.270977,2.22,"Treeline",2.00522486024778,15,0.740468127005781
"2025","Emerald Lake ","10B",10,20,5,"Control","Removal",3207.806218,2.57,"Treeline",2.36457114280684,13,0.921878295931347
"2025","Emerald Lake ","11A",11,21,3,"Castilleja","Control",3211.664924,9.25,"Creek",2.28671524809979,16,0.824758187089685
"2025","Emerald Lake ","11B",11,22,3,"Castilleja","Removal",3211.096031,5.93,"Creek",2.25047128778908,20,0.751225771293384
"2025","Emerald Lake ","12A",12,23,3,"Control","Control",3215.348404,6.92,"Treeline",2.21853991213003,17,0.783047248024685
"2025","Emerald Lake ","12B",12,24,3,"Control","Removal",3211.643745,9.6,"Creek",2.34244312015583,16,0.844857768253321
"2025","Emerald Lake ","13A",13,25,1,"Control","Removal",3217.015556,4.62,"Treeline",2.14526198768585,12,0.863316932999826
"2025","Emerald Lake ","13B",13,26,1,"Control","Control",3216.145001,4.11,"Trail",2.51174909304712,18,0.869005547879891
"2025","Emerald Lake ","14A",14,27,1,"Community","Control",3216.19598,4.33,"Treeline",1.65857468264351,8,0.797605823197925
"2025","Emerald Lake ","14B",14,28,1,"Community","Removal",3216.001015,7.29,"Trail",1.75710231488557,13,0.685043667538343
"2025","Emerald Lake ","15A",15,29,1,"Castilleja","Control",3216.514942,5.93,"Treeline",1.93409626826007,13,0.754048520542409
"2025","Emerald Lake ","15B",15,30,1,"Castilleja","Removal",3218.547977,6.88,"Trail",1.49742004919214,8,0.720106826365737
"2025","Emerald Lake ","16A",16,31,2,"Control","Control",3216.43204,2.95,"Treeline",1.79151034840367,13,0.698458370412693
"2025","Emerald Lake ","16B",16,32,2,"Control","Removal",3215.721708,5.1,"Treeline",2.00843569417464,12,0.808253981833075
"2025","Emerald Lake ","17A",17,33,4,"Community","Removal",3210.958403,5.61,"Trail",2.22911174291645,13,0.869066571015088
"2025","Emerald Lake ","17B",17,34,4,"Community","Control",3214.838866,2.77,"Trail",2.17341344019535,16,0.783893197992813
"2025","Emerald Lake ","18A",18,35,5,"Community","Control",3208.328564,3.55,"Trail",2.05217803167018,16,0.740166767327962
"2025","Emerald Lake ","18B",18,36,5,"Community","Removal",3208.763818,4,"Treeline",1.8505484887495,13,0.721475643706643
"2025","Emerald Lake ","19A",19,37,5,"Castilleja","Control",3208.841651,4.3,"Treeline",2.0807409428915,14,0.788440978352994
"2025","Emerald Lake ","19B",19,38,5,"Castilleja","Removal",3208.213374,3.7,"Treeline",2.07110580343821,14,0.784790000655328
"2025","Emerald Lake ","20A",20,39,4,"Mixed","Control",3210.320734,1.9,"Trail",2.37457840421309,20,0.792653744520369
"2025","Emerald Lake ","20B",20,40,4,"Mixed","Removal",3213.273701,3.37,"Treeline",1.82324250909271,12,0.733726761626341
