"code","removal","freq","mean_rel_cover_site","se_percent_cover_site","prop_dom_site","prop_rare_site","prop_int_site","dominance","occurance"
"ERCO","Removal",0.4,0.0175769989778548,0.00413717204713659,0.166666666666667,0.677777777777778,0.155555555555556,"subordinate","intermediate"
"EREL","Control",0.383333333333333,0.020223172869993,0.00525910313276967,0.192307692307692,0.423076923076923,0.384615384615385,"intermediate","intermediate"
"EREL","Removal",0.316666666666667,0.0167833798036793,0.00440122221601642,0.125,0.625,0.25,"subordinate","rare"
"ERGR","Control",0.183333333333333,0.00576045001345177,0.00212854537550445,0,0.75,0.25,"subordinate","rare"
"ERGR","Removal",0.2,0.0067615059099706,0.00190816231267874,0.111111111111111,0.833333333333333,0.0555555555555556,"subordinate","rare"
"ERSP","Control",0.15,0.0369379267582631,0.0264307686972432,0.375,0.625,0,"subordinate","rare"
"ERSP","Removal",0.1,0.0209397735134211,0.0100538781686378,0.2,0.6,0.2,"subordinate","rare"
"FEEA","Control",0.0166666666666667,0.00707714083510262,NA,0,1,0,"subordinate","rare"
"FRVI","Control",0.366666666666667,0.0151855604392303,0.00422146965326165,0.0606060606060606,0.696969696969697,0.242424242424242,"subordinate","intermediate"
"FRVI","Removal",0.533333333333333,0.0307557027601117,0.00793332700982291,0.192307692307692,0.538461538461538,0.269230769230769,"subordinate","intermediate"
"GABI","Control",0.0666666666666667,0.00684748058403655,0.00424696294881872,0,1,0,"subordinate","rare"
"GABI","Removal",0.1,0.00879680552717997,0.00348295431033213,0,0.75,0.25,"subordinate","rare"
"GEPA","Control",0.0666666666666667,0.0104433839373598,0.00549337898735489,0,0.75,0.25,"subordinate","rare"
"GERI","Control",0.483333333333333,0.0197499579435722,0.00806880142965613,0.185185185185185,0.62962962962963,0.185185185185185,"subordinate","intermediate"
"GERI","Removal",0.483333333333333,0.0187027041807189,0.0044304722883695,0.231481481481482,0.638888888888889,0.12962962962963,"subordinate","intermediate"
"HEMA","Control",0.55,0.0848975974728787,0.0240105910319629,0.564102564102564,0.128205128205128,0.307692307692308,"dominant","intermediate"
"HEMA","Removal",0.5,0.130365534942158,0.0282705038022778,0.717948717948718,0.0769230769230769,0.205128205128205,"dominant","intermediate"
"HEMU","Control",0.0333333333333333,0.00418899346445369,0.000698592068293132,0,0.5,0.5,"intermediate","rare"
"HEMU","Removal",0.0333333333333333,0.00573619278219763,0.00233483223797994,0,0.5,0.5,"intermediate","rare"
"HEQU","Control",0.683333333333333,0.118831343387717,0.019079442501906,0.764705882352941,0.117647058823529,0.117647058823529,"dominant","common"
"HEQU","Removal",0.6,0.163034059278272,0.0382739144276226,0.678571428571429,0.0714285714285714,0.25,"dominant","intermediate"
"HYCA","Control",0.116666666666667,0.00678805939716393,0.00418881607895981,0,1,0,"subordinate","rare"
"HYCA","Removal",0.0166666666666667,0.00055005500550055,NA,0,1,0,"subordinate","rare"
"HYHO","Control",0.766666666666667,0.080155050216702,0.0160822710917376,0.549019607843137,0.245098039215686,0.205882352941176,"dominant","common"
"HYHO","Removal",0.716666666666667,0.0722075077862648,0.0151049413402226,0.490196078431373,0.166666666666667,0.343137254901961,"intermediate","common"
"LIPO","Control",0.666666666666667,0.129051491522044,0.0209955094732873,0.833333333333333,0.0888888888888889,0.0777777777777778,"dominant","common"
"LIPO","Removal",0.6,0.0964145188682401,0.0212399420395783,0.595238095238095,0.0833333333333333,0.321428571428571,"dominant","intermediate"
"LUAR","Control",0.666666666666667,0.134572268922344,0.0311364037534356,0.611111111111111,0.188888888888889,0.2,"dominant","common"
"LUAR","Removal",0.566666666666667,0.112007719420874,0.0215089998453966,0.641025641025641,0.153846153846154,0.205128205128205,"dominant","intermediate"
"MECI","Control",0.45,0.0254282083355528,0.0072045378402863,0.115384615384615,0.538461538461538,0.346153846153846,"subordinate","intermediate"
"MECI","Removal",0.55,0.0285078270340397,0.00709612212752157,0.102564102564103,0.628205128205128,0.269230769230769,"subordinate","intermediate"
"MESP","Control",0.75,0.0427525922613652,0.0054634897839303,0.412280701754386,0.228070175438596,0.359649122807018,"intermediate","common"
"MESP","Removal",0.8,0.0868620445578028,0.0134042415060741,0.648148148148148,0.185185185185185,0.166666666666667,"dominant","common"
"MOUN","Control",0.05,0.00504097302877791,0.00232005477469561,0,0.333333333333333,0.666666666666667,"intermediate","rare"
"MOUN","Removal",0.0166666666666667,0.00925925925925926,NA,0,0,1,"intermediate","rare"
"NOFE","Control",0.0333333333333333,0.000865719097763297,0.000558782326738128,0,1,0,"subordinate","rare"
"NOFE","Removal",0.05,0.00193207217188675,0.00127893548902814,0,1,0,"subordinate","rare"
"PHAL","Control",0.0666666666666667,0.00788781766119506,0.00503543515287641,0.166666666666667,0.833333333333333,0,"subordinate","rare"
"PHAL","Removal",0.0333333333333333,0.0095784223254923,0.00891441170132231,0.5,0.5,0,"intermediate","rare"
"PHPR","Control",0.0166666666666667,0.000712250712250712,NA,0,1,0,"subordinate","rare"
"PLTW","Control",0.0166666666666667,0.00148148148148148,NA,0,1,0,"subordinate","rare"
"POGR","Control",0.766666666666667,0.0507737147918707,0.00985981998088756,0.3125,0.34375,0.34375,"intermediate","common"
"POGR","Removal",0.683333333333333,0.070081845978483,0.0164048540123429,0.388888888888889,0.311111111111111,0.3,"intermediate","common"
"POPR","Control",0.116666666666667,0.0378735631903824,0.0153929350860755,0.416666666666667,0.25,0.333333333333333,"intermediate","rare"
"POPR","Removal",0.1,0.0499730372105107,0.00481773709262097,0.75,0.25,0,"dominant","rare"
"POST","Control",0.0666666666666667,0.0102001089241909,0.00368043823930816,0.25,0.5,0.25,"intermediate","rare"
"POST","Removal",0.0333333333333333,0.00651269246774865,0.000894714939658759,0,1,0,"subordinate","rare"
"RAIN","Control",0.0333333333333333,0.00322668217956176,0.000263719216598798,0,1,0,"subordinate","rare"
"RAIN","Removal",0.0166666666666667,0.0003000300030003,NA,0,1,0,"subordinate","rare"
"RHIN","Control",0.1,0.0349182957072448,0.0155229030153495,0.166666666666667,0.333333333333333,0.5,"intermediate","rare"
"RHIN","Removal",0.05,0.076595684470721,NA,0.666666666666667,0.333333333333333,0,"dominant","rare"
"RIMO","Control",0.316666666666667,0.197054534845356,0.0518372099444708,0.875,0,0.125,"dominant","rare"
"RIMO","Removal",0.2,0.164499481762545,0.0721233287893433,0.9,0.1,0,"dominant","rare"
"RUSA","Control",0.15,0.0418902266511989,0.0150394630604526,0.375,0.333333333333333,0.291666666666667,"intermediate","rare"
"RUSA","Removal",0.0666666666666667,0.0452757805705422,0.0407467950632958,0.166666666666667,0.5,0.333333333333333,"intermediate","rare"
"SECR","Control",0.766666666666667,0.0386948487099183,0.00871941502954735,0.333333333333333,0.37719298245614,0.289473684210526,"intermediate","common"
"SECR","Removal",0.8,0.047460436249419,0.0099604271489024,0.359649122807018,0.37719298245614,0.263157894736842,"intermediate","common"
"SIDR","Removal",0.0166666666666667,0.00324569944823109,NA,0,1,0,"subordinate","rare"
"TAOF","Control",0.0666666666666667,0.00571003427806884,0.00186516573177368,0,1,0,"subordinate","rare"
"TAOF","Removal",0.0166666666666667,0.003000300030003,NA,0,1,0,"subordinate","rare"
"THFE","Control",0.1,0.0443048380831823,0.0292876048180845,0.5,0.25,0.25,"intermediate","rare"
"THFE","Removal",0.0333333333333333,0.0154165006664601,NA,0,0.5,0.5,"intermediate","rare"
"TRHY","Control",0.0333333333333333,0.0236154893948239,NA,0.5,0.5,0,"intermediate","rare"
"TRSP","Control",0.05,0.0143940274312274,0.00601094722086324,0.666666666666667,0.333333333333333,0,"dominant","rare"
"TRSP","Removal",0.0166666666666667,0.00340136054421769,NA,0,1,0,"subordinate","rare"
"VAOC","Control",0.466666666666667,0.024324598962095,0.00719450045486277,0.177083333333333,0.302083333333333,0.520833333333333,"intermediate","intermediate"
"VAOC","Removal",0.516666666666667,0.0347739342134572,0.00911973991366101,0.364583333333333,0.427083333333333,0.208333333333333,"intermediate","intermediate"
"VECA","Control",0.05,0.253854961417517,NA,0.666666666666667,0,0.333333333333333,"dominant","rare"
"VECA","Removal",0.0166666666666667,0.0170068027210884,NA,0,0,1,"intermediate","rare"
"VINU","Control",0.166666666666667,0.0028203762026156,0.000824824708770334,0,1,0,"subordinate","rare"
"VINU","Removal",0.216666666666667,0.00419437040817572,0.00131993921659621,0,1,0,"subordinate","rare"
