"year","plot","pair","removal","litter","functional_group","code","count","percent_cover"
"2023",7,4,"Removal","Mixed","forb","GERI",1,0.001
"2023",7,4,"Removal","Mixed","forb","HEQU",8,0.15
"2023",7,4,"Removal","Mixed","forb","HEMA",1,0.12
"2023",7,4,"Removal","Mixed","forb","HYHO",5,0.04
"2023",7,4,"Removal","Mixed","forb","LIPO",4,0.2
"2023",7,4,"Removal","Mixed","forb","MECI",5,0.03
"2023",7,4,"Removal","Mixed","forb","POGR",1,0.02
"2023",7,4,"Removal","Mixed","forb","SECR",3,0.01
"2023",7,4,"Removal","Mixed","forb","VAOC",3,0.02
"2023",7,4,"Removal","Mixed","grass","ELGL",12,0.03
"2023",7,4,"Removal","Mixed","grass","MESP",5,0.04
"2023",8,4,"Control","Mixed","forb","ANSE",4,0.01
"2023",8,4,"Control","Mixed","forb","AQCO",5,0.02
"2023",8,4,"Control","Mixed","forb","ERSP",3,0.05
"2023",8,4,"Control","Mixed","forb","FRVI",3,0.02
"2023",8,4,"Control","Mixed","forb","GEPA",1,0.03
"2023",8,4,"Control","Mixed","forb","HEQU",3,0.08
"2023",8,4,"Control","Mixed","forb","HEMA",1,0.1
"2023",8,4,"Control","Mixed","forb","HYHO",1,0.02
"2023",8,4,"Control","Mixed","forb","LIPO",2,0.25
"2023",8,4,"Control","Mixed","forb","POGR",2,0.035
"2023",8,4,"Control","Mixed","forb","SECR",6,0.03
"2023",8,4,"Control","Mixed","forb","THFE",4,0.08
"2023",8,4,"Control","Mixed","grass","ELGL",8,0.03
"2023",8,4,"Control","Mixed","grass","MESP",5,0.02
"2023",8,4,"Control","Mixed","grass","PHAL",1,0.02
"2023",8,4,"Control","Mixed","shrub","RIMO",1,0.15
"2023",9,5,"Control","Mixed","forb","CHAN",2,0.05
"2023",9,5,"Control","Mixed","forb","ERCO",2,0.06
"2023",9,5,"Control","Mixed","forb","GERI",1,0.01
"2023",9,5,"Control","Mixed","forb","HEMA",1,0.4
"2023",9,5,"Control","Mixed","forb","LIPO",1,0.03
"2023",9,5,"Control","Mixed","forb","MECI",5,0.05
"2023",9,5,"Control","Mixed","forb","POGR",2,0.03
"2023",9,5,"Control","Mixed","forb","RUSA",1,0.09
"2023",9,5,"Control","Mixed","grass","ELGL",10,0.25
"2023",9,5,"Control","Mixed","legume","LUAR",1,0.03
"2023",10,5,"Removal","Mixed","forb","ANSE",5,0.01
"2023",10,5,"Removal","Mixed","forb","CHAN",3,0.015
"2023",10,5,"Removal","Mixed","forb","ERCO",3,0.06
"2023",10,5,"Removal","Mixed","forb","GABI",15,0.02
"2023",10,5,"Removal","Mixed","forb","GERI",3,0.1
"2023",10,5,"Removal","Mixed","forb","HEMA",1,0.09
"2023",10,5,"Removal","Mixed","forb","HYHO",1,0.015
"2023",10,5,"Removal","Mixed","forb","MECI",1,0.01
"2023",10,5,"Removal","Mixed","forb","RUSA",2,0.02
"2023",10,5,"Removal","Mixed","forb","VINU",1,0.001
"2023",10,5,"Removal","Mixed","grass","ELGL",11,0.09
"2023",10,5,"Removal","Mixed","grass","POPR",2,0.06
"2023",10,5,"Removal","Mixed","legume","LUAR",1,0.005
"2023",11,6,"Removal","Community","forb","AQCO",1,0.05
"2023",11,6,"Removal","Community","forb","CHAN",6,0.06
"2023",11,6,"Removal","Community","forb","ERCO",1,0.01
"2023",11,6,"Removal","Community","forb","ERSP",3,0.04
"2023",11,6,"Removal","Community","forb","HEQU",2,0.08
"2023",11,6,"Removal","Community","forb","HEMA",1,0.03
"2023",11,6,"Removal","Community","forb","HYHO",4,0.05
"2023",11,6,"Removal","Community","forb","LIPO",1,0.1
"2023",11,6,"Removal","Community","forb","MECI",4,0.03
"2023",11,6,"Removal","Community","forb","POGR",3,0.02
"2023",11,6,"Removal","Community","forb","VAOC",7,0.12
"2023",11,6,"Removal","Community","grass","ELGL",10,0.08
"2023",11,6,"Removal","Community","grass","MESP",5,0.04
"2023",11,6,"Removal","Community","shrub","RIMO",1,0.3
"2023",12,6,"Control","Community","forb","AQCO",1,0.01
"2023",12,6,"Control","Community","forb","CHAN",1,0.01
"2023",12,6,"Control","Community","forb","DEBA",1,0.06
"2023",12,6,"Control","Community","forb","ERGR",1,0.001
"2023",12,6,"Control","Community","forb","FRVI",5,0.01
"2023",12,6,"Control","Community","forb","HEQU",5,0.3
"2023",12,6,"Control","Community","forb","HEMA",1,0.04
"2023",12,6,"Control","Community","forb","HYHO",3,0.05
"2023",12,6,"Control","Community","forb","LIPO",1,0.06
"2023",12,6,"Control","Community","forb","POGR",1,0.02
"2023",12,6,"Control","Community","forb","SECR",2,0.01
"2023",12,6,"Control","Community","grass","ELGL",8,0.03
"2023",12,6,"Control","Community","grass","MESP",6,0.09
"2023",12,6,"Control","Community","legume","LUAR",1,0.02
"2023",12,6,"Control","Community","shrub","RIMO",2,0.07
"2023",13,7,"Control","Castilleja","forb","ANSE",1,0.001
"2023",13,7,"Control","Castilleja","forb","ERCO",2,0.05
"2023",13,7,"Control","Castilleja","forb","ERGR",1,0.01
"2023",13,7,"Control","Castilleja","forb","HEQU",3,0.06
"2023",13,7,"Control","Castilleja","forb","HEMA",3,0.04
"2023",13,7,"Control","Castilleja","forb","HYHO",4,0.06
"2023",13,7,"Control","Castilleja","forb","LIPO",1,0.01
"2023",13,7,"Control","Castilleja","forb","POGR",2,0.25
"2023",13,7,"Control","Castilleja","forb","SECR",4,0.02
"2023",13,7,"Control","Castilleja","grass","ELGL",9,0.06
"2023",13,7,"Control","Castilleja","grass","MESP",4,0.02
"2023",13,7,"Control","Castilleja","legume","LUAR",11,0.15
"2023",14,7,"Removal","Castilleja","forb","AQCO",1,0.03
"2023",14,7,"Removal","Castilleja","forb","CHAN",9,0.15
"2023",14,7,"Removal","Castilleja","forb","DEBA",1,0.01
"2023",14,7,"Removal","Castilleja","forb","ERCO",1,0.01
"2023",14,7,"Removal","Castilleja","forb","ERGR",2,0.002
"2023",14,7,"Removal","Castilleja","forb","FRVI",5,0.01
"2023",14,7,"Removal","Castilleja","forb","HEQU",6,0.2
"2023",14,7,"Removal","Castilleja","forb","HYHO",5,0.01
"2023",14,7,"Removal","Castilleja","forb","LIPO",2,0.07
"2023",14,7,"Removal","Castilleja","forb","POGR",3,0.012
"2023",14,7,"Removal","Castilleja","forb","SECR",5,0.03
"2023",14,7,"Removal","Castilleja","forb","VAOC",9,0.01
"2023",14,7,"Removal","Castilleja","forb","VINU",1,0.001
"2023",14,7,"Removal","Castilleja","grass","ELGL",6,0.02
"2023",14,7,"Removal","Castilleja","grass","MESP",6,0.03
"2023",15,8,"Control","Control","forb","BAVU",2,0.002
"2023",15,8,"Control","Control","forb","CHAN",4,0.04
"2023",15,8,"Control","Control","forb","ERCO",3,0.08
"2023",15,8,"Control","Control","forb","HEQU",3,0.11
"2023",15,8,"Control","Control","forb","HYHO",2,0.02
"2023",15,8,"Control","Control","forb","POGR",2,0.03
"2023",15,8,"Control","Control","forb","SECR",9,0.07
"2023",15,8,"Control","Control","grass","ELGL",12,0.09
"2023",15,8,"Control","Control","grass","MESP",3,0.03
"2023",15,8,"Control","Control","legume","LUAR",10,0.15
"2023",16,8,"Removal","Control","forb","CHAN",9,0.12
"2023",16,8,"Removal","Control","forb","DEBA",3,0.04
"2023",16,8,"Removal","Control","forb","ERCO",2,0.04
"2023",16,8,"Removal","Control","forb","ERGR",4,0.01
"2023",16,8,"Removal","Control","forb","GERI",1,0.02
"2023",16,8,"Removal","Control","forb","HEQU",10,0.2
"2023",16,8,"Removal","Control","forb","POGR",1,0.01
"2023",16,8,"Removal","Control","forb","SECR",6,0.03
"2023",16,8,"Removal","Control","forb","VAOC",5,0.01
"2023",16,8,"Removal","Control","grass","ELGL",3,0.003
"2023",16,8,"Removal","Control","grass","MESP",8,0.05
"2023",16,8,"Removal","Control","sedge","CAHO",1,0.01
"2023",17,9,"Control","Mixed","forb","CHAN",11,0.15
"2023",17,9,"Control","Mixed","forb","DEBA",4,0.03
"2023",17,9,"Control","Mixed","forb","ERCO",1,0.002
"2023",17,9,"Control","Mixed","forb","ERGR",12,0.04
"2023",17,9,"Control","Mixed","forb","HEMA",1,0.001
"2023",17,9,"Control","Mixed","forb","HYHO",5,0.06
"2023",17,9,"Control","Mixed","forb","LIPO",2,0.25
"2023",17,9,"Control","Mixed","forb","SECR",2,0.005
"2023",17,9,"Control","Mixed","forb","VAOC",5,0.01
"2023",17,9,"Control","Mixed","grass","ELGL",9,0.12
"2023",17,9,"Control","Mixed","grass","MESP",3,0.005
"2023",17,9,"Control","Mixed","legume","LUAR",3,0.005
"2023",18,9,"Removal","Mixed","forb","ANSE",3,0.001
"2023",18,9,"Removal","Mixed","forb","CHAN",12,0.15
"2023",18,9,"Removal","Mixed","forb","DEBA",1,0.01
"2023",18,9,"Removal","Mixed","forb","ERCO",1,0.003
"2023",18,9,"Removal","Mixed","forb","ERGR",4,0.02
"2023",18,9,"Removal","Mixed","forb","FRVI",6,0.005
"2023",18,9,"Removal","Mixed","forb","HEQU",1,0.005
"2023",18,9,"Removal","Mixed","forb","HEMA",1,0.15
"2023",18,9,"Removal","Mixed","forb","HYHO",7,0.05
"2023",18,9,"Removal","Mixed","forb","LIPO",3,0.06
"2023",18,9,"Removal","Mixed","forb","MECI",1,0.005
"2023",18,9,"Removal","Mixed","forb","SECR",3,0.008
"2023",18,9,"Removal","Mixed","forb","VAOC",5,0.01
"2023",18,9,"Removal","Mixed","grass","ELGL",6,0.03
"2023",18,9,"Removal","Mixed","grass","MESP",5,0.04
"2023",19,10,"Control","Control","forb","CHAN",9,0.12
"2023",19,10,"Control","Control","forb","DEBA",2,0.07
"2023",19,10,"Control","Control","forb","ERGR",2,0.015
"2023",19,10,"Control","Control","forb","FRVI",2,0.01
"2023",19,10,"Control","Control","forb","HYHO",7,0.1
"2023",19,10,"Control","Control","forb","NOFE",3,0.002
"2023",19,10,"Control","Control","forb","POGR",1,0.02
"2023",19,10,"Control","Control","forb","RHIN",4,0.015
"2023",19,10,"Control","Control","forb","SECR",4,0.02
"2023",19,10,"Control","Control","forb","VAOC",2,0.005
"2023",19,10,"Control","Control","grass","MESP",6,0.04
"2023",19,10,"Control","Control","grass","PHPR",1,0.001
"2023",19,10,"Control","Control","legume","LUAR",6,0.05
"2023",20,10,"Removal","Control","forb","ANSE",6,0.01
"2023",20,10,"Removal","Control","forb","AQCO",1,0.03
"2023",20,10,"Removal","Control","forb","CHAN",1,0.01
"2023",20,10,"Removal","Control","forb","ERCO",2,0.01
"2023",20,10,"Removal","Control","forb","ERGR",4,0.02
"2023",20,10,"Removal","Control","forb","FRVI",5,0.01
"2023",20,10,"Removal","Control","forb","HYHO",1,0.015
"2023",20,10,"Removal","Control","forb","POGR",8,0.15
"2023",20,10,"Removal","Control","forb","RHIN",5,0.02
"2023",20,10,"Removal","Control","forb","SECR",8,0.05
"2023",20,10,"Removal","Control","forb","VAOC",10,0.01
"2023",20,10,"Removal","Control","forb","VINU",1,0.003
"2023",20,10,"Removal","Control","grass","ELGL",12,0.02
"2023",20,10,"Removal","Control","grass","MESP",2,0.001
"2023",20,10,"Removal","Control","legume","LUAR",4,0.06
"2023",21,11,"Control","Castilleja","forb","AQCO",1,0.05
"2023",21,11,"Control","Castilleja","forb","CHAN",7,0.12
"2023",21,11,"Control","Castilleja","forb","DEBA",1,0.03
"2023",21,11,"Control","Castilleja","forb","ERCO",2,0.03
"2023",21,11,"Control","Castilleja","forb","ERGR",2,0.01
"2023",21,11,"Control","Castilleja","forb","GERI",1,0.04
"2023",21,11,"Control","Castilleja","forb","HEQU",8,0.15
"2023",21,11,"Control","Castilleja","forb","HYHO",4,0.02
"2023",21,11,"Control","Castilleja","forb","LIPO",2,0.3
"2023",21,11,"Control","Castilleja","forb","NOFE",2,0.001
"2023",21,11,"Control","Castilleja","forb","POGR",2,0.04
"2023",21,11,"Control","Castilleja","forb","SECR",9,0.07
"2023",21,11,"Control","Castilleja","forb","THFE",2,0.04
"2023",21,11,"Control","Castilleja","forb","VINU",1,0.005
"2023",21,11,"Control","Castilleja","grass","ELGL",7,0.06
"2023",21,11,"Control","Castilleja","grass","MESP",4,0.12
"2023",22,11,"Removal","Castilleja","forb","ERSP",3,0.03
"2023",22,11,"Removal","Castilleja","forb","HEQU",10,0.15
"2023",22,11,"Removal","Castilleja","forb","HYHO",4,0.05
"2023",22,11,"Removal","Castilleja","forb","LIPO",3,0.07
"2023",22,11,"Removal","Castilleja","forb","MECI",3,0.04
"2023",22,11,"Removal","Castilleja","forb","NOFE",2,0.001
"2023",22,11,"Removal","Castilleja","forb","POGR",6,0.25
"2023",22,11,"Removal","Castilleja","grass","MESP",7,0.12
"2023",22,11,"Removal","Castilleja","legume","LUAR",2,0.03
"2023",22,11,"Removal","Castilleja","sedge","CAHO",7,0.06
"2023",23,12,"Control","Control","forb","CHAN",12,0.25
"2023",23,12,"Control","Control","forb","ERCO",1,0.03
"2023",23,12,"Control","Control","forb","GERI",1,0.01
"2023",23,12,"Control","Control","forb","HEMA",2,0.04
"2023",23,12,"Control","Control","forb","HYHO",2,0.02
"2023",23,12,"Control","Control","forb","LIPO",1,0.07
"2023",23,12,"Control","Control","forb","MECI",5,0.04
"2023",23,12,"Control","Control","forb","POGR",2,0.02
"2023",23,12,"Control","Control","forb","VAOC",10,0.15
"2023",23,12,"Control","Control","grass","ELGL",4,0.04
"2023",23,12,"Control","Control","grass","MESP",6,0.01
"2023",23,12,"Control","Control","sedge","CAHO",4,0.01
"2023",23,12,"Control","Control","shrub","RIMO",1,0.3
"2023",24,12,"Removal","Control","forb","CHAN",1,0.01
"2023",24,12,"Removal","Control","forb","ERCO",4,0.04
"2023",24,12,"Removal","Control","forb","FRVI",8,0.03
"2023",24,12,"Removal","Control","forb","HEQU",9,0.15
"2023",24,12,"Removal","Control","forb","HEMA",2,0.3
"2023",24,12,"Removal","Control","forb","LIPO",1,0.07
"2023",24,12,"Removal","Control","forb","MECI",2,0.01
"2023",24,12,"Removal","Control","forb","POGR",3,0.07
"2023",24,12,"Removal","Control","forb","SECR",3,0.01
"2023",24,12,"Removal","Control","forb","VAOC",8,0.06
"2023",24,12,"Removal","Control","grass","BRPU",11,0.05
"2023",24,12,"Removal","Control","grass","MESP",1,0.005
"2023",24,12,"Removal","Control","shrub","RIMO",1,0.1
"2023",25,13,"Removal","Control","forb","ANSE",2,0.002
"2023",25,13,"Removal","Control","forb","AQCO",1,0.03
"2023",25,13,"Removal","Control","forb","CHAN",1,0.01
"2023",25,13,"Removal","Control","forb","DEBA",1,0.01
"2023",25,13,"Removal","Control","forb","ERCO",3,0.02
"2023",25,13,"Removal","Control","forb","FRVI",10,0.02
"2023",25,13,"Removal","Control","forb","HEQU",7,0.1
"2023",25,13,"Removal","Control","forb","LIPO",3,0.14
"2023",25,13,"Removal","Control","forb","POGR",4,0.07
"2023",25,13,"Removal","Control","forb","VAOC",1,0.04
"2023",25,13,"Removal","Control","grass","ELGL",4,0.02
"2023",25,13,"Removal","Control","grass","MESP",1,0.01
"2023",25,13,"Removal","Control","legume","LUAR",5,0.03
"2023",25,13,"Removal","Control","sedge","CAHO",4,0.03
"2023",26,13,"Control","Control","forb","DEBA",1,0.015
"2023",26,13,"Control","Control","forb","ERCO",1,0.01
"2023",26,13,"Control","Control","forb","ERSP",2,0.06
"2023",26,13,"Control","Control","forb","FRVI",4,0.01
"2023",26,13,"Control","Control","forb","HEQU",8,0.15
"2023",26,13,"Control","Control","forb","LIPO",2,0.13
"2023",26,13,"Control","Control","forb","MECI",2,0.01
"2023",26,13,"Control","Control","forb","POGR",3,0.05
"2023",26,13,"Control","Control","forb","VAOC",2,0.05
"2023",26,13,"Control","Control","grass","BRPU",1,0.001
"2023",26,13,"Control","Control","grass","ELGL",1,0.01
"2023",26,13,"Control","Control","grass","MESP",2,0.02
"2023",26,13,"Control","Control","legume","LUAR",4,0.04
"2023",26,13,"Control","Control","sedge","CAHO",5,0.03
"2023",27,14,"Control","Community","forb","ERSP",1,0.01
"2023",27,14,"Control","Community","forb","GERI",1,0.01
"2023",27,14,"Control","Community","forb","HYHO",3,0.05
"2023",27,14,"Control","Community","forb","LIPO",2,0.03
"2023",27,14,"Control","Community","forb","POGR",1,0.01
"2023",27,14,"Control","Community","forb","SECR",2,0.01
"2023",27,14,"Control","Community","grass","ELGL",9,0.03
"2023",27,14,"Control","Community","shrub","RIMO",2,0.4
"2023",28,14,"Removal","Community","forb","DEBA",1,0.005
"2023",28,14,"Removal","Community","forb","ERGR",1,0.005
"2023",28,14,"Removal","Community","forb","FRVI",5,0.01
"2023",28,14,"Removal","Community","forb","GABI",1,0.01
"2023",28,14,"Removal","Community","forb","GERI",1,0.001
"2023",28,14,"Removal","Community","forb","HEQU",2,0.03
"2023",28,14,"Removal","Community","forb","HEMA",1,0.11
"2023",28,14,"Removal","Community","forb","HYHO",7,0.08
"2023",28,14,"Removal","Community","forb","POGR",1,0.002
"2023",28,14,"Removal","Community","forb","SECR",3,0.015
"2023",28,14,"Removal","Community","grass","ELGL",7,0.05
"2023",28,14,"Removal","Community","grass","MESP",10,0.05
"2023",28,14,"Removal","Community","shrub","RIMO",1,0.3
"2023",29,15,"Control","Castilleja","forb","ANSE",1,0.004
"2023",29,15,"Control","Castilleja","forb","ERGR",4,0.02
"2023",29,15,"Control","Castilleja","forb","GERI",1,0.01
"2023",29,15,"Control","Castilleja","forb","HEQU",2,0.04
"2023",29,15,"Control","Castilleja","forb","LIPO",1,0.05
"2023",29,15,"Control","Castilleja","forb","POGR",5,0.07
"2023",29,15,"Control","Castilleja","forb","RHIN",1,0.005
"2023",29,15,"Control","Castilleja","grass","ELGL",8,0.2
"2023",29,15,"Control","Castilleja","grass","MESP",2,0.01
"2023",29,15,"Control","Castilleja","legume","LUAR",5,0.08
"2023",30,15,"Removal","Castilleja","forb","ERGR",2,0.005
"2023",30,15,"Removal","Castilleja","forb","HEQU",1,0.015
"2023",30,15,"Removal","Castilleja","forb","LIPO",1,0.01
"2023",30,15,"Removal","Castilleja","forb","POGR",1,0.01
"2023",30,15,"Removal","Castilleja","forb","SECR",3,0.02
"2023",30,15,"Removal","Castilleja","grass","ELGL",10,0.08
"2023",30,15,"Removal","Castilleja","grass","MESP",6,0.1
"2023",30,15,"Removal","Castilleja","legume","LUAR",3,0.02
"2023",30,15,"Removal","Castilleja","sedge","CAHO",4,0.01
"2023",31,16,"Control","Control","forb","ANSE",3,0.005
"2023",31,16,"Control","Control","forb","FRVI",4,0.002
"2023",31,16,"Control","Control","forb","HEQU",2,0.015
"2023",31,16,"Control","Control","forb","POGR",3,0.025
"2023",31,16,"Control","Control","forb","SECR",5,0.03
"2023",31,16,"Control","Control","forb","VAOC",10,0.02
"2023",31,16,"Control","Control","grass","ELGL",11,0.09
"2023",31,16,"Control","Control","grass","PHAL",1,0.001
"2023",31,16,"Control","Control","legume","LUAR",11,0.08
"2023",32,16,"Removal","Control","forb","CHAN",7,0.07
"2023",32,16,"Removal","Control","forb","ERGR",7,0.02
"2023",32,16,"Removal","Control","forb","GERI",1,0.03
"2023",32,16,"Removal","Control","forb","POGR",3,0.03
"2023",32,16,"Removal","Control","forb","VAOC",8,0.01
"2023",32,16,"Removal","Control","forb","VINU",1,0.01
"2023",32,16,"Removal","Control","grass","ELGL",9,0.25
"2023",32,16,"Removal","Control","grass","MESP",4,0.1
"2023",32,16,"Removal","Control","legume","LUAR",5,0.07
"2023",33,17,"Removal","Community","forb","ANSE",5,0.01
"2023",33,17,"Removal","Community","forb","CHAN",3,0.03
"2023",33,17,"Removal","Community","forb","ERCO",1,0.01
"2023",33,17,"Removal","Community","forb","FRVI",3,0.001
"2023",33,17,"Removal","Community","forb","GERI",2,0.03
"2023",33,17,"Removal","Community","forb","HEQU",3,0.015
"2023",33,17,"Removal","Community","forb","HEMA",1,0.04
"2023",33,17,"Removal","Community","forb","HYHO",3,0.015
"2023",33,17,"Removal","Community","forb","NOFE",1,0.001
"2023",33,17,"Removal","Community","forb","RUSA",1,0.005
"2023",33,17,"Removal","Community","forb","SECR",1,0.01
"2023",33,17,"Removal","Community","forb","VAOC",4,0.02
"2023",33,17,"Removal","Community","grass","ELGL",9,0.12
"2023",33,17,"Removal","Community","grass","POPR",1,0.001
"2023",33,17,"Removal","Community","legume","LUAR",5,0.06
"2023",34,17,"Control","Community","forb","CHAN",5,0.07
"2023",34,17,"Control","Community","forb","GABI",20,0.02
"2023",34,17,"Control","Community","forb","HEQU",1,0.01
"2023",34,17,"Control","Community","forb","HYHO",1,0.02
"2023",34,17,"Control","Community","forb","MECI",4,0.06
"2023",34,17,"Control","Community","forb","RUSA",1,0.02
"2023",34,17,"Control","Community","forb","VECA",9,0.035
"2023",34,17,"Control","Community","grass","ELGL",7,0.09
"2023",34,17,"Control","Community","legume","LUAR",1,0.03
"2023",35,18,"Control","Community","forb","CHAN",14,0.5
"2023",35,18,"Control","Community","forb","DEBA",5,0.2
"2023",35,18,"Control","Community","forb","HEMA",1,0.04
"2023",35,18,"Control","Community","forb","HYHO",2,0.04
"2023",35,18,"Control","Community","forb","LIPO",2,0.12
"2023",35,18,"Control","Community","forb","MECI",1,0.01
"2023",35,18,"Control","Community","forb","VAOC",8,0.02
"2023",35,18,"Control","Community","grass","BRPU",2,0.002
"2023",35,18,"Control","Community","grass","ELGL",15,0.1
"2023",35,18,"Control","Community","legume","LUAR",1,0.03
"2023",36,18,"Removal","Community","forb","CHAN",15,0.55
"2023",36,18,"Removal","Community","forb","DEBA",1,0.04
"2023",36,18,"Removal","Community","forb","GERI",1,0.03
"2023",36,18,"Removal","Community","forb","HEMA",1,0.1
"2023",36,18,"Removal","Community","forb","HYHO",4,0.03
"2023",36,18,"Removal","Community","forb","LIPO",2,0.12
"2023",36,18,"Removal","Community","forb","MECI",6,0.08
"2023",36,18,"Removal","Community","grass","ELGL",8,0.02
"2023",37,19,"Control","Castilleja","forb","CHAN",12,0.4
"2023",37,19,"Control","Castilleja","forb","ERCO",1,0.04
"2023",37,19,"Control","Castilleja","forb","GERI",1,0.03
"2023",37,19,"Control","Castilleja","forb","HEMA",1,0.02
"2023",37,19,"Control","Castilleja","forb","HYHO",8,0.15
"2023",37,19,"Control","Castilleja","forb","SECR",1,0.015
"2023",37,19,"Control","Castilleja","forb","VAOC",12,0.04
"2023",37,19,"Control","Castilleja","grass","ELGL",10,0.08
"2023",37,19,"Control","Castilleja","sedge","CAHO",1,0.01
"2023",38,19,"Removal","Castilleja","forb","CHAN",0,0.3
"2023",38,19,"Removal","Castilleja","forb","DEBA",0,0.1
"2023",38,19,"Removal","Castilleja","forb","ERCO",3,0.045
