year,date,site,fieldplot,pair,plot,block,collection,litter,removal,elevation,disturbance_distance,disturbance_type,family,genus,species,code,functional_group,life_history,cover,count,nearest_neighbor,percent_cover
2024,8/5/24,Emerald Lake,1B,1,2,1,Post,Mixed,R,3214.303061,5,Treeline,,,,bare,environmental,,25,0,0,0.25
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Violaceae,Viola,nuttallii,VINU,forb,perennial,0.1,1,0,0.001
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Brassicaceae,Boechera,stricta,BOST,forb,biennial,0.2,2,0,0.002
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Asteraceae,Agoseris,glauca,AGGL,forb,perennial,0.5,1,0,0.005
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.5,3,0,0.005
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Poaceae,Poa,pratensis,POPR,grass,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,1.5,2,0,0.015
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,,,,rock,environmental,,2,0,0,0.02
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,3,4,0,0.03
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Poaceae,Elymus,glaucus,ELGL,grass,perennial,4,7,0,0.04
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,6,1,0,0.06
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,6,1,0,0.06
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,10,3,0,0.1
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Fabaceae,Lupinus,argentus,LUAR,legume,perennial,12,8,0,0.12
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,18,4,0,0.18
2024,8/5/24,Emerald Lake,2A,2,3,2,Post,Castilleja,C,3214.132079,2.95,Trail,,,,bare,environmental,,50,0,0,0.5
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.2,3,0,0.002
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Brassicaceae,Boechera,stricta,BOST,forb,biennial,1,12,0,0.01
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1,3,0,0.01
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,,,,litter,environmental,,1,0,0,0.01
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,2,5,0,0.02
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,4,3,0,0.04
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,4,2,0,0.04
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,4,3,0,0.04
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,5,5,0,0.05
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Asteraceae,Senecio,crassulus,SECR,forb,perennial,7,6,0,0.07
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,8,1,0,0.08
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,8,3,0,0.08
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Poaceae,Poa,pratensis,POPR,grass,perennial,10,5,0,0.1
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,15,5,0,0.15
2024,8/5/24,Emerald Lake,2B,2,4,2,Post,Castilleja,R,3214.686752,4.62,Treeline,,,,bare,environmental,,30,0,0,0.3
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,1,5,0,0.01
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,,,,rock,environmental,,1,0,0,0.01
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,1.5,4,0,0.015
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,2,2,0,0.02
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Asteraceae,Senecio,crassulus,SECR,forb,perennial,2,3,0,0.02
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,2,1,0,0.02
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Asteraceae,Erigeron,elatior,EREL,forb,perennial,2.5,2,0,0.025
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,3,2,0,0.03
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,,,,litter,environmental,,3,0,0,0.03
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Fabaceae,Lupinus,argentus,LUAR,legume,perennial,3,1,0,0.03
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,6,2,0,0.06
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,8,3,0,0.08
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,10,6,0,0.1
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Grossulariaceae,Ribes,montigenum,RIMO,Shrub,perennial,10,1,0,0.1
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,12,4,0,0.12
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Poaceae,Melica,spectabilis,MESP,grass,perennial,12,6,0,0.12
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,15,8,0,0.15
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,,,,bare,environmental,,20,0,0,0.2
2024,8/5/24,Emerald Lake,3A,3,5,2,Post,Community,R,3213.215425,5.78,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,20,2,0,0.2
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.1,1,0,0.001
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Brassicaceae,Boechera,stricta,BOST,forb,biennial,0.1,3,0,0.001
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Asteraceae,Erigeron,elatior,EREL,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Asteraceae,Erigeron,speciosus,ERSP,forb,perennial,1,2,0,0.01
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1,2,0,0.01
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,2,1,0.01
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,1.5,1,0,0.015
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,4,2,0,0.04
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Poaceae,Elymus,glaucus,ELGL,grass,perennial,4,2,1,0.04
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,,,,litter,environmental,,4,0,0,0.04
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,4,3,1,0.04
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Poaceae,Melica,spectabilis,MESP,grass,perennial,5,7,0,0.05
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Asteraceae,Senecio,crassulus,SECR,forb,perennial,5,5,1,0.05
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,6,2,0,0.06
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,7,4,0,0.07
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,8,7,1,0.08
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,12,4,1,0.12
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,,,,bare,environmental,,15,0,0,0.15
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,15,2,0,0.15
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,15,6,1,0.15
2024,8/5/24,Emerald Lake,3B,3,6,2,Post,Community,C,3213.489248,7,Creek,Grossulariaceae,Ribes,montigenum,RIMO,Shrub,perennial,20,2,0,0.2
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,0.3,1,0,0.003
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,,,,rock,environmental,,1,0,0,0.01
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Asteraceae,Senecio,crassulus,SECR,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Asteraceae,Erigeron,elatior,EREL,forb,perennial,3,1,0,0.03
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,,,,litter,environmental,,3,0,0,0.03
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,3,1,0,0.03
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,4,5,0,0.04
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Caprifoliaceae,Valeriana,occidentalis,VAOC,forb,perennial,4,2,0,0.04
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Poaceae,Melica,spectabilis,MESP,grass,perennial,5,9,0,0.05
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,6,3,0,0.06
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,,,,bare,environmental,,10,0,0,0.1
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,20,5,0,0.2
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,25,3,0,0.25
2024,8/5/24,Emerald Lake,4A,4,7,2,Post,Mixed,R,3212.745864,6.12,Treeline,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,30,1,0,0.3
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,0.5,1,0,0.005
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Asteraceae,Agoseris,glauca,AGGL,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,1,5,1,0.01
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,1,1,0,0.01
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Poaceae,Trisetum,spicatum,TRSP,grass,perennial,1,3,0,0.01
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,2,1,1,0.02
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Poaceae,Elymus,glaucus,ELGL,grass,perennial,2,8,0,0.02
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Gentianaceae,Gentiana,parryi,GEPA,forb,perennial,2,3,1,0.02
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,2,2,0,0.02
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,,,,litter,environmental,,2,0,0,0.02
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Poaceae,Melica,spectabilis,MESP,grass,perennial,3,5,1,0.03
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,4,3,0,0.04
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Poaceae,Phleum,alpinum,PHAL,grass,perennial,4,4,1,0.04
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,4,3,0,0.04
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Asteraceae,Senecio,crassulus,SECR,forb,perennial,4,7,1,0.04
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,5,2,1,0.05
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,8,4,0,0.08
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,8,6,0,0.08
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,10,3,0,0.1
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,,,,bare,environmental,,12,0,0,0.12
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Apiaceae,Heracleum,maximum,HEMA,forb,perennial,15,1,0,0.15
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Thalictraceae,Thalictrum,fendleri,THFE,forb,perennial,25,9,1,0.25
2024,8/5/24,Emerald Lake,4B,4,8,2,Post,Mixed,C,3212.821664,6.8,Creek,Grossulariaceae,Ribes,montigenum,RIMO,Shrub,perennial,30,2,1,0.3
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1,1,0,0.01
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,1,2,0,0.01
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,1,1,0,0.01
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,1,1,0,0.01
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Asteraceae,Senecio,crassulus,SECR,forb,perennial,2,5,0,0.02
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,3,1,0,0.03
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,3,3,0,0.03
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Ericaceae,Moneses,uniflora,MOUN,forb,perennial,3,7,0,0.03
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,4,1,0,0.04
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Poaceae,Elymus,glaucus,ELGL,grass,perennial,5,6,1,0.05
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,,,,litter,environmental,,5,0,0,0.05
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,6,4,1,0.06
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Polygonaceae,Rumex,salicifolius,RUSA,forb,perennial,7,1,0,0.07
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,Asteraceae,Erigeron,elatior,EREL,forb,perennial,8,4,0,0.08
2024,8/8/24,Emerald Lake,5A,5,9,3,Post,Mixed,C,3214.160476,3.46,Treeline,,,,bare,environmental,,10,0,0,0.1
