Date,Site,Field Plot,Paired Plot,Plot,Treatment,Achratherum lettermanii,Agastache urticifolia,Amelanchier alnifolia,Antennaria parvifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Boechera stricta,Bromus inermis,Calochortus gunnisonii,Carex geyeri,Castilleja linariifolia,Collomia linearis,Crepis acuminata,Crepis intermedia,Crepis occidentalis,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron flagellaris,Erigeron speciosus,Eriogonum umbellatum var. aureum,Eriogonum umbellatum var. majus,Festuca rubra,Festuca thurberi,Galium bifolium,Gayophytum diffusum,Heliomerus multiflora,Hesperostipa comata,Heterotheca villosa,Hydrophyllum capitatum,Ipomopsis aggregatta,Juniperusus commonis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus argenteus,Lupinus polyphyllus,Mertensia brevistyla,Paxistima myrsinites,Poa fendleriana,Poa glauca,Poa pratensis,Polygonum douglasii,Populus tremuloides,Potentilla hippiana,Rosa woodsii,Sedum lanceolatum,Senecio integerrimus,Symphoricarpos rotundifolius,Taraxacum officinale,Vicia americana,Viola nuttalii,Viola praemorsa,Wyethia amplexicaulis
7/5/24,Deer Creek 1,A6,6,11,Castilleja,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
7/5/24,Deer Creek 1,A6C,6,12,Control,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/5/24,Deer Creek 1,A7,7,13,Castilleja,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
7/5/24,Deer Creek 1,A7C,7,14,Control,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
7/5/24,Deer Creek 1,A8,8,15,Castilleja,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
7/5/24,Deer Creek 1,A8C,8,16,Control,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7/5/24,Deer Creek 1,A9,9,17,Castilleja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0
7/5/24,Deer Creek 1,A9C,9,18,Control,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7/5/24,Deer Creek 1,A10,10,19,Castilleja,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7/5/24,Deer Creek 1,A10C,10,20,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
7/8/24,Deer Creek 1,A11,11,21,Castilleja,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,3,0,1,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
7/8/24,Deer Creek 1,A11C,11,22,Control,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,3,0,0,0,13,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7/8/24,Deer Creek 1,A12,12,23,Castilleja,0,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
7/8/24,Deer Creek 1,A12C,12,24,Control,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7/8/24,Deer Creek 1,A13,13,25,Castilleja,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,5,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7/8/24,Deer Creek 1,A13C,13,26,Control,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
7/8/24,Deer Creek 1,A14,14,27,Castilleja,0,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7/8/24,Deer Creek 1,A14C,14,28,Control,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A15,15,29,Castilleja,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,4,0,0,0,0,0,0
7/8/24,Deer Creek 1,A15C,15,30,Control,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A16,16,31,Castilleja,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A16C,16,32,Control,0,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A17,17,33,Castilleja,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A17C,17,34,Control,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,1,0,0,0,0,0
7/8/24,Deer Creek 1,A18,18,35,Castilleja,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A18C,18,36,Control,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
7/8/24,Deer Creek 1,A19,19,37,Castilleja,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0
7/8/24,Deer Creek 1,A19C,19,38,Control,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8/24,Deer Creek 1,A20,20,39,Castilleja,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,4,0,0,0,5,4,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7/8/24,Deer Creek 1,A20C,20,40,Control,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7/9/24,Deer Creek 2,B1,21,41,Castilleja,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7/9/24,Deer Creek 2,B1C,21,42,Control,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7/9/24,Deer Creek 2,B2,22,43,Castilleja,2,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,5,0,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,3,0,1,0,0,4,0,0,0,0,2,0
7/9/24,Deer Creek 2,B2C,22,44,Control,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/9/24,Deer Creek 2,B3,23,45,Castilleja,0,0,3,0,0,0,1,0,0,4,6,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,8,0,0,1,0,3,1,0,0,0,0,0
7/9/24,Deer Creek 2,B3C,23,46,Control,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20,0,0,0,0,10,0,0,0,0,1,0
7/9/24,Deer Creek 2,B4,24,47,Castilleja,0,0,2,0,0,1,1,3,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0
7/9/24,Deer Creek 2,B4C,24,48,Control,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/9/24,Deer Creek 2,B5,25,49,Castilleja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,1,0,4,2,0,0,0,0,0
7/9/24,Deer Creek 2,B5C,25,50,Control,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,1,0,3,0,0,0,0,0,0
7/9/24,Deer Creek 2,B6,26,51,Castilleja,0,0,2,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0
7/9/24,Deer Creek 2,B6C,26,52,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7/9/24,Deer Creek 2,B7,27,53,Castilleja,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,1,0,1,0,2,0,0,2,0,1,0,0,0,0
7/9/24,Deer Creek 2,B7C,27,54,Control,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,10,0,1,0,0,4,0,0,0,0,0,0
7/9/24,Deer Creek 2,B8,28,55,Castilleja,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
7/9/24,Deer Creek 2,B8C,28,56,Control,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,2,1,0,0,20,0,0,0,0,2,0,0,0,0,0,0
7/9/24,Deer Creek 2,B9,29,57,Castilleja,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0
7/9/24,Deer Creek 2,B9C,29,58,Control,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,15,0,0,0,0,2,1,0,0,0,0,0
7/9/24,Deer Creek 2,B10,30,59,Castilleja,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0
7/9/24,Deer Creek 2,B10C,30,60,Control,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
,Deer Creek 2,B11,31,61,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B11C,31,62,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B12,32,63,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B12C,32,64,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B13,33,65,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B13C,33,66,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B14,34,67,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B14C,34,68,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B15,35,69,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B15C,35,70,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B16,36,71,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B16C,36,72,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B17,37,73,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B17C,37,74,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B18,38,75,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B18C,38,76,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B19,39,77,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B19C,39,78,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B20,40,79,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deer Creek 2,B20C,40,80,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
