Date,Site,Field Plot,Pair,Plot,Treatment,Bare ground,Agoseris glauca leaves,Castilleja septentrionalis,Taraxacum officinale,Elymus lanceolatus,Erigeron subtrinervis,Hesperostipa comata,Lathyrus lanszwertii,Poa pratensis,Potentilla pulcherrima,Elymus trachycaulus,Thalictrum fendleri,Achillea millefolium,Ipomopsis aggregata,Thalictrum fendleri,Solidago sp.,Boechera stricta,Artemisia dracunculus,Dactylis glomerata,Carex ebenea,Fragaria virginiana,Anemone multifida,HiHo,Senecio,Thistle,Pyrrocoma crocea,Phleum alpinum,Draba aurea,Erigeron leiomeris,Poa alpina,Erigeron coulteri,Eremogone congesta,Valeriana edulis,Delphinium barbeyi,Viola adunca
7/26/23,Avery,E6,6,11,Castilleja,0.3,0,0.12,0.4,0.04,0,0.05,0,0.15,0.03,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/23,Avery,E6C,6,12,Control,0.3,0.03,0,0.15,0,0.12,0.1,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/23,Avery,E7,7,13,Castilleja,0.6,0.04,0.08,0.2,0,0.15,0.03,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/23,Avery,E7C,7,14,Control,0.45,0,0,0.12,0.04,0,0.05,0,0.13,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E8,8,15,Castilleja,0.3,0.03,0.12,0.2,0.05,0,0,0,0.27,0.02,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E8C,8,16,Control,0.75,0,0,0.1,0,0.04,0,0,0.15,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E9,9,17,Castilleja,0.4,0,0.02,0.25,0,0.2,0,0.08,0.05,0.02,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E9C,9,18,Control,0.15,0.15,0,0.3,0,0.25,0,0.03,0.08,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E10,10,19,Castilleja,0.55,0,0.03,0.1,0.05,0.05,0.04,0,0.08,0.05,0,0,0,0.02,0.08,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E10C,10,20,Control,0.7,0,0,0.15,0.08,0,0,0,0.05,0.04,0,0,0.04,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E11,11,21,Castilleja,0.55,0,0.25,0.2,0.05,0.1,0,0,0.1,0,0,0.08,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E11C,11,22,Control,0.35,0,0,0.35,0.04,0.08,0,0,0.05,0.01,0,0.12,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E12,12,23,Castilleja,0.35,0,0.05,0.35,0,0.1,0,0,0.05,0.08,0,0.15,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,Avery,E12C,12,24,Control,0.2,0,0,0.5,0.03,0.15,0,0,0.08,0.04,0,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E13,13,25,Castilleja,0.45,0,0.04,0.2,0,0.15,0,0.01,0.05,0.12,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E13C,13,26,Control,0.6,0,0,0.12,0,0.08,0.02,0,0.08,0.2,0,0.08,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E14,14,27,Castilleja,0.15,0,0.04,0.35,0,0.08,0.04,0,0.15,0.08,0,0.08,0,0.05,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E14C,14,28,Control,0.65,0.03,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E15,15,29,Castilleja,0.5,0.02,0.12,0.15,0.02,0.15,0,0.04,0.05,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E15C,15,30,Control,0.55,0,0,0.08,0.15,0,0,0.005,0.2,0,0,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E16,16,31,Castilleja,0.15,0,0.08,0.4,0.1,0,0.05,0,0.05,0.1,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E16C,16,32,Control,0.6,0,0,0.25,0.08,0,0.02,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E17,17,33,Castilleja,0.3,0.04,0.01,0.15,0.01,0.1,0.05,0,0.06,0.35,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E17C,17,34,Control,0.4,0,0,0.08,0.08,0,0.08,0,0.05,0.35,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E18,18,35,Castilleja,0.4,0.005,0.05,0.35,0,0,0,0,0.05,0.12,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E18C,18,36,Control,0.45,0.01,0,0.2,0,0.1,0.04,0,0.04,0.12,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E19,19,37,Castilleja,0.35,0,0.05,0.25,0,0.1,0,0,0.05,0.04,0,0,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E19C,19,38,Control,0.5,0,0,0.15,0.12,0,0,0,0.05,0.02,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E20,20,39,Castilleja,0.2,0,0.03,0.1,0.04,0.05,0,0,0.08,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,Avery,E20C,20,40,Control,0.3,0,0,0.3,0,0.06,0,0,0.04,0.3,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F1,21,41,Castilleja,0.2,0,0.02,0.15,0,0,0,0,0.1,0.2,0,0,0.04,0,0,0,0,0,0,0,0.18,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F1C,21,42,Control,0.15,0.05,0,0.08,0,0,0,0,0.15,0.2,0.01,0,0.08,0,0,0,0,0,0,0.04,0.2,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F2,22,43,Castilleja,0.55,0.01,0.04,0.03,0,0,0,0,0.02,0.12,0,0.05,0.05,0,0,0,0,0,0,0,0.08,0.1,0.08,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F2C,22,44,Control,0.5,0.02,0,0.05,0,0,0,0,0.04,0.2,0.005,0.03,0.03,0,0,0,0,0,0,0,0.05,0.15,0.01,0.03,0,0.05,0,0,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F3,23,45,Castilleja,0.6,0.02,0.02,0.05,0,0,0,0,0.1,0.18,0.01,0,0.08,0,0,0,0,0,0,0,0.04,0.04,0,0.06,0,0,0.005,0.02,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F3C,23,46,Control,0.7,0.01,0,0,0,0,0,0,0.08,0.12,0,0.08,0.04,0,0,0,0,0,0,0.01,0.08,0.08,0,0.005,0,0.1,0,0.02,0,0.04,0,0,0,0,0
7/31/23,Emerald Lake,F4,24,47,Castilleja,0.35,0.01,0.08,0,0,0,0,0,0.08,0.2,0.01,0,0.05,0,0,0,0,0,0,0.05,0.1,0.04,0.03,0.1,0,0,0,0.01,0,0,0,0,0,0,0
7/31/23,Emerald Lake,F4C,24,48,Control,0.3,0.03,0,0,0,0,0,0,0.04,0.2,0.05,0,0.03,0,0,0,0,0,0,0.04,0.08,0.08,0,0.18,0,0,0,0.02,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F5,25,49,Castilleja,0.4,0.03,0.01,0.08,0,0,0,0,0.08,0.2,0,0,0.06,0,0,0,0,0,0,0,0.08,0.01,0,0.04,0.01,0,0,0,0,0,0.15,0,0,0,0
8/1/23,Emerald Lake,F5C,25,50,Control,0.4,0.02,0,0.1,0,0,0,0,0.04,0.12,0,0.22,0.08,0,0,0,0,0,0,0.03,0.15,0,0,0.06,0,0,0.05,0,0,0,0.01,0,0,0,0
8/1/23,Emerald Lake,F6,26,51,Castilleja,0.35,0.02,0.04,0.04,0.08,0,0,0,0.05,0.15,0,0.02,0.08,0,0,0,0,0,0,0,0.03,0.04,0,0.04,0,0,0,0,0,0.01,0.08,0.04,0,0,0
8/1/23,Emerald Lake,F6C,26,52,Control,0.5,0,0,0.04,0,0,0,0,0.08,0.08,0.06,0,0.15,0,0,0,0,0,0,0,0.05,0.01,0,0.005,0,0,0,0.01,0,0.02,0,0.03,0,0,0
8/1/23,Emerald Lake,F7,27,53,Castilleja,0.5,0.04,0.05,0.04,0,0,0,0,0.03,0.12,0.01,0,0.04,0,0,0,0,0,0,0,0.04,0.1,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F7C,27,54,Control,0.55,0.02,0,0,0,0,0,0,0.04,0.25,0,0,0.08,0,0,0,0,0,0,0,0.04,0.06,0,0.01,0,0,0.02,0.01,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F8,28,55,Castilleja,0.3,0.01,0.01,0.03,0,0,0,0,0.05,0.2,0.03,0,0.06,0,0,0,0,0,0,0.02,0.05,0.1,0,0.12,0,0,0,0.01,0,0.06,0,0,0,0,0
8/1/23,Emerald Lake,F8C,28,56,Control,0.55,0.04,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0.01,0.05,0.12,0,0.06,0.04,0,0,0,0,0,0.005,0,0,0,0
8/1/23,Emerald Lake,F9,29,57,Castilleja,0.55,0.01,0.08,0,0,0,0,0,0.04,0.12,0.05,0,0,0,0,0,0,0,0,0,0.08,0.05,0,0.08,0,0.08,0,0.01,0,0.02,0,0,0,0,0
8/1/23,Emerald Lake,F9C,29,58,Control,0.6,0,0,0,0,0,0,0,0.05,0.12,0.02,0,0.03,0,0,0,0,0,0,0,0.04,0.1,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F10,30,59,Castilleja,0.35,0,0.04,0,0,0.05,0,0,0.04,0.2,0,0,0.02,0,0,0,0,0,0,0.1,0.08,0.03,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F10C,30,60,Control,0.5,0,0,0,0,0,0,0,0.03,0.35,0.08,0,0.02,0,0,0,0,0,0,0.1,0.02,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F11,31,61,Castilleja,0.65,0,0.05,0,0,0,0,0,0.02,0.15,0.03,0,0,0,0,0,0,0,0,0,0.08,0.02,0,0.04,0,0,0,0,0,0,0,0,0.1,0,0
8/1/23,Emerald Lake,F11C,31,62,Control,0.4,0,0,0.02,0,0,0,0,0.08,0.3,0.04,0.08,0,0,0,0,0,0,0,0,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
8/1/23,Emerald Lake,F12,32,63,Castilleja,0.75,0,0.08,0,0,0,0,0,0.03,0.1,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0.08,0,0,0,0,0,0,0,0,0,0.04,0
8/1/23,Emerald Lake,F12C,32,64,Control,0.8,0,0,0,0,0,0,0,0.02,0.08,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.12,0.04,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,F13,33,65,Castilleja,0.35,0.04,0.02,0.06,0,0,0,0,0.1,0.15,0.04,0,0.01,0,0,0,0,0,0,0.03,0.15,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0
,Emerald Lake,F13C,33,66,Control,0.75,0,0,0.08,0,0,0,0,0.04,0.15,0,0,0.04,0,0,0,0,0,0,0.02,0.06,0,0,0.06,0,0,0,0.01,0,0,0.05,0,0.03,0,0
,Emerald Lake,F14,34,67,Castilleja,0.3,0.03,0.04,0,0,0,0,0,0.04,0.15,0.04,0.06,0.01,0,0,0,0.03,0,0,0.1,0.08,0.01,0,0.05,0.12,0,0,0.01,0,0,0.08,0,0,0,0
,Emerald Lake,F14C,34,68,Control,0.3,0.04,0,0.08,0,0,0,0,0.08,0.15,0.03,0.1,0.02,0,0,0,0,0,0,0,0.08,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,F15,35,69,Castilleja,0.5,0.05,0.04,0.06,0,0,0,0,0.08,0.12,0.06,0,0.005,0,0,0,0,0,0,0,0.1,0.04,0,0.06,0,0,0,0.01,0.08,0,0.04,0,0,0,0
,Emerald Lake,F15C,35,70,Control,0.5,0.03,0,0.06,0,0,0,0,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0.04,0,0,0,0.01,0.2,0,0,0,0,0,0
,Emerald Lake,F16,36,71,Castilleja,0.5,0,0.04,0.02,0,0,0,0,0.05,0.15,0.04,0,0,0,0,0,0,0,0,0,0.08,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.08
,Emerald Lake,F16C,36,72,Control,0.35,0.04,0,0,0,0,0,0,0.1,0.25,0.01,0.08,0.04,0,0,0,0,0,0,0,0.06,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,F17,37,73,Castilleja,0.25,0.01,0.05,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0.02
,Emerald Lake,F17C,37,74,Control,0.45,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0,0.12,0.01,0,0,0.01,0,0,0,0,0,0,0
,Emerald Lake,F18,38,75,Castilleja,0.55,0,0.08,0,0,0,0,0,0.03,0.03,0,0,0.005,0,0,0,0,0,0,0,0.05,0.08,0,0.06,0.18,0,0,0.01,0,0,0,0,0,0,0
,Emerald Lake,F18C,38,76,Control,0.75,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,F19,39,77,Castilleja,0.35,0.03,0.12,0.06,0,0,0,0,0.08,0.08,0,0,0.04,0,0,0,0,0,0,0.05,0.12,0.04,0,0.04,0,0,0,0.01,0,0,0.04,0,0,0,0
,Emerald Lake,F19C,39,78,Control,0.4,0.08,0,0.02,0,0,0,0,0.08,0.08,0,0,0.04,0,0,0,0,0,0,0,0.08,0.04,0,0.15,0,0,0,0.01,0,0,0.02,0,0,0,0
,Emerald Lake,F20,40,79,Castilleja,0.5,0.01,0.04,0,0,0,0,0,0.1,0.1,0.04,0,0.06,0,0,0,0,0,0,0,0.12,0.05,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0.02
,Emerald Lake,F20C,40,80,Control,0.55,0,0,0.04,0,0,0,0,0.12,0.12,0,0,0.01,0,0,0,0,0,0,0,0.05,0.08,0,0.06,0,0,0.005,0,0,0,0,0,0,0,0
