Date,Site,Field Plot,Pair,Plot,Treatment,Achillea millefolium,Achnatherum nelsonii,Agoseris glauca leaves,Agoserius aurantiaca,Boechera stricta,Botrychium sp.,Bromus inermis,Carex obtusata,Castilleja septentrionalis,Dactylis glomerata,Elymus lanceolatus,Elymus trachycaulus,Erigeron coulteri,Erigeron speciosus,Erigeron subtrinervis,Fragaria virginiana,Hymenoxys hoopesii,Ipomopsis aggregata,Lathyrus lanszwertii,Mertensia brevistyla,Poa compressa,Poa pratensis,Potentilla pulcherrima,Solidago multiradiata,Taraxacum officinale,Thalictrum fendleri,Trisetum spicatum ,Valeriana occidentalis,Viola adunca
7/10/24,Avery,C6C,6,12,Control,0,4,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,8,0,5,0,40,0,0,0,2
7/10/24,Avery,C7,7,13,Castilleja,0,0,6,0,0,1,0,0,2,0,0,0,0,3,0,3,0,2,0,0,1,0,5,0,30,0,0,0,1
7/10/24,Avery,C7C,7,14,Control,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,0,1,2,0,4,0,15,0,0,3,3
7/10/24,Avery,C8,8,15,Castilleja,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,3,0,2,0,0,3,3
7/10/24,Avery,C8C,8,16,Control,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,0,10,0,0,1,0
7/11/24,Avery,C9,9,17,Castilleja,1,0,1,0,0,0,0,5,1,0,0,0,0,0,3,8,3,0,0,0,10,0,6,0,30,0,0,1,0
7/11/24,Avery,C9C,9,18,Control,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,5,8,5,0,20,0,0,1,0
7/11/24,Avery,C10,10,19,Castilleja,0,1,3,0,0,0,0,10,1,4,0,0,2,0,0,0,0,3,0,0,2,0,9,0,20,0,0,0,3
7/11/24,Avery,C10C,10,20,Control,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3,3,0,0,10,0,5,0,20,0,0,0,2
7/11/24,Avery,C11,11,21,Castilleja,0,2,0,0,0,0,0,0,3,1,2,0,4,0,3,0,0,6,0,0,0,20,2,0,25,0,0,1,0
7/11/24,Avery,C11C,11,22,Control,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,2,0,1,0,30,3,0,8,2,0,1,0
7/11/24,Avery,C12,12,23,Castilleja,0,1,0,0,0,1,0,0,2,3,0,0,2,0,3,0,0,6,0,0,2,20,2,3,25,0,4,1,0
7/11/24,Avery,C12C,12,24,Control,0,3,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,6,3,0,4,0,0,3,0
7/11/24,Avery,C13,13,25,Castilleja,0,3,3,0,0,0,4,0,2,0,0,0,2,0,2,0,0,4,0,1,0,5,0,2,9,0,0,0,0
7/11/24,Avery,C13C,13,26,Control,0,2,9,1,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,2,0,0,0,6,0,0,1,0
7/11/24,Avery,C14,14,27,Castilleja,0,4,7,0,0,0,0,0,2,1,0,0,0,0,4,0,0,2,0,0,15,0,0,0,15,0,0,1,0
7/11/24,Avery,C14C,14,28,Control,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,1,10,0,2,0,10,0,0,0,1
7/11/24,Avery,C15,15,29,Castilleja,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,6,0,0,6,0,3,0,6,0,0,0,1
7/11/24,Avery,C15C,15,30,Control,2,2,2,0,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,15,0,7,0,6,0,0,0,2
7/11/24,Avery,C16,16,31,Castilleja,7,3,3,0,2,0,5,0,1,2,0,0,0,0,0,0,0,2,0,0,5,6,5,3,7,0,0,0,0
7/11/24,Avery,C16C,16,32,Control,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,5,0,0,0,0
7/11/24,Avery,C17,17,33,Castilleja,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,3,4,0,30,0,0,0,0
7/11/24,Avery,C17C,17,34,Control,3,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,7,0,2,0,30,0,0,0,0
7/11/24,Avery,C18,18,35,Castilleja,0,0,7,0,0,0,3,0,2,1,2,0,0,0,1,0,0,4,0,0,0,0,4,0,9,0,0,2,0
7/11/24,Avery,C18C,18,36,Control,0,0,1,0,0,0,5,0,0,1,5,0,0,0,0,0,0,5,0,0,0,3,3,0,12,0,0,1,0
7/11/24,Avery,C19,19,37,Castilleja,1,1,3,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,0,10,0,3,0,20,0,0,5,0
7/11/24,Avery,C19C,19,38,Control,2,0,5,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,4,0,4,0,25,0,0,1,0
7/11/24,Avery,C20,20,39,Castilleja,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,10,0,4,0,30,0,0,1,0
7/11/24,Avery,C20C,20,40,Control,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,1,0,18,0,0,2,0
,Emerald Lake,D1,21,41,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D1C,21,42,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D2,22,43,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D2C,22,44,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D3,23,45,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D3C,23,46,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D4,24,47,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D4C,24,48,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D5,25,49,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D5C,25,50,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D6,26,51,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D6C,26,52,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D7,27,53,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D7C,27,54,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D8,28,55,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D8C,28,56,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D9,29,57,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D9C,29,58,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D10,30,59,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D10C,30,60,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D11,31,61,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D11C,31,62,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D12,32,63,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D12C,32,64,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D13,33,65,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D13C,33,66,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D14,34,67,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D14C,34,68,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D15,35,69,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D15C,35,70,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D16,36,71,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D16C,36,72,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D17,37,73,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D17C,37,74,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D18,38,75,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D18C,38,76,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D19,39,77,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D19C,39,78,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D20,40,79,Castilleja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerald Lake,D20C,40,80,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,
