"Site","Plot","Castilleja","div","even","rich","species"
"Emerald Lake",47,"Present",2.17056484775129,0.873499552965691,12,"Castilleja septentrionalis"
"Emerald Lake",48,"Absent",2.01978258921169,0.8771804331389,10,"Castilleja septentrionalis"
"Emerald Lake",49,"Present",2.05037389201923,0.855072327502618,11,"Castilleja septentrionalis"
"Emerald Lake",50,"Absent",2.12359812015555,0.885609202472503,11,"Castilleja septentrionalis"
"Emerald Lake",51,"Present",2.43820983582631,0.923894228619039,14,"Castilleja septentrionalis"
"Emerald Lake",52,"Absent",2.06247980077536,0.860120883581551,11,"Castilleja septentrionalis"
"Emerald Lake",53,"Present",2.17370202881268,0.906504155319488,11,"Castilleja septentrionalis"
"Emerald Lake",54,"Absent",1.67367062333116,0.761720326904506,9,"Castilleja septentrionalis"
"Emerald Lake",55,"Present",2.20638361958054,0.860205529267893,13,"Castilleja septentrionalis"
"Emerald Lake",56,"Absent",1.88553594063451,0.858144388190132,9,"Castilleja septentrionalis"
"Emerald Lake",57,"Present",2.20153986792975,0.918113435938563,11,"Castilleja septentrionalis"
"Emerald Lake",58,"Absent",1.8470607955162,0.888248483303884,8,"Castilleja septentrionalis"
"Emerald Lake",59,"Present",1.9711463277438,0.897107354466924,9,"Castilleja septentrionalis"
"Emerald Lake",60,"Absent",1.48859750013946,0.764987787777421,7,"Castilleja septentrionalis"
"Emerald Lake",61,"Present",1.8521686884207,0.890704860558119,8,"Castilleja septentrionalis"
"Emerald Lake",62,"Absent",1.55627017681279,0.799764664143574,7,"Castilleja septentrionalis"
"Emerald Lake",63,"Present",1.76135664850082,0.90515826198651,7,"Castilleja septentrionalis"
"Emerald Lake",64,"Absent",1.4127537333486,0.877793248458997,5,"Castilleja septentrionalis"
"Emerald Lake",65,"Present",2.17202985921612,0.905806806433769,11,"Castilleja septentrionalis"
"Emerald Lake",66,"Absent",2.08940858991682,0.907418621042131,10,"Castilleja septentrionalis"
"Emerald Lake",67,"Present",2.45722183468098,0.907376766383749,15,"Castilleja septentrionalis"
"Emerald Lake",68,"Absent",2.10647809085329,0.91483181110768,10,"Castilleja septentrionalis"
"Emerald Lake",69,"Present",2.39531437175185,0.933864196883181,13,"Castilleja septentrionalis"
"Emerald Lake",70,"Absent",1.86472347915496,0.848672228769457,9,"Castilleja septentrionalis"
"Emerald Lake",71,"Present",2.05195819752084,0.933886421390986,9,"Castilleja septentrionalis"
"Emerald Lake",72,"Absent",1.83754145333748,0.836301155690331,9,"Castilleja septentrionalis"
"Emerald Lake",73,"Present",1.95001774327462,0.846881945517598,10,"Castilleja septentrionalis"
"Emerald Lake",74,"Absent",1.60978663974278,0.827266685732787,7,"Castilleja septentrionalis"
"Emerald Lake",75,"Present",1.85908740143994,0.846107139259195,9,"Castilleja septentrionalis"
"Emerald Lake",76,"Absent",1.50675983425849,0.93620252301605,5,"Castilleja septentrionalis"
"Emerald Lake",77,"Present",2.33052329558708,0.937871567845781,12,"Castilleja septentrionalis"
"Emerald Lake",78,"Absent",2.07724746286399,0.90213711066936,10,"Castilleja septentrionalis"
"Emerald Lake",79,"Present",2.17175914351263,0.905693909216546,11,"Castilleja septentrionalis"
"Emerald Lake",80,"Absent",1.81414849567356,0.872421012714806,8,"Castilleja septentrionalis"
"Deer Creek 1",1,"Present",0.594390887232554,0.285841595119999,8,"Castilleja linarifolia"
"Deer Creek 1",2,"Absent",0.266625923892363,0.165664000973557,5,"Castilleja linarifolia"
"Deer Creek 1",3,"Present",1.32224666119805,0.601780389149415,9,"Castilleja linarifolia"
"Deer Creek 1",4,"Absent",1.2935168675188,0.721925509385523,6,"Castilleja linarifolia"
"Deer Creek 1",5,"Present",1.60354185073874,0.696409377276762,10,"Castilleja linarifolia"
"Deer Creek 1",6,"Absent",0.599783319860987,0.334745444442602,6,"Castilleja linarifolia"
"Deer Creek 1",7,"Present",1.00582713302245,0.624955535874787,5,"Castilleja linarifolia"
"Deer Creek 1",8,"Absent",1.2130075659799,0.676992412660448,6,"Castilleja linarifolia"
"Deer Creek 1",9,"Present",1.19006842754827,0.664189835737822,6,"Castilleja linarifolia"
"Deer Creek 1",10,"Absent",1.11105230104857,0.801454822445519,4,"Castilleja linarifolia"
"Deer Creek 1",11,"Present",1.49452406598697,0.718714152829536,8,"Castilleja linarifolia"
"Deer Creek 1",12,"Absent",0.927343478685276,0.576190899643199,5,"Castilleja linarifolia"
"Deer Creek 1",13,"Present",1.14090546159635,0.63675146200728,6,"Castilleja linarifolia"
"Deer Creek 1",14,"Absent",1.18741576984366,0.662709359284275,6,"Castilleja linarifolia"
"Deer Creek 1",15,"Present",1.2885548462598,0.719156152591704,6,"Castilleja linarifolia"
"Deer Creek 1",16,"Absent",1.4466095841693,0.898829071313137,5,"Castilleja linarifolia"
"Deer Creek 1",17,"Present",2.05202991464469,0.891185268630588,10,"Castilleja linarifolia"
"Deer Creek 1",18,"Absent",1.44261845534117,0.656563953553676,9,"Castilleja linarifolia"
"Deer Creek 1",19,"Present",1.69740225675569,0.737172433679121,10,"Castilleja linarifolia"
"Deer Creek 1",20,"Absent",1.62952136581563,0.741627133895964,9,"Castilleja linarifolia"
"Deer Creek 1",21,"Present",1.4261337413499,0.886106714854898,5,"Castilleja linarifolia"
"Deer Creek 1",22,"Absent",1.55575119220792,0.748158176618485,8,"Castilleja linarifolia"
"Deer Creek 1",23,"Present",1.79841003286902,0.781039553474461,10,"Castilleja linarifolia"
"Deer Creek 1",24,"Absent",1.5808185358593,0.812380025165471,7,"Castilleja linarifolia"
"Deer Creek 1",25,"Present",1.50577260267792,0.724123555529969,8,"Castilleja linarifolia"
"Deer Creek 1",26,"Absent",1.26553029162131,0.650353919082897,7,"Castilleja linarifolia"
"Deer Creek 1",27,"Present",1.24231493351838,0.693349165919917,6,"Castilleja linarifolia"
"Deer Creek 1",28,"Absent",1.36642549494887,0.70220379682599,7,"Castilleja linarifolia"
"Deer Creek 1",29,"Present",1.07201696856319,0.773296782147469,4,"Castilleja linarifolia"
"Deer Creek 1",30,"Absent",1.136916591833,0.706405996186294,5,"Castilleja linarifolia"
"Deer Creek 1",31,"Present",0.988825250371335,0.55187388003444,6,"Castilleja linarifolia"
"Deer Creek 1",32,"Absent",0.817412315865301,0.420066834155797,7,"Castilleja linarifolia"
"Deer Creek 1",33,"Present",1.09617399596671,0.611786355698165,6,"Castilleja linarifolia"
"Deer Creek 1",34,"Absent",0,0,3,"Castilleja linarifolia"
"Deer Creek 1",35,"Present",1.22894206175885,0.685885624083415,6,"Castilleja linarifolia"
"Deer Creek 1",36,"Absent",0.773188695987264,0.557737748686115,4,"Castilleja linarifolia"
"Deer Creek 1",37,"Present",0.725625433257446,0.348952071367808,8,"Castilleja linarifolia"
"Deer Creek 1",38,"Absent",1.1701580726289,0.653077655078916,6,"Castilleja linarifolia"
"Deer Creek 1",39,"Present",1.04936946660493,0.539269229421701,7,"Castilleja linarifolia"
"Deer Creek 1",40,"Absent",1.2568806292826,0.70147843550904,6,"Castilleja linarifolia"
"Deer Creek 2",41,"Present",1.6177642836162,0.777980169766792,8,"Castilleja linarifolia"
"Deer Creek 2",42,"Absent",1.20147065447291,0.670553539750814,6,"Castilleja linarifolia"
"Deer Creek 2",43,"Present",1.1701580726289,0.562727082812634,8,"Castilleja linarifolia"
"Deer Creek 2",44,"Absent",1.38937472185872,0.668148007054021,8,"Castilleja linarifolia"
"Deer Creek 2",45,"Present",1.48189613630576,0.712641402320278,8,"Castilleja linarifolia"
"Deer Creek 2",46,"Absent",0.988154224290194,0.507810817868398,7,"Castilleja linarifolia"
"Deer Creek 2",47,"Present",1.16188108828821,0.504598545271313,10,"Castilleja linarifolia"
"Deer Creek 2",48,"Absent",1.83944963454371,0.837169606383041,9,"Castilleja linarifolia"
"Deer Creek 2",49,"Present",1.67584260972651,0.698880651184897,11,"Castilleja linarifolia"
"Deer Creek 2",50,"Absent",0.776214104191106,0.398895141467831,7,"Castilleja linarifolia"
"Deer Creek 2",51,"Present",1.63190932113464,0.656728622491258,12,"Castilleja linarifolia"
"Deer Creek 2",52,"Absent",1.39998287114105,0.719448876825428,7,"Castilleja linarifolia"
"Deer Creek 2",53,"Present",1.61014038076161,0.69927508245437,10,"Castilleja linarifolia"
"Deer Creek 2",54,"Absent",0.923036287655795,0.57351469138676,5,"Castilleja linarifolia"
"Deer Creek 2",55,"Present",1.22612630295325,0.761835106207279,5,"Castilleja linarifolia"
"Deer Creek 2",56,"Absent",1.79609144751805,0.817436445069952,9,"Castilleja linarifolia"
"Deer Creek 2",57,"Present",1.44907046906986,0.744674912031956,7,"Castilleja linarifolia"
"Deer Creek 2",58,"Absent",1.29321144840314,0.588565894329723,9,"Castilleja linarifolia"
"Deer Creek 2",59,"Present",1.79894174020554,0.781270471036699,10,"Castilleja linarifolia"
"Deer Creek 2",60,"Absent",0.972439911716149,0.499735258685116,7,"Castilleja linarifolia"
"Deer Creek 2",61,"Present",2.03715799131108,0.849560868825473,11,"Castilleja linarifolia"
"Deer Creek 2",62,"Absent",0.62770525719715,0.571361947860734,3,"Castilleja linarifolia"
"Deer Creek 2",63,"Present",1.19561195716302,0.57496781380888,8,"Castilleja linarifolia"
"Deer Creek 2",64,"Absent",0,0,5,"Castilleja linarifolia"
"Deer Creek 2",65,"Present",1.62151654082469,0.737983981041443,9,"Castilleja linarifolia"
"Deer Creek 2",66,"Absent",1.04309912452084,0.536046911018597,7,"Castilleja linarifolia"
"Deer Creek 2",67,"Present",1.64025459197062,0.788795721877121,8,"Castilleja linarifolia"
"Deer Creek 2",68,"Absent",0.514653165428929,0.319771990862681,5,"Castilleja linarifolia"
"Deer Creek 2",69,"Present",1.88877029658482,0.787678393635849,11,"Castilleja linarifolia"
"Deer Creek 2",70,"Absent",0.223718076065834,0.322756958897398,2,"Castilleja linarifolia"
"Deer Creek 2",71,"Present",1.00261270297949,0.622958298194399,5,"Castilleja linarifolia"
"Deer Creek 2",72,"Absent",1.19354960409813,0.860964047443681,4,"Castilleja linarifolia"
"Deer Creek 2",73,"Present",1.23063932177022,0.632423507512749,7,"Castilleja linarifolia"
"Deer Creek 2",74,"Absent",1.40256684329489,0.720776775832018,7,"Castilleja linarifolia"
"Deer Creek 2",75,"Present",1.96872295774281,0.767548471089973,13,"Castilleja linarifolia"
"Deer Creek 2",76,"Absent",1.45800779077492,0.813729641625991,6,"Castilleja linarifolia"
"Deer Creek 2",77,"Present",1.70497230757696,0.775966337334512,9,"Castilleja linarifolia"
"Deer Creek 2",78,"Absent",1.34375213306683,0.611567951190456,9,"Castilleja linarifolia"
"Deer Creek 2",79,"Present",1.58274343105488,0.687376738375752,10,"Castilleja linarifolia"
"Deer Creek 2",80,"Absent",1.58176267011756,0.719891214777506,9,"Castilleja linarifolia"
